industry_code,industry_name,scheduled_actual_hours_month,overtime_actual_hours_month,regular_cash_earnings_thousand_yen_month,scheduled_cash_earnings_thousand_yen_month,scheduled_hour_rate_yen,regular_cash_effective_hour_rate_yen,survey_year,population_scope,source_id,stat_inf_id,db_sid,identification_status,rieti_exact_formula_status,note
01,Ｔ１ 産業計,160,13,338,307.7,1923.125,1953.757225433526,2019,general_workers_private_establishments_enterprise_size_10plus_total_age_education_sex_total,ESTAT-BSWS-2019-INDUSTRY-WAGE-DB-SNAPSHOT,000031919751,0003084009,OFFICIAL_COMPONENTS_DERIVED_TRANSPARENT_WAGE_CANDIDATES,NOT_IDENTIFIED_FROM_PAPER,Two transparent formulas from official BSWS components; RIETI 21-P-018 states it used industry hourly wages from BSWS but does not identify its exact formula/table in the paper.
02,Ｃ 鉱業，採石業，砂利採取業,161,15,360.5,327.3,2032.919254658385,2048.295454545455,2019,general_workers_private_establishments_enterprise_size_10plus_total_age_education_sex_total,ESTAT-BSWS-2019-INDUSTRY-WAGE-DB-SNAPSHOT,000031919751,0003084009,OFFICIAL_COMPONENTS_DERIVED_TRANSPARENT_WAGE_CANDIDATES,NOT_IDENTIFIED_FROM_PAPER,Two transparent formulas from official BSWS components; RIETI 21-P-018 states it used industry hourly wages from BSWS but does not identify its exact formula/table in the paper.
03,Ｄ 建設業,166,14,364.7,332.8,2004.819277108434,2026.111111111111,2019,general_workers_private_establishments_enterprise_size_10plus_total_age_education_sex_total,ESTAT-BSWS-2019-INDUSTRY-WAGE-DB-SNAPSHOT,000031919751,0003084009,OFFICIAL_COMPONENTS_DERIVED_TRANSPARENT_WAGE_CANDIDATES,NOT_IDENTIFIED_FROM_PAPER,Two transparent formulas from official BSWS components; RIETI 21-P-018 states it used industry hourly wages from BSWS but does not identify its exact formula/table in the paper.
07,Ｅ 製造業,162,17,334.5,295.2,1822.222222222222,1868.715083798883,2019,general_workers_private_establishments_enterprise_size_10plus_total_age_education_sex_total,ESTAT-BSWS-2019-INDUSTRY-WAGE-DB-SNAPSHOT,000031919751,0003084009,OFFICIAL_COMPONENTS_DERIVED_TRANSPARENT_WAGE_CANDIDATES,NOT_IDENTIFIED_FROM_PAPER,Two transparent formulas from official BSWS components; RIETI 21-P-018 states it used industry hourly wages from BSWS but does not identify its exact formula/table in the paper.
32,Ｆ 電気・ガス・熱供給・水道業,149,13,462,412.5,2768.456375838926,2851.851851851852,2019,general_workers_private_establishments_enterprise_size_10plus_total_age_education_sex_total,ESTAT-BSWS-2019-INDUSTRY-WAGE-DB-SNAPSHOT,000031919751,0003084009,OFFICIAL_COMPONENTS_DERIVED_TRANSPARENT_WAGE_CANDIDATES,NOT_IDENTIFIED_FROM_PAPER,Two transparent formulas from official BSWS components; RIETI 21-P-018 states it used industry hourly wages from BSWS but does not identify its exact formula/table in the paper.
37,Ｇ 情報通信業,154,11,403.1,375,2435.064935064935,2443.030303030303,2019,general_workers_private_establishments_enterprise_size_10plus_total_age_education_sex_total,ESTAT-BSWS-2019-INDUSTRY-WAGE-DB-SNAPSHOT,000031919751,0003084009,OFFICIAL_COMPONENTS_DERIVED_TRANSPARENT_WAGE_CANDIDATES,NOT_IDENTIFIED_FROM_PAPER,Two transparent formulas from official BSWS components; RIETI 21-P-018 states it used industry hourly wages from BSWS but does not identify its exact formula/table in the paper.
43,Ｈ 運輸業，郵便業,166,27,332.4,279.7,1684.939759036145,1722.279792746114,2019,general_workers_private_establishments_enterprise_size_10plus_total_age_education_sex_total,ESTAT-BSWS-2019-INDUSTRY-WAGE-DB-SNAPSHOT,000031919751,0003084009,OFFICIAL_COMPONENTS_DERIVED_TRANSPARENT_WAGE_CANDIDATES,NOT_IDENTIFIED_FROM_PAPER,Two transparent formulas from official BSWS components; RIETI 21-P-018 states it used industry hourly wages from BSWS but does not identify its exact formula/table in the paper.
52,Ｉ 卸売業，小売業,162,10,337.7,315.7,1948.765432098765,1963.372093023256,2019,general_workers_private_establishments_enterprise_size_10plus_total_age_education_sex_total,ESTAT-BSWS-2019-INDUSTRY-WAGE-DB-SNAPSHOT,000031919751,0003084009,OFFICIAL_COMPONENTS_DERIVED_TRANSPARENT_WAGE_CANDIDATES,NOT_IDENTIFIED_FROM_PAPER,Two transparent formulas from official BSWS components; RIETI 21-P-018 states it used industry hourly wages from BSWS but does not identify its exact formula/table in the paper.
67,Ｊ 金融業，保険業,144,11,393.4,365.5,2538.194444444444,2538.064516129032,2019,general_workers_private_establishments_enterprise_size_10plus_total_age_education_sex_total,ESTAT-BSWS-2019-INDUSTRY-WAGE-DB-SNAPSHOT,000031919751,0003084009,OFFICIAL_COMPONENTS_DERIVED_TRANSPARENT_WAGE_CANDIDATES,NOT_IDENTIFIED_FROM_PAPER,Two transparent formulas from official BSWS components; RIETI 21-P-018 states it used industry hourly wages from BSWS but does not identify its exact formula/table in the paper.
74,Ｋ 不動産業，物品賃貸業,159,12,346.7,322,2025.157232704403,2027.485380116959,2019,general_workers_private_establishments_enterprise_size_10plus_total_age_education_sex_total,ESTAT-BSWS-2019-INDUSTRY-WAGE-DB-SNAPSHOT,000031919751,0003084009,OFFICIAL_COMPONENTS_DERIVED_TRANSPARENT_WAGE_CANDIDATES,NOT_IDENTIFIED_FROM_PAPER,Two transparent formulas from official BSWS components; RIETI 21-P-018 states it used industry hourly wages from BSWS but does not identify its exact formula/table in the paper.
