annual_income_decile,rank_concept,objective_rank_concept,rank_bridge_status,monthly_consumption_expenditure_yen,food_yen_month,alcohol_yen_month,dining_out_yen_month,newspaper_yen_month,reduced_rate_scope_proxy_core_yen_month,reduced_rate_scope_proxy_core_share_of_consumption,reduced_rate_scope_proxy_with_all_newspaper_yen_month,reduced_rate_scope_proxy_with_all_newspaper_share_of_consumption,rate_scope_proxy_status,newspaper_scope_status,actual_vat_base_status,source_ids,source_locator,note
1,HOUSEHOLD_ANNUAL_INCOME_DECILE,OECD_NEW_EQUIVALIZED_DISPOSABLE_INCOME_DECILE,NOT_LINKED_DO_NOT_TREAT_AS_OBJECTIVE_DECILE,129460,39658,1414,5049,1421,33195,0.256411246717,34616,0.267387610073,SURVEY_CATEGORY_PROXY_NOT_TRANSACTION_LEVEL_VAT_BASE,ALL_NEWSPAPER_SPENDING_IS_ONLY_A_DIAGNOSTIC_CEILING_QUALIFYING_SUBSCRIPTION_SHARE_NOT_IDENTIFIED,NOT_IDENTIFIED_TRANSACTION_LEVEL_TAXABILITY_AND_NEWSPAPER_QUALIFICATION_REQUIRED,ESTAT-NSFCW-2024-T1-21-ANNUAL-INCOME-DECILE-EXPENDITURE;MOF-2019-CONSUMPTION-TAX-HIKE,"NSFCW a01021 rows 19-32 and 249, annual-income deciles BF:BO; MOF Reduced Tax Rate System","Food minus alcohol and dining-out is a survey-category proxy for the core reduced-rate scope. Adding all newspaper expenditure is a diagnostic ceiling for category coverage, not a legal or transaction-level VAT-base bound because qualifying newspaper subscriptions and transaction-level taxability are not observed."
2,HOUSEHOLD_ANNUAL_INCOME_DECILE,OECD_NEW_EQUIVALIZED_DISPOSABLE_INCOME_DECILE,NOT_LINKED_DO_NOT_TREAT_AS_OBJECTIVE_DECILE,165620,47640,1717,6764,1693,39159,0.236438835889,40852,0.246661031276,SURVEY_CATEGORY_PROXY_NOT_TRANSACTION_LEVEL_VAT_BASE,ALL_NEWSPAPER_SPENDING_IS_ONLY_A_DIAGNOSTIC_CEILING_QUALIFYING_SUBSCRIPTION_SHARE_NOT_IDENTIFIED,NOT_IDENTIFIED_TRANSACTION_LEVEL_TAXABILITY_AND_NEWSPAPER_QUALIFICATION_REQUIRED,ESTAT-NSFCW-2024-T1-21-ANNUAL-INCOME-DECILE-EXPENDITURE;MOF-2019-CONSUMPTION-TAX-HIKE,"NSFCW a01021 rows 19-32 and 249, annual-income deciles BF:BO; MOF Reduced Tax Rate System","Food minus alcohol and dining-out is a survey-category proxy for the core reduced-rate scope. Adding all newspaper expenditure is a diagnostic ceiling for category coverage, not a legal or transaction-level VAT-base bound because qualifying newspaper subscriptions and transaction-level taxability are not observed."
3,HOUSEHOLD_ANNUAL_INCOME_DECILE,OECD_NEW_EQUIVALIZED_DISPOSABLE_INCOME_DECILE,NOT_LINKED_DO_NOT_TREAT_AS_OBJECTIVE_DECILE,190968,56053,2176,7926,1901,45951,0.240621465376,47852,0.250576012735,SURVEY_CATEGORY_PROXY_NOT_TRANSACTION_LEVEL_VAT_BASE,ALL_NEWSPAPER_SPENDING_IS_ONLY_A_DIAGNOSTIC_CEILING_QUALIFYING_SUBSCRIPTION_SHARE_NOT_IDENTIFIED,NOT_IDENTIFIED_TRANSACTION_LEVEL_TAXABILITY_AND_NEWSPAPER_QUALIFICATION_REQUIRED,ESTAT-NSFCW-2024-T1-21-ANNUAL-INCOME-DECILE-EXPENDITURE;MOF-2019-CONSUMPTION-TAX-HIKE,"NSFCW a01021 rows 19-32 and 249, annual-income deciles BF:BO; MOF Reduced Tax Rate System","Food minus alcohol and dining-out is a survey-category proxy for the core reduced-rate scope. Adding all newspaper expenditure is a diagnostic ceiling for category coverage, not a legal or transaction-level VAT-base bound because qualifying newspaper subscriptions and transaction-level taxability are not observed."
4,HOUSEHOLD_ANNUAL_INCOME_DECILE,OECD_NEW_EQUIVALIZED_DISPOSABLE_INCOME_DECILE,NOT_LINKED_DO_NOT_TREAT_AS_OBJECTIVE_DECILE,211445,63863,2572,11168,1833,50123,0.237049823831,51956,0.245718744827,SURVEY_CATEGORY_PROXY_NOT_TRANSACTION_LEVEL_VAT_BASE,ALL_NEWSPAPER_SPENDING_IS_ONLY_A_DIAGNOSTIC_CEILING_QUALIFYING_SUBSCRIPTION_SHARE_NOT_IDENTIFIED,NOT_IDENTIFIED_TRANSACTION_LEVEL_TAXABILITY_AND_NEWSPAPER_QUALIFICATION_REQUIRED,ESTAT-NSFCW-2024-T1-21-ANNUAL-INCOME-DECILE-EXPENDITURE;MOF-2019-CONSUMPTION-TAX-HIKE,"NSFCW a01021 rows 19-32 and 249, annual-income deciles BF:BO; MOF Reduced Tax Rate System","Food minus alcohol and dining-out is a survey-category proxy for the core reduced-rate scope. Adding all newspaper expenditure is a diagnostic ceiling for category coverage, not a legal or transaction-level VAT-base bound because qualifying newspaper subscriptions and transaction-level taxability are not observed."
5,HOUSEHOLD_ANNUAL_INCOME_DECILE,OECD_NEW_EQUIVALIZED_DISPOSABLE_INCOME_DECILE,NOT_LINKED_DO_NOT_TREAT_AS_OBJECTIVE_DECILE,230625,64802,2425,12102,1546,50275,0.217994579946,51821,0.224698102981,SURVEY_CATEGORY_PROXY_NOT_TRANSACTION_LEVEL_VAT_BASE,ALL_NEWSPAPER_SPENDING_IS_ONLY_A_DIAGNOSTIC_CEILING_QUALIFYING_SUBSCRIPTION_SHARE_NOT_IDENTIFIED,NOT_IDENTIFIED_TRANSACTION_LEVEL_TAXABILITY_AND_NEWSPAPER_QUALIFICATION_REQUIRED,ESTAT-NSFCW-2024-T1-21-ANNUAL-INCOME-DECILE-EXPENDITURE;MOF-2019-CONSUMPTION-TAX-HIKE,"NSFCW a01021 rows 19-32 and 249, annual-income deciles BF:BO; MOF Reduced Tax Rate System","Food minus alcohol and dining-out is a survey-category proxy for the core reduced-rate scope. Adding all newspaper expenditure is a diagnostic ceiling for category coverage, not a legal or transaction-level VAT-base bound because qualifying newspaper subscriptions and transaction-level taxability are not observed."
6,HOUSEHOLD_ANNUAL_INCOME_DECILE,OECD_NEW_EQUIVALIZED_DISPOSABLE_INCOME_DECILE,NOT_LINKED_DO_NOT_TREAT_AS_OBJECTIVE_DECILE,239100,70159,2694,14762,1405,52703,0.220422417399,54108,0.226298619824,SURVEY_CATEGORY_PROXY_NOT_TRANSACTION_LEVEL_VAT_BASE,ALL_NEWSPAPER_SPENDING_IS_ONLY_A_DIAGNOSTIC_CEILING_QUALIFYING_SUBSCRIPTION_SHARE_NOT_IDENTIFIED,NOT_IDENTIFIED_TRANSACTION_LEVEL_TAXABILITY_AND_NEWSPAPER_QUALIFICATION_REQUIRED,ESTAT-NSFCW-2024-T1-21-ANNUAL-INCOME-DECILE-EXPENDITURE;MOF-2019-CONSUMPTION-TAX-HIKE,"NSFCW a01021 rows 19-32 and 249, annual-income deciles BF:BO; MOF Reduced Tax Rate System","Food minus alcohol and dining-out is a survey-category proxy for the core reduced-rate scope. Adding all newspaper expenditure is a diagnostic ceiling for category coverage, not a legal or transaction-level VAT-base bound because qualifying newspaper subscriptions and transaction-level taxability are not observed."
7,HOUSEHOLD_ANNUAL_INCOME_DECILE,OECD_NEW_EQUIVALIZED_DISPOSABLE_INCOME_DECILE,NOT_LINKED_DO_NOT_TREAT_AS_OBJECTIVE_DECILE,267551,77140,2806,16480,1330,57854,0.216235409324,59184,0.221206424196,SURVEY_CATEGORY_PROXY_NOT_TRANSACTION_LEVEL_VAT_BASE,ALL_NEWSPAPER_SPENDING_IS_ONLY_A_DIAGNOSTIC_CEILING_QUALIFYING_SUBSCRIPTION_SHARE_NOT_IDENTIFIED,NOT_IDENTIFIED_TRANSACTION_LEVEL_TAXABILITY_AND_NEWSPAPER_QUALIFICATION_REQUIRED,ESTAT-NSFCW-2024-T1-21-ANNUAL-INCOME-DECILE-EXPENDITURE;MOF-2019-CONSUMPTION-TAX-HIKE,"NSFCW a01021 rows 19-32 and 249, annual-income deciles BF:BO; MOF Reduced Tax Rate System","Food minus alcohol and dining-out is a survey-category proxy for the core reduced-rate scope. Adding all newspaper expenditure is a diagnostic ceiling for category coverage, not a legal or transaction-level VAT-base bound because qualifying newspaper subscriptions and transaction-level taxability are not observed."
8,HOUSEHOLD_ANNUAL_INCOME_DECILE,OECD_NEW_EQUIVALIZED_DISPOSABLE_INCOME_DECILE,NOT_LINKED_DO_NOT_TREAT_AS_OBJECTIVE_DECILE,298918,86895,3173,19464,1524,64258,0.214968653611,65782,0.220067041797,SURVEY_CATEGORY_PROXY_NOT_TRANSACTION_LEVEL_VAT_BASE,ALL_NEWSPAPER_SPENDING_IS_ONLY_A_DIAGNOSTIC_CEILING_QUALIFYING_SUBSCRIPTION_SHARE_NOT_IDENTIFIED,NOT_IDENTIFIED_TRANSACTION_LEVEL_TAXABILITY_AND_NEWSPAPER_QUALIFICATION_REQUIRED,ESTAT-NSFCW-2024-T1-21-ANNUAL-INCOME-DECILE-EXPENDITURE;MOF-2019-CONSUMPTION-TAX-HIKE,"NSFCW a01021 rows 19-32 and 249, annual-income deciles BF:BO; MOF Reduced Tax Rate System","Food minus alcohol and dining-out is a survey-category proxy for the core reduced-rate scope. Adding all newspaper expenditure is a diagnostic ceiling for category coverage, not a legal or transaction-level VAT-base bound because qualifying newspaper subscriptions and transaction-level taxability are not observed."
9,HOUSEHOLD_ANNUAL_INCOME_DECILE,OECD_NEW_EQUIVALIZED_DISPOSABLE_INCOME_DECILE,NOT_LINKED_DO_NOT_TREAT_AS_OBJECTIVE_DECILE,339084,94293,3707,21114,1526,69472,0.204881386323,70998,0.209381746116,SURVEY_CATEGORY_PROXY_NOT_TRANSACTION_LEVEL_VAT_BASE,ALL_NEWSPAPER_SPENDING_IS_ONLY_A_DIAGNOSTIC_CEILING_QUALIFYING_SUBSCRIPTION_SHARE_NOT_IDENTIFIED,NOT_IDENTIFIED_TRANSACTION_LEVEL_TAXABILITY_AND_NEWSPAPER_QUALIFICATION_REQUIRED,ESTAT-NSFCW-2024-T1-21-ANNUAL-INCOME-DECILE-EXPENDITURE;MOF-2019-CONSUMPTION-TAX-HIKE,"NSFCW a01021 rows 19-32 and 249, annual-income deciles BF:BO; MOF Reduced Tax Rate System","Food minus alcohol and dining-out is a survey-category proxy for the core reduced-rate scope. Adding all newspaper expenditure is a diagnostic ceiling for category coverage, not a legal or transaction-level VAT-base bound because qualifying newspaper subscriptions and transaction-level taxability are not observed."
10,HOUSEHOLD_ANNUAL_INCOME_DECILE,OECD_NEW_EQUIVALIZED_DISPOSABLE_INCOME_DECILE,NOT_LINKED_DO_NOT_TREAT_AS_OBJECTIVE_DECILE,439645,114333,4186,29553,1943,80594,0.183316084568,82537,0.187735559372,SURVEY_CATEGORY_PROXY_NOT_TRANSACTION_LEVEL_VAT_BASE,ALL_NEWSPAPER_SPENDING_IS_ONLY_A_DIAGNOSTIC_CEILING_QUALIFYING_SUBSCRIPTION_SHARE_NOT_IDENTIFIED,NOT_IDENTIFIED_TRANSACTION_LEVEL_TAXABILITY_AND_NEWSPAPER_QUALIFICATION_REQUIRED,ESTAT-NSFCW-2024-T1-21-ANNUAL-INCOME-DECILE-EXPENDITURE;MOF-2019-CONSUMPTION-TAX-HIKE,"NSFCW a01021 rows 19-32 and 249, annual-income deciles BF:BO; MOF Reduced Tax Rate System","Food minus alcohol and dining-out is a survey-category proxy for the core reduced-rate scope. Adding all newspaper expenditure is a diagnostic ceiling for category coverage, not a legal or transaction-level VAT-base bound because qualifying newspaper subscriptions and transaction-level taxability are not observed."
