decile,decile_code,decile_label,reported_item,income_component_code,income_component_label,unit,raw_value,numeric_value,missing_marker,source_cell,source_row,source_column,source_id,source_stat_inf_id,source_file,source_sha256
1,R01,R01_十分位1,集計世帯数（概数）,0,総数,,8620,8620,,AC8,8,AC,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
2,R02,R02_十分位2,集計世帯数（概数）,0,総数,,8690,8690,,AD8,8,AD,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
3,R03,R03_十分位3,集計世帯数（概数）,0,総数,,8350,8350,,AE8,8,AE,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
4,R04,R04_十分位4,集計世帯数（概数）,0,総数,,7860,7860,,AF8,8,AF,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
5,R05,R05_十分位5,集計世帯数（概数）,0,総数,,7670,7670,,AG8,8,AG,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
6,R06,R06_十分位6,集計世帯数（概数）,0,総数,,6980,6980,,AH8,8,AH,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
7,R07,R07_十分位7,集計世帯数（概数）,0,総数,,6810,6810,,AI8,8,AI,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
8,R08,R08_十分位8,集計世帯数（概数）,0,総数,,6710,6710,,AJ8,8,AJ,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
9,R09,R09_十分位9,集計世帯数（概数）,0,総数,,6630,6630,,AK8,8,AK,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
10,R10,R10_十分位10,集計世帯数（概数）,0,総数,,5830,5830,,AL8,8,AL,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
1,R01,R01_十分位1,等価年間収入額,2,等価年間収入,千円,1255,1255,,AC9,9,AC,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
2,R02,R02_十分位2,等価年間収入額,2,等価年間収入,千円,2062,2062,,AD9,9,AD,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
