decile,decile_code,decile_label,asset_class,reported_item,income_component_code,income_component_label,unit,household_type_code,household_type,household_type_label,raw_value,numeric_value,missing_marker,source_cell,source_row,source_column,source_id,source_stat_inf_id,source_file,source_sha256
1,R01,R01_十分位1,00_平均,集計世帯数（概数）,0,総数,,00,00_総世帯,総世帯,8620,8620,,K34064,34064,K,ESTAT-7156-1-2024,000040490419,data/raw/estat/000040490419.xlsx,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f
1,R01,R01_十分位1,00_平均,集計世帯数（概数）,0,総数,,01,01_世帯主が65歳未満,世帯主が65歳未満,3070,3070,,L34064,34064,L,ESTAT-7156-1-2024,000040490419,data/raw/estat/000040490419.xlsx,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f
1,R01,R01_十分位1,00_平均,集計世帯数（概数）,0,総数,,011,011_単身世帯,単身世帯,1090,1090,,M34064,34064,M,ESTAT-7156-1-2024,000040490419,data/raw/estat/000040490419.xlsx,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f
1,R01,R01_十分位1,00_平均,集計世帯数（概数）,0,総数,,0111,0111_無業,無業,450,450,,N34064,34064,N,ESTAT-7156-1-2024,000040490419,data/raw/estat/000040490419.xlsx,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f
1,R01,R01_十分位1,00_平均,集計世帯数（概数）,0,総数,,0112,0112_有業,有業,640,640,,O34064,34064,O,ESTAT-7156-1-2024,000040490419,data/raw/estat/000040490419.xlsx,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f
1,R01,R01_十分位1,00_平均,集計世帯数（概数）,0,総数,,012,012_大人１人と子供の世帯,大人１人と子供の世帯,360,360,,P34064,34064,P,ESTAT-7156-1-2024,000040490419,data/raw/estat/000040490419.xlsx,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f
1,R01,R01_十分位1,00_平均,集計世帯数（概数）,0,総数,,0121,0121_無業,無業,60,60,,Q34064,34064,Q,ESTAT-7156-1-2024,000040490419,data/raw/estat/000040490419.xlsx,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f
1,R01,R01_十分位1,00_平均,集計世帯数（概数）,0,総数,,0122,0122_有業,有業,300,300,,R34064,34064,R,ESTAT-7156-1-2024,000040490419,data/raw/estat/000040490419.xlsx,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f
1,R01,R01_十分位1,00_平均,集計世帯数（概数）,0,総数,,013,013_２人以上の大人のみの世帯,２人以上の大人のみの世帯,990,990,,S34064,34064,S,ESTAT-7156-1-2024,000040490419,data/raw/estat/000040490419.xlsx,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f
1,R01,R01_十分位1,00_平均,集計世帯数（概数）,0,総数,,0131,0131_有業者なし,有業者なし,210,210,,T34064,34064,T,ESTAT-7156-1-2024,000040490419,data/raw/estat/000040490419.xlsx,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f
1,R01,R01_十分位1,00_平均,集計世帯数（概数）,0,総数,,0132,0132_有業者１人,有業者１人,460,460,,U34064,34064,U,ESTAT-7156-1-2024,000040490419,data/raw/estat/000040490419.xlsx,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f
