household_type_code,household_type,household_type_label,source_column,source_header_cell,parent_code,hierarchy_depth,is_recap,is_original_leaf,source_id,source_stat_inf_id
00,00_総世帯,総世帯,K,K6,,2,False,False,ESTAT-7156-1-2024,000040490419
01,01_世帯主が65歳未満,世帯主が65歳未満,L,L6,,2,False,False,ESTAT-7156-1-2024,000040490419
011,011_単身世帯,単身世帯,M,M6,01,3,False,False,ESTAT-7156-1-2024,000040490419
0111,0111_無業,無業,N,N6,011,4,False,True,ESTAT-7156-1-2024,000040490419
0112,0112_有業,有業,O,O6,011,4,False,True,ESTAT-7156-1-2024,000040490419
012,012_大人１人と子供の世帯,大人１人と子供の世帯,P,P6,01,3,False,False,ESTAT-7156-1-2024,000040490419
0121,0121_無業,無業,Q,Q6,012,4,False,True,ESTAT-7156-1-2024,000040490419
0122,0122_有業,有業,R,R6,012,4,False,True,ESTAT-7156-1-2024,000040490419
013,013_２人以上の大人のみの世帯,２人以上の大人のみの世帯,S,S6,01,3,False,False,ESTAT-7156-1-2024,000040490419
0131,0131_有業者なし,有業者なし,T,T6,013,4,False,True,ESTAT-7156-1-2024,000040490419
0132,0132_有業者１人,有業者１人,U,U6,013,4,False,True,ESTAT-7156-1-2024,000040490419
0133,0133_有業者２人以上,有業者２人以上,V,V6,013,4,False,True,ESTAT-7156-1-2024,000040490419
014,014_大人２人以上と子供の世帯,大人２人以上と子供の世帯,W,W6,01,3,False,False,ESTAT-7156-1-2024,000040490419
0141,0141_有業者なし,有業者なし,X,X6,014,4,False,True,ESTAT-7156-1-2024,000040490419
0142,0142_有業者１人,有業者１人,Y,Y6,014,4,False,True,ESTAT-7156-1-2024,000040490419
0143,0143_有業者２人以上,有業者２人以上,Z,Z6,014,4,False,True,ESTAT-7156-1-2024,000040490419
02,02_世帯主が65歳以上,世帯主が65歳以上,AA,AA6,,2,False,False,ESTAT-7156-1-2024,000040490419
021,021_単身世帯,単身世帯,AB,AB6,02,3,False,False,ESTAT-7156-1-2024,000040490419
0211,0211_無業,無業,AC,AC6,021,4,False,True,ESTAT-7156-1-2024,000040490419
0212,0212_有業,有業,AD,AD6,021,4,False,True,ESTAT-7156-1-2024,000040490419
022,022_２人以上の世帯,２人以上の世帯,AE,AE6,02,3,False,False,ESTAT-7156-1-2024,000040490419
0221,0221_有業者なし,有業者なし,AF,AF6,022,4,False,True,ESTAT-7156-1-2024,000040490419
0222,0222_有業者１人以上,有業者１人以上,AG,AG6,022,4,False,True,ESTAT-7156-1-2024,000040490419
R1,R1_（再掲）世帯主が66歳未満,（再掲）世帯主が66歳未満,AH,AH6,,2,True,False,ESTAT-7156-1-2024,000040490419
R11,R11_単身世帯,単身世帯,AI,AI6,,3,True,False,ESTAT-7156-1-2024,000040490419
R111,R111_無業,無業,AJ,AJ6,,4,True,False,ESTAT-7156-1-2024,000040490419
R112,R112_有業,有業,AK,AK6,,4,True,False,ESTAT-7156-1-2024,000040490419
R12,R12_大人１人と子供の世帯,大人１人と子供の世帯,AL,AL6,,3,True,False,ESTAT-7156-1-2024,000040490419
R121,R121_無業,無業,AM,AM6,,4,True,False,ESTAT-7156-1-2024,000040490419
R122,R122_有業,有業,AN,AN6,,4,True,False,ESTAT-7156-1-2024,000040490419
R13,R13_２人以上の大人のみの世帯,２人以上の大人のみの世帯,AO,AO6,,3,True,False,ESTAT-7156-1-2024,000040490419
R131,R131_有業者なし,有業者なし,AP,AP6,,4,True,False,ESTAT-7156-1-2024,000040490419
R132,R132_有業者１人,有業者１人,AQ,AQ6,,4,True,False,ESTAT-7156-1-2024,000040490419
R133,R133_有業者２人以上,有業者２人以上,AR,AR6,,4,True,False,ESTAT-7156-1-2024,000040490419
R14,R14_大人２人以上と子供の世帯,大人２人以上と子供の世帯,AS,AS6,,3,True,False,ESTAT-7156-1-2024,000040490419
R141,R141_有業者なし,有業者なし,AT,AT6,,4,True,False,ESTAT-7156-1-2024,000040490419
R142,R142_有業者１人,有業者１人,AU,AU6,,4,True,False,ESTAT-7156-1-2024,000040490419
R143,R143_有業者２人以上,有業者２人以上,AV,AV6,,4,True,False,ESTAT-7156-1-2024,000040490419
R2,R2_（再掲）世帯主が66歳以上,（再掲）世帯主が66歳以上,AW,AW6,,2,True,False,ESTAT-7156-1-2024,000040490419
R21,R21_単身世帯,単身世帯,AX,AX6,,3,True,False,ESTAT-7156-1-2024,000040490419
R211,R211_無業,無業,AY,AY6,,4,True,False,ESTAT-7156-1-2024,000040490419
R212,R212_有業,有業,AZ,AZ6,,4,True,False,ESTAT-7156-1-2024,000040490419
R22,R22_２人以上の世帯,２人以上の世帯,BA,BA6,,3,True,False,ESTAT-7156-1-2024,000040490419
R221,R221_有業者なし,有業者なし,BB,BB6,,4,True,False,ESTAT-7156-1-2024,000040490419
R222,R222_有業者１人以上,有業者１人以上,BC,BC6,,4,True,False,ESTAT-7156-1-2024,000040490419
R3,R3_（再掲）単身世帯,（再掲）単身世帯,BD,BD6,,2,True,False,ESTAT-7156-1-2024,000040490419
R4,R4_（再掲）大人１人と子供の世帯,（再掲）大人１人と子供の世帯,BE,BE6,,2,True,False,ESTAT-7156-1-2024,000040490419
R5,R5_（再掲）２人以上の大人のみの世帯,（再掲）２人以上の大人のみの世帯,BF,BF6,,2,True,False,ESTAT-7156-1-2024,000040490419
R6,R6_（再掲）大人２人以上と子供の世帯,（再掲）大人２人以上と子供の世帯,BG,BG6,,2,True,False,ESTAT-7156-1-2024,000040490419
