decile,aggregate_household_count_71531,leaf_household_count_sum_71561,household_count_difference,suppressed_leaf_count_cells,suppressed_household_count_upper_exclusive,suppressed_count_share_upper_bound_exclusive,suppressed_monetary_x_cells,aggregate_income_tax_kY_71531,leaf_weighted_income_tax_kY_71561,income_tax_difference_kY,suppression_assumption,suppression_status,interpretation,aggregate_count_source_cell,aggregate_income_tax_source_cell,source_ids
1,8620,8630,10,0,0,0,0,2,1.74623406721,-0.253765932793,DROP_F71561_ROWS_WITH_SUPPRESSED_HOUSEHOLD_COUNT,NO_SUPPRESSED_LEAF_COUNT,"rounding diagnostic; X rows are explicitly dropped, not zero-imputed",AC8,AC42,ESTAT-7153-1-2024;ESTAT-7156-1-2024;STAT-NSFCW-2024-USAGE-NOTES
2,8690,8690,0,0,0,0,0,5,4.11507479862,-0.884925201381,DROP_F71561_ROWS_WITH_SUPPRESSED_HOUSEHOLD_COUNT,NO_SUPPRESSED_LEAF_COUNT,"rounding diagnostic; X rows are explicitly dropped, not zero-imputed",AD8,AD42,ESTAT-7153-1-2024;ESTAT-7156-1-2024;STAT-NSFCW-2024-USAGE-NOTES
3,8350,8350,0,2,10,0.00120481927711,0,7,6.66467065868,-0.335329341317,DROP_F71561_ROWS_WITH_SUPPRESSED_HOUSEHOLD_COUNT,COUNT_SHARE_BOUNDED_MONETARY_IMPACT_NOT_IDENTIFIED,"rounding diagnostic; X rows are explicitly dropped, not zero-imputed",AE8,AE42,ESTAT-7153-1-2024;ESTAT-7156-1-2024;STAT-NSFCW-2024-USAGE-NOTES
4,7860,7850,-10,2,10,0.00128205128205,36,17,16.1834394904,-0.816560509554,DROP_F71561_ROWS_WITH_SUPPRESSED_HOUSEHOLD_COUNT,COUNT_SHARE_BOUNDED_MONETARY_IMPACT_NOT_IDENTIFIED,"rounding diagnostic; X rows are explicitly dropped, not zero-imputed",AF8,AF42,ESTAT-7153-1-2024;ESTAT-7156-1-2024;STAT-NSFCW-2024-USAGE-NOTES
5,7670,7670,0,1,5,0.000656598818122,0,32,29.9543676662,-2.04563233377,DROP_F71561_ROWS_WITH_SUPPRESSED_HOUSEHOLD_COUNT,COUNT_SHARE_BOUNDED_MONETARY_IMPACT_NOT_IDENTIFIED,"rounding diagnostic; X rows are explicitly dropped, not zero-imputed",AG8,AG42,ESTAT-7153-1-2024;ESTAT-7156-1-2024;STAT-NSFCW-2024-USAGE-NOTES
6,6980,6970,-10,2,10,0.0014450867052,36,57,53.8737446198,-3.1262553802,DROP_F71561_ROWS_WITH_SUPPRESSED_HOUSEHOLD_COUNT,COUNT_SHARE_BOUNDED_MONETARY_IMPACT_NOT_IDENTIFIED,"rounding diagnostic; X rows are explicitly dropped, not zero-imputed",AH8,AH42,ESTAT-7153-1-2024;ESTAT-7156-1-2024;STAT-NSFCW-2024-USAGE-NOTES
7,6810,6820,10,0,0,0,0,96,90.1392961877,-5.86070381232,DROP_F71561_ROWS_WITH_SUPPRESSED_HOUSEHOLD_COUNT,NO_SUPPRESSED_LEAF_COUNT,"rounding diagnostic; X rows are explicitly dropped, not zero-imputed",AI8,AI42,ESTAT-7153-1-2024;ESTAT-7156-1-2024;STAT-NSFCW-2024-USAGE-NOTES
8,6710,6700,-10,1,5,0.000752445447705,18,152,146.625373134,-5.37462686567,DROP_F71561_ROWS_WITH_SUPPRESSED_HOUSEHOLD_COUNT,COUNT_SHARE_BOUNDED_MONETARY_IMPACT_NOT_IDENTIFIED,"rounding diagnostic; X rows are explicitly dropped, not zero-imputed",AJ8,AJ42,ESTAT-7153-1-2024;ESTAT-7156-1-2024;STAT-NSFCW-2024-USAGE-NOTES
9,6630,6610,-20,2,10,0.001523229246,18,252,244.633888048,-7.36611195159,DROP_F71561_ROWS_WITH_SUPPRESSED_HOUSEHOLD_COUNT,COUNT_SHARE_BOUNDED_MONETARY_IMPACT_NOT_IDENTIFIED,"rounding diagnostic; X rows are explicitly dropped, not zero-imputed",AK8,AK42,ESTAT-7153-1-2024;ESTAT-7156-1-2024;STAT-NSFCW-2024-USAGE-NOTES
10,5830,5850,20,1,5,0.000862812769629,18,1031,1031.14017094,0.140170940171,DROP_F71561_ROWS_WITH_SUPPRESSED_HOUSEHOLD_COUNT,COUNT_SHARE_BOUNDED_MONETARY_IMPACT_NOT_IDENTIFIED,"rounding diagnostic; X rows are explicitly dropped, not zero-imputed",AL8,AL42,ESTAT-7153-1-2024;ESTAT-7156-1-2024;STAT-NSFCW-2024-USAGE-NOTES
