decile,household_type,field,value_kind,numeric_value,missing_marker,source_cell,count_lower_bound,count_lower_bound_inclusive,count_upper_bound,count_upper_bound_inclusive,suppression_rule,model_treatment,rule_source_id,data_source_id
3,0121_無業,household_count_approx,HOUSEHOLD_COUNT,,X,Q37160,0,False,5,False,aggregate household count < 5,DROP_ENTIRE_LEAF_ROW_UNDER_NAMED_SENSITIVITY,STAT-NSFCW-2024-USAGE-NOTES,ESTAT-7156-1-2024
3,0141_有業者なし,household_count_approx,HOUSEHOLD_COUNT,,X,X37160,0,False,5,False,aggregate household count < 5,DROP_ENTIRE_LEAF_ROW_UNDER_NAMED_SENSITIVITY,STAT-NSFCW-2024-USAGE-NOTES,ESTAT-7156-1-2024
4,0121_無業,household_count_approx,HOUSEHOLD_COUNT,,X,Q38708,0,False,5,False,aggregate household count < 5,DROP_ENTIRE_LEAF_ROW_UNDER_NAMED_SENSITIVITY,STAT-NSFCW-2024-USAGE-NOTES,ESTAT-7156-1-2024
4,0121_無業,cash_income_kY,MONETARY_AMOUNT,,X,Q38710,,,,,amount suppressed when aggregate household count < 2.5,NOT_IMPUTED; ROW_DROPPED_BECAUSE_COUNT_IS_SUPPRESSED,STAT-NSFCW-2024-USAGE-NOTES,ESTAT-7156-1-2024
4,0121_無業,wage_income_kY,MONETARY_AMOUNT,,X,Q38711,,,,,amount suppressed when aggregate household count < 2.5,NOT_IMPUTED; ROW_DROPPED_BECAUSE_COUNT_IS_SUPPRESSED,STAT-NSFCW-2024-USAGE-NOTES,ESTAT-7156-1-2024
4,0121_無業,head_wage_kY,MONETARY_AMOUNT,,X,Q38712,,,,,amount suppressed when aggregate household count < 2.5,NOT_IMPUTED; ROW_DROPPED_BECAUSE_COUNT_IS_SUPPRESSED,STAT-NSFCW-2024-USAGE-NOTES,ESTAT-7156-1-2024
4,0121_無業,spouse_wage_kY,MONETARY_AMOUNT,,X,Q38713,,,,,amount suppressed when aggregate household count < 2.5,NOT_IMPUTED; ROW_DROPPED_BECAUSE_COUNT_IS_SUPPRESSED,STAT-NSFCW-2024-USAGE-NOTES,ESTAT-7156-1-2024
4,0121_無業,other_member_wage_kY,MONETARY_AMOUNT,,X,Q38714,,,,,amount suppressed when aggregate household count < 2.5,NOT_IMPUTED; ROW_DROPPED_BECAUSE_COUNT_IS_SUPPRESSED,STAT-NSFCW-2024-USAGE-NOTES,ESTAT-7156-1-2024
4,0121_無業,business_kY,MONETARY_AMOUNT,,X,Q38715,,,,,amount suppressed when aggregate household count < 2.5,NOT_IMPUTED; ROW_DROPPED_BECAUSE_COUNT_IS_SUPPRESSED,STAT-NSFCW-2024-USAGE-NOTES,ESTAT-7156-1-2024
4,0121_無業,interest_dividend_kY,MONETARY_AMOUNT,,X,Q38720,,,,,amount suppressed when aggregate household count < 2.5,NOT_IMPUTED; ROW_DROPPED_BECAUSE_COUNT_IS_SUPPRESSED,STAT-NSFCW-2024-USAGE-NOTES,ESTAT-7156-1-2024
4,0121_無業,public_pension_kY,MONETARY_AMOUNT,,X,Q38721,,,,,amount suppressed when aggregate household count < 2.5,NOT_IMPUTED; ROW_DROPPED_BECAUSE_COUNT_IS_SUPPRESSED,STAT-NSFCW-2024-USAGE-NOTES,ESTAT-7156-1-2024
4,0121_無業,head_public_pension_kY,MONETARY_AMOUNT,,X,Q38722,,,,,amount suppressed when aggregate household count < 2.5,NOT_IMPUTED; ROW_DROPPED_BECAUSE_COUNT_IS_SUPPRESSED,STAT-NSFCW-2024-USAGE-NOTES,ESTAT-7156-1-2024
4,0121_無業,spouse_public_pension_kY,MONETARY_AMOUNT,,X,Q38723,,,,,amount suppressed when aggregate household count < 2.5,NOT_IMPUTED; ROW_DROPPED_BECAUSE_COUNT_IS_SUPPRESSED,STAT-NSFCW-2024-USAGE-NOTES,ESTAT-7156-1-2024
