decile,decile_label,total_persons_reported,total_persons_source_cell,sum_household_size_category_persons,size_category_rounding_difference_persons,persons_size1,persons_size1_source_cell,persons_size2,persons_size2_source_cell,persons_size3,persons_size3_source_cell,persons_size4,persons_size4_source_cell,persons_size5,persons_size5_source_cell,persons_size6plus,persons_size6plus_source_cell,persons_size6plus_share,implied_households_sizes1_to5,implied_households_if_6plus_eq6,household_size_proxy,household_size_proxy_topcode6,household_size_proxy_topcode7,household_size_proxy_topcode8,household_size_proxy_topcode10,household_size_proxy_status,household_size_proxy_interpretation,age65_74_persons,age65_74_source_cell,age75_84_persons,age75_84_source_cell,age85plus_persons,age85plus_source_cell,senior_persons_65p,senior_share_65p,senior_share_status,source_id,source_stat_inf_id,source_file,source_sha256
1,R01_十分位1,11390017,O800,11390016,-1,4159656,O14264,3286941,O27728,1854324,O41192,1058885,O54656,560963,O68120,469247,O81584,0.0411980984048,6798148.35,6876356.18333,1.65640285295,1.65640285295,1.65909851861,1.66112603281,1.66397289215,SENSITIVITY_PROXY_TOPCODE_6PLUS_AS_6,lower-side proxy; exact mean not identified because 6+ is top-coded,1821296,V800,2429457,W800,1055016,X800,5305769,0.465826258205,PUBLISHED_AGGREGATE_RATIO,ESTAT-7191-1-2024,000040490431,data/raw/estat/000040490431.xlsx,3e58114ef07d0cc1b60c8acf9137ba9d33c48c1437f5f593a7f1c00a5fba7008
2,R02_十分位2,11390017,O836,11390016,-1,2853402,O14300,3631564,O27764,1997848,O41228,1810695,O54692,675565,O68156,420942,O81620,0.0369571034843,5922920.08333,5993077.08333,1.90052886716,1.90052886716,1.90371251096,1.90610725221,1.90947002957,SENSITIVITY_PROXY_TOPCODE_6PLUS_AS_6,lower-side proxy; exact mean not identified because 6+ is top-coded,2003328,V836,2378404,W836,754186,X836,5135918,0.450913988978,PUBLISHED_AGGREGATE_RATIO,ESTAT-7191-1-2024,000040490431,data/raw/estat/000040490431.xlsx,3e58114ef07d0cc1b60c8acf9137ba9d33c48c1437f5f593a7f1c00a5fba7008
3,R03_十分位3,11390017,O872,11390017,0,2105856,O14336,3797972,O27800,1965984,O41264,1996500,O54728,1021348,O68192,502357,O81656,0.0441050263577,5363564.6,5447290.76667,2.0909508025,2.0909508025,2.09555210806,2.09901639897,2.10388569375,SENSITIVITY_PROXY_TOPCODE_6PLUS_AS_6,lower-side proxy; exact mean not identified because 6+ is top-coded,1832218,V872,2104541,W872,778899,X872,4715658,0.414016765734,PUBLISHED_AGGREGATE_RATIO,ESTAT-7191-1-2024,000040490431,data/raw/estat/000040490431.xlsx,3e58114ef07d0cc1b60c8acf9137ba9d33c48c1437f5f593a7f1c00a5fba7008
4,R04_十分位4,11390017,O908,11390016,-1,2094749,O14372,3214341,O27836,2194287,O41300,2207158,O54764,1160150,O68228,519331,O81692,0.0455952827459,5217168,5303723.16667,2.14755100183,2.14755100183,2.15256947129,2.15634874254,2.16166207173,SENSITIVITY_PROXY_TOPCODE_6PLUS_AS_6,lower-side proxy; exact mean not identified because 6+ is top-coded,1737374,V908,1511811,W908,695979,X908,3945164,0.346370334654,PUBLISHED_AGGREGATE_RATIO,ESTAT-7191-1-2024,000040490431,data/raw/estat/000040490431.xlsx,3e58114ef07d0cc1b60c8acf9137ba9d33c48c1437f5f593a7f1c00a5fba7008
5,R05_十分位5,11390017,O944,11390017,0,1525692,O14408,2879239,O27872,2456998,O41336,2769102,O54800,1240783,O68264,518203,O81728,0.04549624465,4724742.93333,4811110.1,2.36744052064,2.36744052064,2.37352746874,2.3781132604,2.38456321912,SENSITIVITY_PROXY_TOPCODE_6PLUS_AS_6,lower-side proxy; exact mean not identified because 6+ is top-coded,1486157,V944,1206797,W944,430105,X944,3123059,0.274192654849,PUBLISHED_AGGREGATE_RATIO,ESTAT-7191-1-2024,000040490431,data/raw/estat/000040490431.xlsx,3e58114ef07d0cc1b60c8acf9137ba9d33c48c1437f5f593a7f1c00a5fba7008
6,R06_十分位6,11390017,O980,11390018,1,1710469,O14444,2489755,O27908,2746522,O41372,2772109,O54836,1104214,O68300,566949,O81764,0.0497759529441,4784723.88333,4879215.38333,2.33439541097,2.33439541097,2.34087164172,2.34575244534,2.35261986408,SENSITIVITY_PROXY_TOPCODE_6PLUS_AS_6,lower-side proxy; exact mean not identified because 6+ is top-coded,1481214,V980,871667,W980,331017,X980,2683898,0.235635995978,PUBLISHED_AGGREGATE_RATIO,ESTAT-7191-1-2024,000040490431,data/raw/estat/000040490431.xlsx,3e58114ef07d0cc1b60c8acf9137ba9d33c48c1437f5f593a7f1c00a5fba7008
7,R07_十分位7,11390017,O1016,11390016,-1,1429493,O14480,2384820,O27944,2838217,O41408,3164306,O54872,1098387,O68336,474793,O81800,0.0416850160702,4578729.23333,4657861.4,2.44533167088,2.44533167088,2.45128091156,2.45576187378,2.46206281406,SENSITIVITY_PROXY_TOPCODE_6PLUS_AS_6,lower-side proxy; exact mean not identified because 6+ is top-coded,1357850,V1016,678789,W1016,265371,X1016,2302010,0.202107687811,PUBLISHED_AGGREGATE_RATIO,ESTAT-7191-1-2024,000040490431,data/raw/estat/000040490431.xlsx,3e58114ef07d0cc1b60c8acf9137ba9d33c48c1437f5f593a7f1c00a5fba7008
8,R08_十分位8,11390017,O1052,11390016,-1,1590292,O14516,2440799,O27980,2969652,O41444,2837482,O54908,1055505,O68372,496286,O81836,0.0435720195652,4721047,4803761.33333,2.37106200946,2.37106200946,2.37690875,2.3813127632,2.38750587024,SENSITIVITY_PROXY_TOPCODE_6PLUS_AS_6,lower-side proxy; exact mean not identified because 6+ is top-coded,1278884,V1052,678316,W1052,268635,X1052,2225835,0.195419813684,PUBLISHED_AGGREGATE_RATIO,ESTAT-7191-1-2024,000040490431,data/raw/estat/000040490431.xlsx,3e58114ef07d0cc1b60c8acf9137ba9d33c48c1437f5f593a7f1c00a5fba7008
9,R09_十分位9,11390017,O1088,11390017,0,1639133,O14552,2831800,O28016,3056088,O41480,2753051,O54944,740524,O68408,369421,O81872,0.0324337531717,4910096.55,4971666.71667,2.29098562899,2.29098562899,2.29504596214,2.29810066954,2.30239094655,SENSITIVITY_PROXY_TOPCODE_6PLUS_AS_6,lower-side proxy; exact mean not identified because 6+ is top-coded,1162603,V1088,601732,W1088,278958,X1088,2043293,0.179393323118,PUBLISHED_AGGREGATE_RATIO,ESTAT-7191-1-2024,000040490431,data/raw/estat/000040490431.xlsx,3e58114ef07d0cc1b60c8acf9137ba9d33c48c1437f5f593a7f1c00a5fba7008
10,R10_十分位10,11390017,O1124,11390017,0,1560736,O14588,3164118,O28052,3064645,O41516,2447528,O54980,743370,O68444,409620,O81908,0.0359630718725,4924899.33333,4993169.33333,2.28111971368,2.28111971368,2.28558400736,2.28894371166,2.29366392564,SENSITIVITY_PROXY_TOPCODE_6PLUS_AS_6,lower-side proxy; exact mean not identified because 6+ is top-coded,1173407,V1124,544611,W1124,235432,X1124,1953450,0.171505450782,PUBLISHED_AGGREGATE_RATIO,ESTAT-7191-1-2024,000040490431,data/raw/estat/000040490431.xlsx,3e58114ef07d0cc1b60c8acf9137ba9d33c48c1437f5f593a7f1c00a5fba7008
