dataset_code,source_id,variable_name,variable_label,position,role,unit_or_definition,statistical_unit,objective_rank_concept,availability_status,bridge_use,guard
M4AR8-DS51,EMICRO-NSFCW-2024-DS51-META,SetaiFugo,調査世帯符号,5,candidate_cross_system_household_key,,HOUSEHOLD,OECD_NEW_EQUIVALIZED_DISPOSABLE_INCOME_DECILE,OBSERVED_OFFICIAL_METADATA,candidate join component; provider confirmation required,Metadata does not itself authorize or prove DS51-DS52 joining.
M4AR8-DS51,EMICRO-NSFCW-2024-DS51-META,Ichiren,一連世帯番号,6,candidate_cross_system_household_key,1～999：一連世帯番号,HOUSEHOLD,OECD_NEW_EQUIVALIZED_DISPOSABLE_INCOME_DECILE,OBSERVED_OFFICIAL_METADATA,candidate join component; provider confirmation required,Must not be treated as a stable cross-system key without provider confirmation.
M4AR8-DS51,EMICRO-NSFCW-2024-DS51-META,SetaiID,世帯ＩＤ,7,nonusable_2024_household_id,Empty：世帯票を時系列で接続するときに使用※2024年集計は使用しない,HOUSEHOLD,OECD_NEW_EQUIVALIZED_DISPOSABLE_INCOME_DECILE,OBSERVED_OFFICIAL_METADATA,none,Official metadata says empty / not used for 2024 aggregation.
M4AR8-DS51,EMICRO-NSFCW-2024-DS51-META,Setaijinnin,世帯人員,12,equivalization_input,,HOUSEHOLD,OECD_NEW_EQUIVALIZED_DISPOSABLE_INCOME_DECILE,OBSERVED_OFFICIAL_METADATA,household-size input needed for the official equivalized-disposable-income rank construction,Use the official NSFCW equivalization rule; do not invent a rank mapping.
M4AR8-DS51,EMICRO-NSFCW-2024-DS51-META,I_Bdy001,年間収入,371,annual_household_income,0～：金額（万円）,HOUSEHOLD,OECD_NEW_EQUIVALIZED_DISPOSABLE_INCOME_DECILE,OBSERVED_OFFICIAL_METADATA,annual-income side of the joint bridge,Annual household income is not the objective rank.
M4AR8-DS51,EMICRO-NSFCW-2024-DS51-META,I_Bdy031,年間可処分所得（参考：ＯＥＣＤ新基準準拠）,401,oecd_new_annual_disposable_income,-99999999999999～：金額（千円）,HOUSEHOLD,OECD_NEW_EQUIVALIZED_DISPOSABLE_INCOME_DECILE,OBSERVED_OFFICIAL_METADATA,income numerator for the objective-rank construction,Do not relabel annual-income deciles as this rank.
M4AR8-DS51,EMICRO-NSFCW-2024-DS51-META,M_Weight_Ippan_ZenkokuKen,全国・都道府県,440,population_weight,△△△△△△△△△△△0～：集計用乗率（一般集計）_x000D_10000倍値,HOUSEHOLD,OECD_NEW_EQUIVALIZED_DISPOSABLE_INCOME_DECILE,OBSERVED_OFFICIAL_METADATA,weighted household objective-rank distribution,Use only under the provider-approved population/weight definition.
M4AR8-DS52,EMICRO-NSFCW-2024-DS52-META,SetaiFugo,調査世帯符号,5,candidate_cross_system_household_key,,HOUSEHOLD,OECD_NEW_EQUIVALIZED_DISPOSABLE_INCOME_DECILE,OBSERVED_OFFICIAL_METADATA,candidate join component; provider confirmation required,Metadata does not itself authorize or prove DS51-DS52 joining.
M4AR8-DS52,EMICRO-NSFCW-2024-DS52-META,Ichiren,一連世帯番号,6,candidate_cross_system_household_key,1～999：一連世帯番号,HOUSEHOLD,OECD_NEW_EQUIVALIZED_DISPOSABLE_INCOME_DECILE,OBSERVED_OFFICIAL_METADATA,candidate join component; provider confirmation required,Must not be treated as a stable cross-system key without provider confirmation.
M4AR8-DS52,EMICRO-NSFCW-2024-DS52-META,SetaiID,世帯ＩＤ,7,nonusable_2024_household_id,Empty：世帯票を時系列で接続するときに使用※2024年集計は使用しない,HOUSEHOLD,OECD_NEW_EQUIVALIZED_DISPOSABLE_INCOME_DECILE,OBSERVED_OFFICIAL_METADATA,none,Official metadata says empty / not used for 2024 aggregation.
