parameter_group,rule_id,lower_yen_inclusive,upper_yen_exclusive,formula,rate,quick_deduction_yen,constant_yen,source_id,source_locator,source_sha256,status,note
income_tax_rate,T1,0,1950000,taxable*rate-quick,0.05,0,,NTA-INCOME-TAX-RATE-2260,所得税の速算表 / 7 progressive brackets,b3c03d163fa7ee33870b3c96a9b07ba084c2fb25a56afe5ff75b7117808c2171,VERIFIED_OFFICIAL_RULE,
income_tax_rate,T2,1950000,3300000,taxable*rate-quick,0.1,97500,,NTA-INCOME-TAX-RATE-2260,所得税の速算表 / 7 progressive brackets,b3c03d163fa7ee33870b3c96a9b07ba084c2fb25a56afe5ff75b7117808c2171,VERIFIED_OFFICIAL_RULE,
income_tax_rate,T3,3300000,6950000,taxable*rate-quick,0.2,427500,,NTA-INCOME-TAX-RATE-2260,所得税の速算表 / 7 progressive brackets,b3c03d163fa7ee33870b3c96a9b07ba084c2fb25a56afe5ff75b7117808c2171,VERIFIED_OFFICIAL_RULE,
income_tax_rate,T4,6950000,9000000,taxable*rate-quick,0.23,636000,,NTA-INCOME-TAX-RATE-2260,所得税の速算表 / 7 progressive brackets,b3c03d163fa7ee33870b3c96a9b07ba084c2fb25a56afe5ff75b7117808c2171,VERIFIED_OFFICIAL_RULE,
income_tax_rate,T5,9000000,18000000,taxable*rate-quick,0.33,1536000,,NTA-INCOME-TAX-RATE-2260,所得税の速算表 / 7 progressive brackets,b3c03d163fa7ee33870b3c96a9b07ba084c2fb25a56afe5ff75b7117808c2171,VERIFIED_OFFICIAL_RULE,
income_tax_rate,T6,18000000,40000000,taxable*rate-quick,0.4,2796000,,NTA-INCOME-TAX-RATE-2260,所得税の速算表 / 7 progressive brackets,b3c03d163fa7ee33870b3c96a9b07ba084c2fb25a56afe5ff75b7117808c2171,VERIFIED_OFFICIAL_RULE,
income_tax_rate,T7,40000000,,taxable*rate-quick,0.45,4796000,,NTA-INCOME-TAX-RATE-2260,所得税の速算表 / 7 progressive brackets,b3c03d163fa7ee33870b3c96a9b07ba084c2fb25a56afe5ff75b7117808c2171,VERIFIED_OFFICIAL_RULE,
basic_deduction,B1,0,4890001,constant,,,1040000,NTA-2026-INCOME-TAX,基礎控除 / 合計所得金額489万円以下,4c7450ea67d9a33995916f6e29da8cf05810448b4694d81b83a5c213b1fa7a86,VERIFIED_OFFICIAL_RULE,
basic_deduction,B2,4890001,6550001,constant,,,670000,NTA-2026-INCOME-TAX,基礎控除 / 489万円超655万円以下,4c7450ea67d9a33995916f6e29da8cf05810448b4694d81b83a5c213b1fa7a86,VERIFIED_OFFICIAL_RULE,
basic_deduction,B3,6550001,23500001,constant,,,620000,NTA-2026-INCOME-TAX,基礎控除 / 655万円超2350万円以下,4c7450ea67d9a33995916f6e29da8cf05810448b4694d81b83a5c213b1fa7a86,VERIFIED_OFFICIAL_RULE,
basic_deduction,B4,23500001,24000001,constant,,,480000,NTA-2026-INCOME-TAX,基礎控除 / 2350万円超2400万円以下,4c7450ea67d9a33995916f6e29da8cf05810448b4694d81b83a5c213b1fa7a86,VERIFIED_OFFICIAL_RULE,
basic_deduction,B5,24000001,24500001,constant,,,320000,NTA-2026-INCOME-TAX,基礎控除 / 2400万円超2450万円以下,4c7450ea67d9a33995916f6e29da8cf05810448b4694d81b83a5c213b1fa7a86,VERIFIED_OFFICIAL_RULE,
basic_deduction,B6,24500001,25000001,constant,,,160000,NTA-2026-INCOME-TAX,基礎控除 / 2450万円超2500万円以下,4c7450ea67d9a33995916f6e29da8cf05810448b4694d81b83a5c213b1fa7a86,VERIFIED_OFFICIAL_RULE,
basic_deduction,B7,25000001,,constant,,,0,NTA-2026-INCOME-TAX,基礎控除 / 2500万円超,4c7450ea67d9a33995916f6e29da8cf05810448b4694d81b83a5c213b1fa7a86,VERIFIED_OFFICIAL_RULE,
employment_income,E1,0,741000,zero,,,0,NTA-2026-TAX-REFORM,p.1 給与所得控除最低保障額74万円・特例表,8db585cd5feef2eb29109a16a2e7b16054a0fa4d6423ac622d9ea12c54b39945,VERIFIED_TRANSCRIPTION_PDF,
employment_income,E2,741000,2191000,gross-740000,,,,NTA-2026-TAX-REFORM,p.1 74万1千円以上219万1千円未満,8db585cd5feef2eb29109a16a2e7b16054a0fa4d6423ac622d9ea12c54b39945,VERIFIED_TRANSCRIPTION_PDF,
employment_income,E3,2191000,2193000,constant,,,1451000,NTA-2026-TAX-REFORM,p.1 219万1千円以上219万3千円未満,8db585cd5feef2eb29109a16a2e7b16054a0fa4d6423ac622d9ea12c54b39945,VERIFIED_TRANSCRIPTION_PDF,
employment_income,E4,2193000,2196000,constant,,,1453000,NTA-2026-TAX-REFORM,p.1 219万3千円以上219万6千円未満,8db585cd5feef2eb29109a16a2e7b16054a0fa4d6423ac622d9ea12c54b39945,VERIFIED_TRANSCRIPTION_PDF,
employment_income,E5,2196000,2200000,constant,,,1456000,NTA-2026-TAX-REFORM,p.1 219万6千円以上220万円未満,8db585cd5feef2eb29109a16a2e7b16054a0fa4d6423ac622d9ea12c54b39945,VERIFIED_TRANSCRIPTION_PDF,
employment_income,E6,2200000,3600000,floor(gross/4000)*2800-80000,,,,NTA-SALARY-DEDUCTION-1410,給与所得控除 / 180万円超360万円以下; 2026 special rule ends below220万円,1d7a7668e3430ce7f4f65409fd7f133b6c979bb5097ef203ca06cd802f85780e,VERIFIED_OFFICIAL_RULE,
employment_income,E7,3600000,6600000,floor(gross/4000)*3200-440000,,,,NTA-SALARY-DEDUCTION-1410,給与所得控除 / 360万円超660万円以下,1d7a7668e3430ce7f4f65409fd7f133b6c979bb5097ef203ca06cd802f85780e,VERIFIED_OFFICIAL_RULE,
employment_income,E8,6600000,8500000,gross*0.90-1100000,,,,NTA-SALARY-DEDUCTION-1410,給与所得控除 / 660万円超850万円以下,1d7a7668e3430ce7f4f65409fd7f133b6c979bb5097ef203ca06cd802f85780e,VERIFIED_OFFICIAL_RULE,
employment_income,E9,8500000,,gross-1950000,,,,NTA-SALARY-DEDUCTION-1410,給与所得控除 / 850万円超,1d7a7668e3430ce7f4f65409fd7f133b6c979bb5097ef203ca06cd802f85780e,VERIFIED_OFFICIAL_RULE,
pension_income_u65,PU1,0,600001,zero,,,0,NTA-2026-PENSION-TAX,65歳未満 / 60万円以下,c245594531bd0993895054e77f1e523b516d22496dc1bd8dd32d2d16754bfb57,VERIFIED_OFFICIAL_RULE,
pension_income_u65,PU2,600001,1300000,gross-600000,,,,NTA-2026-PENSION-TAX,65歳未満 / 60万円超130万円未満,c245594531bd0993895054e77f1e523b516d22496dc1bd8dd32d2d16754bfb57,VERIFIED_OFFICIAL_RULE,
pension_income_u65,PU3,1300000,4100000,gross*0.75-275000,,,,NTA-2026-PENSION-TAX,65歳未満 / 130万円以上410万円未満,c245594531bd0993895054e77f1e523b516d22496dc1bd8dd32d2d16754bfb57,VERIFIED_OFFICIAL_RULE,
pension_income_u65,PU4,4100000,7700000,gross*0.85-685000,,,,NTA-2026-PENSION-TAX,65歳未満 / 410万円以上770万円未満,c245594531bd0993895054e77f1e523b516d22496dc1bd8dd32d2d16754bfb57,VERIFIED_OFFICIAL_RULE,
pension_income_u65,PU5,7700000,10000000,gross*0.95-1455000,,,,NTA-2026-PENSION-TAX,65歳未満 / 770万円以上1000万円未満,c245594531bd0993895054e77f1e523b516d22496dc1bd8dd32d2d16754bfb57,VERIFIED_OFFICIAL_RULE,
pension_income_u65,PU6,10000000,,gross-1955000,,,,NTA-2026-PENSION-TAX,65歳未満 / 1000万円以上,c245594531bd0993895054e77f1e523b516d22496dc1bd8dd32d2d16754bfb57,VERIFIED_OFFICIAL_RULE,
pension_income_65p,P65_1,0,1100001,zero,,,0,NTA-2026-PENSION-TAX,65歳以上 / 110万円以下,c245594531bd0993895054e77f1e523b516d22496dc1bd8dd32d2d16754bfb57,VERIFIED_OFFICIAL_RULE,
pension_income_65p,P65_2,1100001,3300000,gross-1100000,,,,NTA-2026-PENSION-TAX,65歳以上 / 110万円超330万円未満,c245594531bd0993895054e77f1e523b516d22496dc1bd8dd32d2d16754bfb57,VERIFIED_OFFICIAL_RULE,
pension_income_65p,P65_3,3300000,4100000,gross*0.75-275000,,,,NTA-2026-PENSION-TAX,65歳以上 / 330万円以上410万円未満,c245594531bd0993895054e77f1e523b516d22496dc1bd8dd32d2d16754bfb57,VERIFIED_OFFICIAL_RULE,
pension_income_65p,P65_4,4100000,7700000,gross*0.85-685000,,,,NTA-2026-PENSION-TAX,65歳以上 / 410万円以上770万円未満,c245594531bd0993895054e77f1e523b516d22496dc1bd8dd32d2d16754bfb57,VERIFIED_OFFICIAL_RULE,
pension_income_65p,P65_5,7700000,10000000,gross*0.95-1455000,,,,NTA-2026-PENSION-TAX,65歳以上 / 770万円以上1000万円未満,c245594531bd0993895054e77f1e523b516d22496dc1bd8dd32d2d16754bfb57,VERIFIED_OFFICIAL_RULE,
pension_income_65p,P65_6,10000000,,gross-1955000,,,,NTA-2026-PENSION-TAX,65歳以上 / 1000万円以上,c245594531bd0993895054e77f1e523b516d22496dc1bd8dd32d2d16754bfb57,VERIFIED_OFFICIAL_RULE,
pension_other_income_adjustment,PA1,10000001,20000001,add_to_pension_income,,,100000,NTA-2026-PENSION-DETAIL,公的年金等控除表 / 公的年金等以外の所得1000万円超2000万円以下,d73b46f7b3e855cfd8016251bb699049ec721017e8693ea722cf72e001eb1e71,VERIFIED_TRANSCRIPTION_PDF,
pension_other_income_adjustment,PA2,20000001,,add_to_pension_income,,,200000,NTA-2026-PENSION-DETAIL,公的年金等控除表 / 公的年金等以外の所得2000万円超,d73b46f7b3e855cfd8016251bb699049ec721017e8693ea722cf72e001eb1e71,VERIFIED_TRANSCRIPTION_PDF,
dependent_deduction,D_GENERAL,,,constant,,,380000,NTA-2026-DEPENDENT-DEDUCTION,扶養控除額 / 一般の控除対象扶養親族 1人につき38万円,430721c32e4d35a84a40670089f761ffacfb3b494c8050a982e43c4f516bce00,VERIFIED_TRANSCRIPTION_PDF,
dependent_deduction,D_SPECIFIED,,,constant,,,630000,NTA-2026-DEPENDENT-DEDUCTION,扶養控除額 / 特定扶養親族 1人につき63万円,430721c32e4d35a84a40670089f761ffacfb3b494c8050a982e43c4f516bce00,VERIFIED_TRANSCRIPTION_PDF,
dependent_deduction,D_ELDERLY_OTHER,,,constant,,,480000,NTA-2026-DEPENDENT-DEDUCTION,扶養控除額 / 同居老親等以外の老人扶養親族 1人につき48万円,430721c32e4d35a84a40670089f761ffacfb3b494c8050a982e43c4f516bce00,VERIFIED_TRANSCRIPTION_PDF,
dependent_deduction,D_ELDERLY_CORESIDENT,,,constant,,,580000,NTA-2026-DEPENDENT-DEDUCTION,扶養控除額 / 同居老親等 1人につき58万円,430721c32e4d35a84a40670089f761ffacfb3b494c8050a982e43c4f516bce00,VERIFIED_TRANSCRIPTION_PDF,
