decile,decile_label,all_age_household_count_approx,all_age_household_count_source_cell,age18_64_recap_household_count_approx,age18_64_recap_household_count_source_cell,age65p_recap_household_count_approx,age65p_recap_household_count_source_cell,recap_count_overlap_ratio_to_all_age,all_age_public_pension_kY,all_age_public_pension_source_cell,age18_64_public_pension_kY,age18_64_public_pension_source_cell,age65p_public_pension_kY,age65p_public_pension_source_cell,age18_64_public_pension_amount_proxy_kY_households,age65p_public_pension_amount_proxy_kY_households,age65p_share_of_public_pension_amount_proxy,proxy_definition,identification_warning,source_id,source_file,source_sha256,model_status
1,R01_十分位1,8620,M34064,4420,AC34064,5840,AD34064,1.19025522042,557,M34077,287,AC34077,914,AD34077,1268540,5337760,0.807980261266,(R12 age65+ recap approximate households * R12 public-pension mean) / same plus R11 age18-64 term,age recap household counts can overlap; aggregate equivalized cells do not identify filer/person pension-age allocation,ESTAT-7155-1-2024,data/raw/estat/000040490418.xlsx,f38e97b7e619a43ca89140039dab7332100976de6772ef26f9d8b06e3c799892,SENSITIVITY_PROXY_NOT_IDENTIFIED
2,R02_十分位2,8690,M35612,4410,AC35612,5880,AD35612,1.18411967779,818,M35625,302,AC35625,1508,AD35625,1331820,8867040,0.86941481695,(R12 age65+ recap approximate households * R12 public-pension mean) / same plus R11 age18-64 term,age recap household counts can overlap; aggregate equivalized cells do not identify filer/person pension-age allocation,ESTAT-7155-1-2024,data/raw/estat/000040490418.xlsx,f38e97b7e619a43ca89140039dab7332100976de6772ef26f9d8b06e3c799892,SENSITIVITY_PROXY_NOT_IDENTIFIED
3,R03_十分位3,8350,M37160,4430,AC37160,5290,AD37160,1.16407185629,864,M37173,247,AC37173,1797,AD37173,1094210,9506130,0.896775952469,(R12 age65+ recap approximate households * R12 public-pension mean) / same plus R11 age18-64 term,age recap household counts can overlap; aggregate equivalized cells do not identify filer/person pension-age allocation,ESTAT-7155-1-2024,data/raw/estat/000040490418.xlsx,f38e97b7e619a43ca89140039dab7332100976de6772ef26f9d8b06e3c799892,SENSITIVITY_PROXY_NOT_IDENTIFIED
4,R04_十分位4,7860,M38708,5000,AC38708,4350,AD38708,1.18956743003,758,M38721,214,AC38721,1859,AD38721,1070000,8086650,0.883145036667,(R12 age65+ recap approximate households * R12 public-pension mean) / same plus R11 age18-64 term,age recap household counts can overlap; aggregate equivalized cells do not identify filer/person pension-age allocation,ESTAT-7155-1-2024,data/raw/estat/000040490418.xlsx,f38e97b7e619a43ca89140039dab7332100976de6772ef26f9d8b06e3c799892,SENSITIVITY_PROXY_NOT_IDENTIFIED
5,R05_十分位5,7670,M40256,5580,AC40256,3700,AD40256,1.20990873533,637,M40269,229,AC40269,1824,AD40269,1277820,6748800,0.840802230578,(R12 age65+ recap approximate households * R12 public-pension mean) / same plus R11 age18-64 term,age recap household counts can overlap; aggregate equivalized cells do not identify filer/person pension-age allocation,ESTAT-7155-1-2024,data/raw/estat/000040490418.xlsx,f38e97b7e619a43ca89140039dab7332100976de6772ef26f9d8b06e3c799892,SENSITIVITY_PROXY_NOT_IDENTIFIED
6,R06_十分位6,6980,M41804,5460,AC41804,3130,AD41804,1.23065902579,556,M41817,227,AC41817,1720,AD41817,1239420,5383600,0.812861806245,(R12 age65+ recap approximate households * R12 public-pension mean) / same plus R11 age18-64 term,age recap household counts can overlap; aggregate equivalized cells do not identify filer/person pension-age allocation,ESTAT-7155-1-2024,data/raw/estat/000040490418.xlsx,f38e97b7e619a43ca89140039dab7332100976de6772ef26f9d8b06e3c799892,SENSITIVITY_PROXY_NOT_IDENTIFIED
7,R07_十分位7,6810,M43352,5630,AC43352,2760,AD43352,1.23201174743,485,M43365,210,AC43365,1697,AD43365,1182300,4683720,0.798449374533,(R12 age65+ recap approximate households * R12 public-pension mean) / same plus R11 age18-64 term,age recap household counts can overlap; aggregate equivalized cells do not identify filer/person pension-age allocation,ESTAT-7155-1-2024,data/raw/estat/000040490418.xlsx,f38e97b7e619a43ca89140039dab7332100976de6772ef26f9d8b06e3c799892,SENSITIVITY_PROXY_NOT_IDENTIFIED
8,R08_十分位8,6710,M44900,5740,AC44900,2570,AD44900,1.23845007452,495,M44913,225,AC44913,1718,AD44913,1291500,4415260,0.773689449004,(R12 age65+ recap approximate households * R12 public-pension mean) / same plus R11 age18-64 term,age recap household counts can overlap; aggregate equivalized cells do not identify filer/person pension-age allocation,ESTAT-7155-1-2024,data/raw/estat/000040490418.xlsx,f38e97b7e619a43ca89140039dab7332100976de6772ef26f9d8b06e3c799892,SENSITIVITY_PROXY_NOT_IDENTIFIED
9,R09_十分位9,6630,M46448,5810,AC46448,2450,AD46448,1.24585218703,442,M46461,207,AC46461,1608,AD46461,1202670,3939600,0.766120798791,(R12 age65+ recap approximate households * R12 public-pension mean) / same plus R11 age18-64 term,age recap household counts can overlap; aggregate equivalized cells do not identify filer/person pension-age allocation,ESTAT-7155-1-2024,data/raw/estat/000040490418.xlsx,f38e97b7e619a43ca89140039dab7332100976de6772ef26f9d8b06e3c799892,SENSITIVITY_PROXY_NOT_IDENTIFIED
10,R10_十分位10,5830,M47996,5070,AC47996,2070,AD47996,1.22469982847,390,M48009,173,AC48009,1489,AD48009,877110,3082230,0.7784706542,(R12 age65+ recap approximate households * R12 public-pension mean) / same plus R11 age18-64 term,age recap household counts can overlap; aggregate equivalized cells do not identify filer/person pension-age allocation,ESTAT-7155-1-2024,data/raw/estat/000040490418.xlsx,f38e97b7e619a43ca89140039dab7332100976de6772ef26f9d8b06e3c799892,SENSITIVITY_PROXY_NOT_IDENTIFIED
