decile,household_size_proxy,household_size_proxy_status,household_size_proxy_topcode7,household_size_proxy_topcode8,household_size_proxy_topcode10,senior_share_65p,senior_share_status,source_id,source_stat_inf_id,source_file,source_sha256,household_size_source_cells,senior_share_source_cells
1,1.65640285295,SENSITIVITY_PROXY_TOPCODE_6PLUS_AS_6,1.65909851861,1.66112603281,1.66397289215,0.465826258205,PUBLISHED_AGGREGATE_RATIO,ESTAT-7191-1-2024,000040490431,data/raw/estat/000040490431.xlsx,3e58114ef07d0cc1b60c8acf9137ba9d33c48c1437f5f593a7f1c00a5fba7008,O14264;O27728;O41192;O54656;O68120;O81584,O800;V800;W800;X800
2,1.90052886716,SENSITIVITY_PROXY_TOPCODE_6PLUS_AS_6,1.90371251096,1.90610725221,1.90947002957,0.450913988978,PUBLISHED_AGGREGATE_RATIO,ESTAT-7191-1-2024,000040490431,data/raw/estat/000040490431.xlsx,3e58114ef07d0cc1b60c8acf9137ba9d33c48c1437f5f593a7f1c00a5fba7008,O14300;O27764;O41228;O54692;O68156;O81620,O836;V836;W836;X836
3,2.0909508025,SENSITIVITY_PROXY_TOPCODE_6PLUS_AS_6,2.09555210806,2.09901639897,2.10388569375,0.414016765734,PUBLISHED_AGGREGATE_RATIO,ESTAT-7191-1-2024,000040490431,data/raw/estat/000040490431.xlsx,3e58114ef07d0cc1b60c8acf9137ba9d33c48c1437f5f593a7f1c00a5fba7008,O14336;O27800;O41264;O54728;O68192;O81656,O872;V872;W872;X872
4,2.14755100183,SENSITIVITY_PROXY_TOPCODE_6PLUS_AS_6,2.15256947129,2.15634874254,2.16166207173,0.346370334654,PUBLISHED_AGGREGATE_RATIO,ESTAT-7191-1-2024,000040490431,data/raw/estat/000040490431.xlsx,3e58114ef07d0cc1b60c8acf9137ba9d33c48c1437f5f593a7f1c00a5fba7008,O14372;O27836;O41300;O54764;O68228;O81692,O908;V908;W908;X908
5,2.36744052064,SENSITIVITY_PROXY_TOPCODE_6PLUS_AS_6,2.37352746874,2.3781132604,2.38456321912,0.274192654849,PUBLISHED_AGGREGATE_RATIO,ESTAT-7191-1-2024,000040490431,data/raw/estat/000040490431.xlsx,3e58114ef07d0cc1b60c8acf9137ba9d33c48c1437f5f593a7f1c00a5fba7008,O14408;O27872;O41336;O54800;O68264;O81728,O944;V944;W944;X944
6,2.33439541097,SENSITIVITY_PROXY_TOPCODE_6PLUS_AS_6,2.34087164172,2.34575244534,2.35261986408,0.235635995978,PUBLISHED_AGGREGATE_RATIO,ESTAT-7191-1-2024,000040490431,data/raw/estat/000040490431.xlsx,3e58114ef07d0cc1b60c8acf9137ba9d33c48c1437f5f593a7f1c00a5fba7008,O14444;O27908;O41372;O54836;O68300;O81764,O980;V980;W980;X980
7,2.44533167088,SENSITIVITY_PROXY_TOPCODE_6PLUS_AS_6,2.45128091156,2.45576187378,2.46206281406,0.202107687811,PUBLISHED_AGGREGATE_RATIO,ESTAT-7191-1-2024,000040490431,data/raw/estat/000040490431.xlsx,3e58114ef07d0cc1b60c8acf9137ba9d33c48c1437f5f593a7f1c00a5fba7008,O14480;O27944;O41408;O54872;O68336;O81800,O1016;V1016;W1016;X1016
8,2.37106200946,SENSITIVITY_PROXY_TOPCODE_6PLUS_AS_6,2.37690875,2.3813127632,2.38750587024,0.195419813684,PUBLISHED_AGGREGATE_RATIO,ESTAT-7191-1-2024,000040490431,data/raw/estat/000040490431.xlsx,3e58114ef07d0cc1b60c8acf9137ba9d33c48c1437f5f593a7f1c00a5fba7008,O14516;O27980;O41444;O54908;O68372;O81836,O1052;V1052;W1052;X1052
9,2.29098562899,SENSITIVITY_PROXY_TOPCODE_6PLUS_AS_6,2.29504596214,2.29810066954,2.30239094655,0.179393323118,PUBLISHED_AGGREGATE_RATIO,ESTAT-7191-1-2024,000040490431,data/raw/estat/000040490431.xlsx,3e58114ef07d0cc1b60c8acf9137ba9d33c48c1437f5f593a7f1c00a5fba7008,O14552;O28016;O41480;O54944;O68408;O81872,O1088;V1088;W1088;X1088
10,2.28111971368,SENSITIVITY_PROXY_TOPCODE_6PLUS_AS_6,2.28558400736,2.28894371166,2.29366392564,0.171505450782,PUBLISHED_AGGREGATE_RATIO,ESTAT-7191-1-2024,000040490431,data/raw/estat/000040490431.xlsx,3e58114ef07d0cc1b60c8acf9137ba9d33c48c1437f5f593a7f1c00a5fba7008,O14588;O28052;O41516;O54980;O68444;O81908,O1124;V1124;W1124;X1124
