decile,household_count_approx,household_count_source_cell,source_id,source_file,source_sha256,income_tax_kY,income_tax_yen,income_tax_kY_source_cell,resident_tax_kY,resident_tax_yen,resident_tax_kY_source_cell,public_pension_contribution_kY,public_pension_contribution_yen,public_pension_contribution_kY_source_cell,health_insurance_contribution_kY,health_insurance_contribution_yen,health_insurance_contribution_kY_source_cell,long_term_care_contribution_kY,long_term_care_contribution_yen,long_term_care_contribution_kY_source_cell
1,8620,AC8,ESTAT-7153-1-2024,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c,2,2000,AC42,7,7000,AC43,86,86000,AC44,114,114000,AC45,10,10000,AC46
2,8690,AD8,ESTAT-7153-1-2024,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c,5,5000,AD42,28,28000,AD43,110,110000,AD44,117,117000,AD45,11,11000,AD46
3,8350,AE8,ESTAT-7153-1-2024,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c,7,7000,AE42,50,50000,AE43,143,143000,AE44,126,126000,AE45,13,13000,AE46
4,7860,AF8,ESTAT-7153-1-2024,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c,17,17000,AF42,78,78000,AF43,186,186000,AF44,139,139000,AF45,14,14000,AF46
5,7670,AG8,ESTAT-7153-1-2024,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c,32,32000,AG42,110,110000,AG43,238,238000,AG44,157,157000,AG45,17,17000,AG46
6,6980,AH8,ESTAT-7153-1-2024,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c,57,57000,AH42,142,142000,AH43,286,286000,AH44,178,178000,AH45,19,19000,AH46
7,6810,AI8,ESTAT-7153-1-2024,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c,96,96000,AI42,181,181000,AI43,342,342000,AI44,201,201000,AI45,23,23000,AI46
8,6710,AJ8,ESTAT-7153-1-2024,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c,152,152000,AJ42,229,229000,AJ43,396,396000,AJ44,229,229000,AJ45,27,27000,AJ46
9,6630,AK8,ESTAT-7153-1-2024,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c,252,252000,AK42,306,306000,AK43,479,479000,AK44,269,269000,AK45,33,33000,AK46
10,5830,AL8,ESTAT-7153-1-2024,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c,1031,1031000,AL42,624,624000,AL43,682,682000,AL44,375,375000,AL45,51,51000,AL46
