decile,household_type,household_type_code,household_type_label,source_id,source_stat_inf_id,source_file,source_sha256,household_count_approx,household_count_approx_source_cell,household_count_approx_missing_marker,cash_income_kY,cash_income_kY_source_cell,cash_income_kY_missing_marker,wage_income_kY,wage_income_kY_source_cell,wage_income_kY_missing_marker,head_wage_kY,head_wage_kY_source_cell,head_wage_kY_missing_marker,spouse_wage_kY,spouse_wage_kY_source_cell,spouse_wage_kY_missing_marker,other_member_wage_kY,other_member_wage_kY_source_cell,other_member_wage_kY_missing_marker,business_kY,business_kY_source_cell,business_kY_missing_marker,interest_dividend_kY,interest_dividend_kY_source_cell,interest_dividend_kY_missing_marker,public_pension_kY,public_pension_kY_source_cell,public_pension_kY_missing_marker,head_public_pension_kY,head_public_pension_kY_source_cell,head_public_pension_kY_missing_marker,spouse_public_pension_kY,spouse_public_pension_kY_source_cell,spouse_public_pension_kY_missing_marker,other_member_public_pension_kY,other_member_public_pension_kY_source_cell,other_member_public_pension_kY_missing_marker,other_social_security_kY,other_social_security_kY_source_cell,other_social_security_kY_missing_marker,enterprise_private_pension_kY,enterprise_private_pension_kY_source_cell,enterprise_private_pension_kY_missing_marker,income_tax_kY,income_tax_kY_source_cell,income_tax_kY_missing_marker,resident_tax_kY,resident_tax_kY_source_cell,resident_tax_kY_missing_marker,public_pension_contribution_kY,public_pension_contribution_kY_source_cell,public_pension_contribution_kY_missing_marker,health_insurance_contribution_kY,health_insurance_contribution_kY_source_cell,health_insurance_contribution_kY_missing_marker,long_term_care_contribution_kY,long_term_care_contribution_kY_source_cell,long_term_care_contribution_kY_missing_marker
1,0111_無業,0111,無業,ESTAT-7156-1-2024,000040490419,data/raw/estat/000040490419.xlsx,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f,450,N34064,,1025,N34066,,116,N34067,,116,N34068,,,N34069,-,,N34070,-,26,N34071,,30,N34076,,274,N34077,,274,N34078,,,N34079,-,,N34080,-,421,N34081,,68,N34082,,4,N34098,,4,N34099,,125,N34100,,101,N34101,,7,N34102,
1,0112_有業,0112,有業,ESTAT-7156-1-2024,000040490419,data/raw/estat/000040490419.xlsx,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f,640,O34064,,1283,O34066,,875,O34067,,875,O34068,,,O34069,-,,O34070,-,302,O34071,,8,O34076,,28,O34077,,28,O34078,,,O34079,-,,O34080,-,28,O34081,,11,O34082,,2,O34098,,15,O34099,,119,O34100,,68,O34101,,7,O34102,
1,0121_無業,0121,無業,ESTAT-7156-1-2024,000040490419,data/raw/estat/000040490419.xlsx,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f,60,Q34064,,998,Q34066,,94,Q34067,,88,Q34068,,,Q34069,-,6,Q34070,,66,Q34071,,1,Q34076,,96,Q34077,,96,Q34078,,,Q34079,-,,Q34080,-,630,Q34081,,,Q34082,-,0,Q34098,,1,Q34099,,120,Q34100,,178,Q34101,,3,Q34102,
1,0122_有業,0122,有業,ESTAT-7156-1-2024,000040490419,data/raw/estat/000040490419.xlsx,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f,300,R34064,,1195,R34066,,776,R34067,,776,R34068,,,R34069,-,0,R34070,,154,R34071,,0,R34076,,12,R34077,,12,R34078,,,R34079,-,,R34080,-,227,R34081,,0,R34082,,0,R34098,,4,R34099,,92,R34100,,66,R34101,,4,R34102,
1,0131_有業者なし,0131,有業者なし,ESTAT-7156-1-2024,000040490419,data/raw/estat/000040490419.xlsx,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f,210,T34064,,1122,T34066,,126,T34067,,99,T34068,,16,T34069,,10,T34070,,58,T34071,,100,T34076,,564,T34077,,271,T34078,,101,T34079,,191,T34080,,152,T34081,,94,T34082,,15,T34098,,10,T34099,,128,T34100,,142,T34101,,12,T34102,
1,0132_有業者１人,0132,有業者１人,ESTAT-7156-1-2024,000040490419,data/raw/estat/000040490419.xlsx,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f,460,U34064,,1394,U34066,,930,U34067,,748,U34068,,120,U34069,,62,U34070,,195,U34071,,20,U34076,,159,U34077,,67,U34078,,8,U34079,,85,U34080,,35,U34081,,35,U34082,,4,U34098,,11,U34099,,164,U34100,,98,U34101,,10,U34102,
1,0133_有業者２人以上,0133,有業者２人以上,ESTAT-7156-1-2024,000040490419,data/raw/estat/000040490419.xlsx,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f,330,V34064,,1546,V34066,,1069,V34067,,771,V34068,,186,V34069,,112,V34070,,371,V34071,,3,V34076,,76,V34077,,41,V34078,,5,V34079,,30,V34080,,9,V34081,,6,V34082,,1,V34098,,11,V34099,,187,V34100,,113,V34101,,11,V34102,
1,0141_有業者なし,0141,有業者なし,ESTAT-7156-1-2024,000040490419,data/raw/estat/000040490419.xlsx,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f,30,X34064,,976,X34066,,95,X34067,,94,X34068,,1,X34069,,,X34070,-,9,X34071,,2,X34076,,133,X34077,,112,X34078,,14,X34079,,8,X34080,,712,X34081,,10,X34082,,0,X34098,,1,X34099,,132,X34100,,197,X34101,,5,X34102,
1,0142_有業者１人,0142,有業者１人,ESTAT-7156-1-2024,000040490419,data/raw/estat/000040490419.xlsx,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f,270,Y34064,,1379,Y34066,,776,Y34067,,587,Y34068,,167,Y34069,,22,Y34070,,361,Y34071,,6,Y34076,,26,Y34077,,10,Y34078,,6,Y34079,,9,Y34080,,189,Y34081,,4,Y34082,,2,Y34098,,22,Y34099,,154,Y34100,,143,Y34101,,6,Y34102,
1,0143_有業者２人以上,0143,有業者２人以上,ESTAT-7156-1-2024,000040490419,data/raw/estat/000040490419.xlsx,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f,330,Z34064,,1541,Z34066,,731,Z34067,,463,Z34068,,225,Z34069,,43,Z34070,,643,Z34071,,3,Z34076,,24,Z34077,,5,Z34078,,,Z34079,-,18,Z34080,,130,Z34081,,2,Z34082,,1,Z34098,,22,Z34099,,162,Z34100,,156,Z34101,,8,Z34102,
