industry_code,industry_name,wage_formula,hourly_rate_yen,meti_mean_hours_lower_bound,mechanical_internal_labor_cost_lower_yen_per_respondent_reported_period,hours_source_id,wage_source_id,identification_status,model_calibration_permission,note
01,Ｔ１ 産業計,scheduled_hour_rate,1923.125,15.126155878468,29089.488523778772,METI-2021-SME-TAX-SURVEY,ESTAT-BSWS-2019-INDUSTRY-WAGE-DB-SNAPSHOT,MECHANICAL_WAGE_CONVERSION_SENSITIVITY_NOT_ANNUAL_NOT_POPULATION_ESTIMATE,DO_NOT_USE_AS_NATIONAL_C_VAT,"Multiplies the conditional METI Q8-3 respondent-subset hours lower bound by a 2019 BSWS industry wage candidate. Q8-3 period, respondent industry mix, population selection, temporal alignment, and VAT-specific external outsourcing remain unresolved."
01,Ｔ１ 産業計,regular_cash_effective_hour_rate,1953.757225433526,15.126155878468,29552.836340590659,METI-2021-SME-TAX-SURVEY,ESTAT-BSWS-2019-INDUSTRY-WAGE-DB-SNAPSHOT,MECHANICAL_WAGE_CONVERSION_SENSITIVITY_NOT_ANNUAL_NOT_POPULATION_ESTIMATE,DO_NOT_USE_AS_NATIONAL_C_VAT,"Multiplies the conditional METI Q8-3 respondent-subset hours lower bound by a 2019 BSWS industry wage candidate. Q8-3 period, respondent industry mix, population selection, temporal alignment, and VAT-specific external outsourcing remain unresolved."
02,Ｃ 鉱業，採石業，砂利採取業,scheduled_hour_rate,2032.919254658385,15.126155878468,30750.253534301715,METI-2021-SME-TAX-SURVEY,ESTAT-BSWS-2019-INDUSTRY-WAGE-DB-SNAPSHOT,MECHANICAL_WAGE_CONVERSION_SENSITIVITY_NOT_ANNUAL_NOT_POPULATION_ESTIMATE,DO_NOT_USE_AS_NATIONAL_C_VAT,"Multiplies the conditional METI Q8-3 respondent-subset hours lower bound by a 2019 BSWS industry wage candidate. Q8-3 period, respondent industry mix, population selection, temporal alignment, and VAT-specific external outsourcing remain unresolved."
02,Ｃ 鉱業，採石業，砂利採取業,regular_cash_effective_hour_rate,2048.295454545455,15.126155878468,30982.836330612018,METI-2021-SME-TAX-SURVEY,ESTAT-BSWS-2019-INDUSTRY-WAGE-DB-SNAPSHOT,MECHANICAL_WAGE_CONVERSION_SENSITIVITY_NOT_ANNUAL_NOT_POPULATION_ESTIMATE,DO_NOT_USE_AS_NATIONAL_C_VAT,"Multiplies the conditional METI Q8-3 respondent-subset hours lower bound by a 2019 BSWS industry wage candidate. Q8-3 period, respondent industry mix, population selection, temporal alignment, and VAT-specific external outsourcing remain unresolved."
03,Ｄ 建設業,scheduled_hour_rate,2004.819277108434,15.126155878468,30325.208893699705,METI-2021-SME-TAX-SURVEY,ESTAT-BSWS-2019-INDUSTRY-WAGE-DB-SNAPSHOT,MECHANICAL_WAGE_CONVERSION_SENSITIVITY_NOT_ANNUAL_NOT_POPULATION_ESTIMATE,DO_NOT_USE_AS_NATIONAL_C_VAT,"Multiplies the conditional METI Q8-3 respondent-subset hours lower bound by a 2019 BSWS industry wage candidate. Q8-3 period, respondent industry mix, population selection, temporal alignment, and VAT-specific external outsourcing remain unresolved."
03,Ｄ 建設業,regular_cash_effective_hour_rate,2026.111111111111,15.126155878468,30647.272493762663,METI-2021-SME-TAX-SURVEY,ESTAT-BSWS-2019-INDUSTRY-WAGE-DB-SNAPSHOT,MECHANICAL_WAGE_CONVERSION_SENSITIVITY_NOT_ANNUAL_NOT_POPULATION_ESTIMATE,DO_NOT_USE_AS_NATIONAL_C_VAT,"Multiplies the conditional METI Q8-3 respondent-subset hours lower bound by a 2019 BSWS industry wage candidate. Q8-3 period, respondent industry mix, population selection, temporal alignment, and VAT-specific external outsourcing remain unresolved."
07,Ｅ 製造業,scheduled_hour_rate,1822.222222222222,15.126155878468,27563.217378541686,METI-2021-SME-TAX-SURVEY,ESTAT-BSWS-2019-INDUSTRY-WAGE-DB-SNAPSHOT,MECHANICAL_WAGE_CONVERSION_SENSITIVITY_NOT_ANNUAL_NOT_POPULATION_ESTIMATE,DO_NOT_USE_AS_NATIONAL_C_VAT,"Multiplies the conditional METI Q8-3 respondent-subset hours lower bound by a 2019 BSWS industry wage candidate. Q8-3 period, respondent industry mix, population selection, temporal alignment, and VAT-specific external outsourcing remain unresolved."
07,Ｅ 製造業,regular_cash_effective_hour_rate,1868.715083798883,15.126155878468,28266.475649986295,METI-2021-SME-TAX-SURVEY,ESTAT-BSWS-2019-INDUSTRY-WAGE-DB-SNAPSHOT,MECHANICAL_WAGE_CONVERSION_SENSITIVITY_NOT_ANNUAL_NOT_POPULATION_ESTIMATE,DO_NOT_USE_AS_NATIONAL_C_VAT,"Multiplies the conditional METI Q8-3 respondent-subset hours lower bound by a 2019 BSWS industry wage candidate. Q8-3 period, respondent industry mix, population selection, temporal alignment, and VAT-specific external outsourcing remain unresolved."
32,Ｆ 電気・ガス・熱供給・水道業,scheduled_hour_rate,2768.456375838926,15.126155878468,41876.102683678185,METI-2021-SME-TAX-SURVEY,ESTAT-BSWS-2019-INDUSTRY-WAGE-DB-SNAPSHOT,MECHANICAL_WAGE_CONVERSION_SENSITIVITY_NOT_ANNUAL_NOT_POPULATION_ESTIMATE,DO_NOT_USE_AS_NATIONAL_C_VAT,"Multiplies the conditional METI Q8-3 respondent-subset hours lower bound by a 2019 BSWS industry wage candidate. Q8-3 period, respondent industry mix, population selection, temporal alignment, and VAT-specific external outsourcing remain unresolved."
32,Ｆ 電気・ガス・熱供給・水道業,regular_cash_effective_hour_rate,2851.851851851852,15.126155878468,43137.555653408743,METI-2021-SME-TAX-SURVEY,ESTAT-BSWS-2019-INDUSTRY-WAGE-DB-SNAPSHOT,MECHANICAL_WAGE_CONVERSION_SENSITIVITY_NOT_ANNUAL_NOT_POPULATION_ESTIMATE,DO_NOT_USE_AS_NATIONAL_C_VAT,"Multiplies the conditional METI Q8-3 respondent-subset hours lower bound by a 2019 BSWS industry wage candidate. Q8-3 period, respondent industry mix, population selection, temporal alignment, and VAT-specific external outsourcing remain unresolved."
