income_class_index,income_class_label,lower_bound_yen_exclusive,upper_bound_yen_inclusive,is_topcoded,primary_income_type,primary_income_type_ja,table22_population_persons,positive_self_assessed_balance_persons,refund_persons,neither_positive_nor_refund_residual,positive_self_assessed_balance_rate,refund_rate,residual_rate,income_class_all_categories_table22_population_persons,income_class_all_categories_positive_self_assessed_balance_persons,income_class_all_categories_refund_persons,sample_survey_positive_self_assessed_balance_cell,sample_crosscheck_difference,source_id,source_file,source_sha256,source_locator,source_printed_page,source_pdf_page_1based,pypdf_version,cryptography_version,population_definition,denominator_note,cell_nature,evidence_status,identification_warning
1,70万円以下,,700000,False,business,事業所得者,1149818,5797,287551,856470,0.00504166746389,0.250083926326,0.74487440621,4301396,16171,2137229,5797,0,NTA-R06,data/raw/nta/nta_fy2024_annual_statistics.pdf,18e26ad7d255a41d82d171d42478c76a36bae5cb8345c65fef717318db5bf529,"Table 2-2(1), printed pp.61-62 / PDF pages 71-72",61,71,6.1.1,50.0.1,"Table 2-2(1): persons who filed for 2024 or whose income-tax cases were processed (correction/determination etc.) by 2025-03-31, classified as of 2025-06-30",table22_population_persons is not the stage-1 NTA final-return numerator and is not restricted to voluntary final-return filings alone,ADMINISTRATIVE_ANNUAL_STATISTICS_COUNT,REPRODUCED_OFFICIAL_ADMINISTRATIVE_CROSSTAB,NTA total net income is not F71561 equivalized disposable income; decile linkage still requires an explicit bridge assumption
1,70万円以下,,700000,False,real_estate,不動産所得者,270688,3787,43473,223428,0.0139902766284,0.160601873744,0.825407849628,4301396,16171,2137229,3787,0,NTA-R06,data/raw/nta/nta_fy2024_annual_statistics.pdf,18e26ad7d255a41d82d171d42478c76a36bae5cb8345c65fef717318db5bf529,"Table 2-2(1), printed pp.61-62 / PDF pages 71-72",61,71,6.1.1,50.0.1,"Table 2-2(1): persons who filed for 2024 or whose income-tax cases were processed (correction/determination etc.) by 2025-03-31, classified as of 2025-06-30",table22_population_persons is not the stage-1 NTA final-return numerator and is not restricted to voluntary final-return filings alone,ADMINISTRATIVE_ANNUAL_STATISTICS_COUNT,REPRODUCED_OFFICIAL_ADMINISTRATIVE_CROSSTAB,NTA total net income is not F71561 equivalized disposable income; decile linkage still requires an explicit bridge assumption
1,70万円以下,,700000,False,salary,給与所得者,942026,2218,679968,259840,0.00235449976965,0.721814472212,0.275831028018,4301396,16171,2137229,2218,0,NTA-R06,data/raw/nta/nta_fy2024_annual_statistics.pdf,18e26ad7d255a41d82d171d42478c76a36bae5cb8345c65fef717318db5bf529,"Table 2-2(1), printed pp.61-62 / PDF pages 71-72",62,72,6.1.1,50.0.1,"Table 2-2(1): persons who filed for 2024 or whose income-tax cases were processed (correction/determination etc.) by 2025-03-31, classified as of 2025-06-30",table22_population_persons is not the stage-1 NTA final-return numerator and is not restricted to voluntary final-return filings alone,ADMINISTRATIVE_ANNUAL_STATISTICS_COUNT,REPRODUCED_OFFICIAL_ADMINISTRATIVE_CROSSTAB,NTA total net income is not F71561 equivalized disposable income; decile linkage still requires an explicit bridge assumption
1,70万円以下,,700000,False,miscellaneous,雑所得者,1725782,3422,952851,769509,0.00198286921523,0.552127093689,0.445890037096,4301396,16171,2137229,3422,0,NTA-R06,data/raw/nta/nta_fy2024_annual_statistics.pdf,18e26ad7d255a41d82d171d42478c76a36bae5cb8345c65fef717318db5bf529,"Table 2-2(1), printed pp.61-62 / PDF pages 71-72",62,72,6.1.1,50.0.1,"Table 2-2(1): persons who filed for 2024 or whose income-tax cases were processed (correction/determination etc.) by 2025-03-31, classified as of 2025-06-30",table22_population_persons is not the stage-1 NTA final-return numerator and is not restricted to voluntary final-return filings alone,ADMINISTRATIVE_ANNUAL_STATISTICS_COUNT,REPRODUCED_OFFICIAL_ADMINISTRATIVE_CROSSTAB,NTA total net income is not F71561 equivalized disposable income; decile linkage still requires an explicit bridge assumption
1,70万円以下,,700000,False,other,他の区分に該当しない所得者,213082,947,173386,38749,0.0044442984391,0.813705521818,0.181850179743,4301396,16171,2137229,947,0,NTA-R06,data/raw/nta/nta_fy2024_annual_statistics.pdf,18e26ad7d255a41d82d171d42478c76a36bae5cb8345c65fef717318db5bf529,"Table 2-2(1), printed pp.61-62 / PDF pages 71-72",62,72,6.1.1,50.0.1,"Table 2-2(1): persons who filed for 2024 or whose income-tax cases were processed (correction/determination etc.) by 2025-03-31, classified as of 2025-06-30",table22_population_persons is not the stage-1 NTA final-return numerator and is not restricted to voluntary final-return filings alone,ADMINISTRATIVE_ANNUAL_STATISTICS_COUNT,REPRODUCED_OFFICIAL_ADMINISTRATIVE_CROSSTAB,NTA total net income is not F71561 equivalized disposable income; decile linkage still requires an explicit bridge assumption
2,100万円,700000,1000000,False,business,事業所得者,277654,3468,89803,184383,0.012490365707,0.323434922602,0.664074711692,1255432,13549,756204,3468,0,NTA-R06,data/raw/nta/nta_fy2024_annual_statistics.pdf,18e26ad7d255a41d82d171d42478c76a36bae5cb8345c65fef717318db5bf529,"Table 2-2(1), printed pp.61-62 / PDF pages 71-72",61,71,6.1.1,50.0.1,"Table 2-2(1): persons who filed for 2024 or whose income-tax cases were processed (correction/determination etc.) by 2025-03-31, classified as of 2025-06-30",table22_population_persons is not the stage-1 NTA final-return numerator and is not restricted to voluntary final-return filings alone,ADMINISTRATIVE_ANNUAL_STATISTICS_COUNT,REPRODUCED_OFFICIAL_ADMINISTRATIVE_CROSSTAB,NTA total net income is not F71561 equivalized disposable income; decile linkage still requires an explicit bridge assumption
2,100万円,700000,1000000,False,real_estate,不動産所得者,102524,2477,16043,84004,0.0241601966369,0.15648043385,0.819359369513,1255432,13549,756204,2477,0,NTA-R06,data/raw/nta/nta_fy2024_annual_statistics.pdf,18e26ad7d255a41d82d171d42478c76a36bae5cb8345c65fef717318db5bf529,"Table 2-2(1), printed pp.61-62 / PDF pages 71-72",61,71,6.1.1,50.0.1,"Table 2-2(1): persons who filed for 2024 or whose income-tax cases were processed (correction/determination etc.) by 2025-03-31, classified as of 2025-06-30",table22_population_persons is not the stage-1 NTA final-return numerator and is not restricted to voluntary final-return filings alone,ADMINISTRATIVE_ANNUAL_STATISTICS_COUNT,REPRODUCED_OFFICIAL_ADMINISTRATIVE_CROSSTAB,NTA total net income is not F71561 equivalized disposable income; decile linkage still requires an explicit bridge assumption
2,100万円,700000,1000000,False,salary,給与所得者,371909,1169,260243,110497,0.00314324202964,0.69974913218,0.29710762579,1255432,13549,756204,1169,0,NTA-R06,data/raw/nta/nta_fy2024_annual_statistics.pdf,18e26ad7d255a41d82d171d42478c76a36bae5cb8345c65fef717318db5bf529,"Table 2-2(1), printed pp.61-62 / PDF pages 71-72",62,72,6.1.1,50.0.1,"Table 2-2(1): persons who filed for 2024 or whose income-tax cases were processed (correction/determination etc.) by 2025-03-31, classified as of 2025-06-30",table22_population_persons is not the stage-1 NTA final-return numerator and is not restricted to voluntary final-return filings alone,ADMINISTRATIVE_ANNUAL_STATISTICS_COUNT,REPRODUCED_OFFICIAL_ADMINISTRATIVE_CROSSTAB,NTA total net income is not F71561 equivalized disposable income; decile linkage still requires an explicit bridge assumption
2,100万円,700000,1000000,False,miscellaneous,雑所得者,468417,2633,367337,98447,0.0056210598676,0.784209369002,0.21016957113,1255432,13549,756204,2633,0,NTA-R06,data/raw/nta/nta_fy2024_annual_statistics.pdf,18e26ad7d255a41d82d171d42478c76a36bae5cb8345c65fef717318db5bf529,"Table 2-2(1), printed pp.61-62 / PDF pages 71-72",62,72,6.1.1,50.0.1,"Table 2-2(1): persons who filed for 2024 or whose income-tax cases were processed (correction/determination etc.) by 2025-03-31, classified as of 2025-06-30",table22_population_persons is not the stage-1 NTA final-return numerator and is not restricted to voluntary final-return filings alone,ADMINISTRATIVE_ANNUAL_STATISTICS_COUNT,REPRODUCED_OFFICIAL_ADMINISTRATIVE_CROSSTAB,NTA total net income is not F71561 equivalized disposable income; decile linkage still requires an explicit bridge assumption
2,100万円,700000,1000000,False,other,他の区分に該当しない所得者,34928,3802,22778,8348,0.108852496564,0.652141548328,0.239005955108,1255432,13549,756204,3802,0,NTA-R06,data/raw/nta/nta_fy2024_annual_statistics.pdf,18e26ad7d255a41d82d171d42478c76a36bae5cb8345c65fef717318db5bf529,"Table 2-2(1), printed pp.61-62 / PDF pages 71-72",62,72,6.1.1,50.0.1,"Table 2-2(1): persons who filed for 2024 or whose income-tax cases were processed (correction/determination etc.) by 2025-03-31, classified as of 2025-06-30",table22_population_persons is not the stage-1 NTA final-return numerator and is not restricted to voluntary final-return filings alone,ADMINISTRATIVE_ANNUAL_STATISTICS_COUNT,REPRODUCED_OFFICIAL_ADMINISTRATIVE_CROSSTAB,NTA total net income is not F71561 equivalized disposable income; decile linkage still requires an explicit bridge assumption
3,150万円,1000000,1500000,False,business,事業所得者,390029,46153,121382,222494,0.118332226578,0.311212755975,0.570455017447,2517909,128633,1716372,46153,0,NTA-R06,data/raw/nta/nta_fy2024_annual_statistics.pdf,18e26ad7d255a41d82d171d42478c76a36bae5cb8345c65fef717318db5bf529,"Table 2-2(1), printed pp.61-62 / PDF pages 71-72",61,71,6.1.1,50.0.1,"Table 2-2(1): persons who filed for 2024 or whose income-tax cases were processed (correction/determination etc.) by 2025-03-31, classified as of 2025-06-30",table22_population_persons is not the stage-1 NTA final-return numerator and is not restricted to voluntary final-return filings alone,ADMINISTRATIVE_ANNUAL_STATISTICS_COUNT,REPRODUCED_OFFICIAL_ADMINISTRATIVE_CROSSTAB,NTA total net income is not F71561 equivalized disposable income; decile linkage still requires an explicit bridge assumption
3,150万円,1000000,1500000,False,real_estate,不動産所得者,147621,19355,26903,101363,0.131112782057,0.182243718712,0.686643499231,2517909,128633,1716372,19355,0,NTA-R06,data/raw/nta/nta_fy2024_annual_statistics.pdf,18e26ad7d255a41d82d171d42478c76a36bae5cb8345c65fef717318db5bf529,"Table 2-2(1), printed pp.61-62 / PDF pages 71-72",61,71,6.1.1,50.0.1,"Table 2-2(1): persons who filed for 2024 or whose income-tax cases were processed (correction/determination etc.) by 2025-03-31, classified as of 2025-06-30",table22_population_persons is not the stage-1 NTA final-return numerator and is not restricted to voluntary final-return filings alone,ADMINISTRATIVE_ANNUAL_STATISTICS_COUNT,REPRODUCED_OFFICIAL_ADMINISTRATIVE_CROSSTAB,NTA total net income is not F71561 equivalized disposable income; decile linkage still requires an explicit bridge assumption
