field_id,field_label,years_available,years_missing,year_count,availability_status
joint_research_identifier,専用識別番号,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024,,11,ALL_2014_2024
tax_year,課税年分,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024,,11,ALL_2014_2024
filing_date,申告年月日,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024,,11,ALL_2014_2024
filing_type,申告区分,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024,,11,ALL_2014_2024
salary_receipt_class,給与収入区分,2020;2021;2022;2023;2024,2014;2015;2016;2017;2018;2019,5,PARTIAL_PERIOD
salary_receipts,給与収入,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024,,11,ALL_2014_2024
salary_income,給与所得,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024,,11,ALL_2014_2024
withholding_tax,源泉徴収税額,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024,,11,ALL_2014_2024
self_assessed_balance,申告納税額,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024,,11,ALL_2014_2024
prepayment_tax,予定納税額,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024,,11,ALL_2014_2024
third_installment_payment,第３期分の税額（納める税金）,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024,,11,ALL_2014_2024
third_installment_refund,第３期分の税額（還付される税金）,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024,,11,ALL_2014_2024
amended_return_tax_increase,第３期分の税額の増加額,2022;2023;2024,2014;2015;2016;2017;2018;2019;2020;2021,3,PARTIAL_PERIOD
unpaid_withholding_tax,未納付の源泉所得税額,2019;2020;2021;2022;2023;2024,2014;2015;2016;2017;2018,6,PARTIAL_PERIOD
social_insurance_deduction,社会保険料控除,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024,,11,ALL_2014_2024
spouse_deduction,配偶者（特別）控除,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024,,11,ALL_2014_2024
dependent_deduction,扶養控除,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024,,11,ALL_2014_2024
basic_deduction,基礎控除,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024,,11,ALL_2014_2024
