tax_year,income_earner_category,income_earner_category_ja,salary_receipt_class_index,salary_receipt_class_label,salary_receipt_lower_bound_yen_exclusive,salary_receipt_upper_bound_yen_inclusive,salary_receipt_class_topcoded,salary_receipt_persons_estimated,salary_receipt_million_yen_estimated,salary_withholding_persons_estimated,salary_withholding_million_yen_estimated,no_salary_withholding_persons_estimated,source_id,source_cells,source_sha256_xlsx,visual_crosscheck_source_id,source_sha256_pdf,cell_nature,identification_warning
2024,all,合計,1,100万円以下,,1000000,False,310172,136562,122023,1891,188149,NTA-2024-SHINKOKU-T7-XLSX,E9:I9,626eec739f998eddfffcada85061d8050073d43a4fb05f5f7532603001213680,NTA-2024-SHINKOKU-T7-PDF,edb9e08376628e9b8de1f3815e6198a6ab96cfdb73ebbc5b4074ac8af3376ebc,SURVEY_ESTIMATED_POSITIVE_SELF_ASSESSED_BALANCE_SALARY_RECEIPT_CELL,Sample-survey estimate within positive-self-assessed-balance taxpayers; not a complete-survey count and not a person-level match to Private Salary Survey Table 19.
2024,all,合計,2,150万円〃,1000000,1500000,False,157275,195866,53574,1384,103701,NTA-2024-SHINKOKU-T7-XLSX,E10:I10,626eec739f998eddfffcada85061d8050073d43a4fb05f5f7532603001213680,NTA-2024-SHINKOKU-T7-PDF,edb9e08376628e9b8de1f3815e6198a6ab96cfdb73ebbc5b4074ac8af3376ebc,SURVEY_ESTIMATED_POSITIVE_SELF_ASSESSED_BALANCE_SALARY_RECEIPT_CELL,Sample-survey estimate within positive-self-assessed-balance taxpayers; not a complete-survey count and not a person-level match to Private Salary Survey Table 19.
2024,all,合計,3,200万円〃,1500000,2000000,False,165562,293092,66067,1711,99495,NTA-2024-SHINKOKU-T7-XLSX,E11:I11,626eec739f998eddfffcada85061d8050073d43a4fb05f5f7532603001213680,NTA-2024-SHINKOKU-T7-PDF,edb9e08376628e9b8de1f3815e6198a6ab96cfdb73ebbc5b4074ac8af3376ebc,SURVEY_ESTIMATED_POSITIVE_SELF_ASSESSED_BALANCE_SALARY_RECEIPT_CELL,Sample-survey estimate within positive-self-assessed-balance taxpayers; not a complete-survey count and not a person-level match to Private Salary Survey Table 19.
2024,all,合計,4,300万円〃,2000000,3000000,False,460055,1164476,282095,6952,177960,NTA-2024-SHINKOKU-T7-XLSX,E12:I12,626eec739f998eddfffcada85061d8050073d43a4fb05f5f7532603001213680,NTA-2024-SHINKOKU-T7-PDF,edb9e08376628e9b8de1f3815e6198a6ab96cfdb73ebbc5b4074ac8af3376ebc,SURVEY_ESTIMATED_POSITIVE_SELF_ASSESSED_BALANCE_SALARY_RECEIPT_CELL,Sample-survey estimate within positive-self-assessed-balance taxpayers; not a complete-survey count and not a person-level match to Private Salary Survey Table 19.
2024,all,合計,5,400万円〃,3000000,4000000,False,431304,1508935,330782,13917,100522,NTA-2024-SHINKOKU-T7-XLSX,E13:I13,626eec739f998eddfffcada85061d8050073d43a4fb05f5f7532603001213680,NTA-2024-SHINKOKU-T7-PDF,edb9e08376628e9b8de1f3815e6198a6ab96cfdb73ebbc5b4074ac8af3376ebc,SURVEY_ESTIMATED_POSITIVE_SELF_ASSESSED_BALANCE_SALARY_RECEIPT_CELL,Sample-survey estimate within positive-self-assessed-balance taxpayers; not a complete-survey count and not a person-level match to Private Salary Survey Table 19.
2024,all,合計,6,500万円〃,4000000,5000000,False,343747,1540904,304286,20729,39461,NTA-2024-SHINKOKU-T7-XLSX,E14:I14,626eec739f998eddfffcada85061d8050073d43a4fb05f5f7532603001213680,NTA-2024-SHINKOKU-T7-PDF,edb9e08376628e9b8de1f3815e6198a6ab96cfdb73ebbc5b4074ac8af3376ebc,SURVEY_ESTIMATED_POSITIVE_SELF_ASSESSED_BALANCE_SALARY_RECEIPT_CELL,Sample-survey estimate within positive-self-assessed-balance taxpayers; not a complete-survey count and not a person-level match to Private Salary Survey Table 19.
2024,all,合計,7,700万円〃,5000000,7000000,False,426506,2525197,412140,55844,14366,NTA-2024-SHINKOKU-T7-XLSX,E15:I15,626eec739f998eddfffcada85061d8050073d43a4fb05f5f7532603001213680,NTA-2024-SHINKOKU-T7-PDF,edb9e08376628e9b8de1f3815e6198a6ab96cfdb73ebbc5b4074ac8af3376ebc,SURVEY_ESTIMATED_POSITIVE_SELF_ASSESSED_BALANCE_SALARY_RECEIPT_CELL,Sample-survey estimate within positive-self-assessed-balance taxpayers; not a complete-survey count and not a person-level match to Private Salary Survey Table 19.
2024,all,合計,8,"1,000万円〃",7000000,10000000,False,409712,3345771,402780,143092,6932,NTA-2024-SHINKOKU-T7-XLSX,E16:I16,626eec739f998eddfffcada85061d8050073d43a4fb05f5f7532603001213680,NTA-2024-SHINKOKU-T7-PDF,edb9e08376628e9b8de1f3815e6198a6ab96cfdb73ebbc5b4074ac8af3376ebc,SURVEY_ESTIMATED_POSITIVE_SELF_ASSESSED_BALANCE_SALARY_RECEIPT_CELL,Sample-survey estimate within positive-self-assessed-balance taxpayers; not a complete-survey count and not a person-level match to Private Salary Survey Table 19.
2024,all,合計,9,"2,000万円〃",10000000,20000000,False,428621,5841143,427032,605302,1589,NTA-2024-SHINKOKU-T7-XLSX,E17:I17,626eec739f998eddfffcada85061d8050073d43a4fb05f5f7532603001213680,NTA-2024-SHINKOKU-T7-PDF,edb9e08376628e9b8de1f3815e6198a6ab96cfdb73ebbc5b4074ac8af3376ebc,SURVEY_ESTIMATED_POSITIVE_SELF_ASSESSED_BALANCE_SALARY_RECEIPT_CELL,Sample-survey estimate within positive-self-assessed-balance taxpayers; not a complete-survey count and not a person-level match to Private Salary Survey Table 19.
2024,all,合計,10,"3,000万円〃",20000000,30000000,False,144607,3214782,143457,636346,1150,NTA-2024-SHINKOKU-T7-XLSX,E18:I18,626eec739f998eddfffcada85061d8050073d43a4fb05f5f7532603001213680,NTA-2024-SHINKOKU-T7-PDF,edb9e08376628e9b8de1f3815e6198a6ab96cfdb73ebbc5b4074ac8af3376ebc,SURVEY_ESTIMATED_POSITIVE_SELF_ASSESSED_BALANCE_SALARY_RECEIPT_CELL,Sample-survey estimate within positive-self-assessed-balance taxpayers; not a complete-survey count and not a person-level match to Private Salary Survey Table 19.
