income_class_index,income_class_label,lower_bound_yen_exclusive,upper_bound_yen_inclusive,is_topcoded,primary_income_type,primary_income_type_ja,positive_liability_persons_estimated,source_cell,source_income_class_label_cell,source_income_class_label,income_class_positive_liability_total_estimated,income_class_total_source_cell,category_positive_liability_total,category_total_source_cell,share_within_income_class,share_within_primary_type,target_population,cell_nature,source_id_xlsx,source_file_xlsx,source_sha256_xlsx,visual_source_id_pdf,visual_source_file_pdf,visual_source_sha256_pdf,evidence_status,identification_warning
1,70万円以下,,700000,False,business,事業所得者,5797,D37,C37,70万円以下,16171,D9,1174065,D62,0.358481231835,0.00493754604728,NTA Sample Survey population: persons with positive self-assessed income tax,SURVEY_ESTIMATED_POPULATION_CELL,NTA-2024-SHINKOKU-T2-XLSX,data/raw/nta/nta_2024_shinkoku_sample_table2.xlsx,a134dc943714152ae351316b3442d8171705c65076c2b7e2f0a0aee7a7e1c791,NTA-2024-SHINKOKU-T2-PDF,data/raw/nta/nta_2024_shinkoku_sample_table2.pdf,9ebc7580d3922d7dfaba87e143d15d41307beb289960285734512601bb91ab26,REPRODUCED_OFFICIAL_SURVEY_ESTIMATE_CROSSTAB,NTA total-income class is not F71561 equivalized disposable-income decile; any bridge requires an explicit transport assumption
1,70万円以下,,700000,False,real_estate,不動産所得者,3787,D72,C72,70万円以下,16171,D9,804398,D97,0.234184651537,0.00470786849296,NTA Sample Survey population: persons with positive self-assessed income tax,SURVEY_ESTIMATED_POPULATION_CELL,NTA-2024-SHINKOKU-T2-XLSX,data/raw/nta/nta_2024_shinkoku_sample_table2.xlsx,a134dc943714152ae351316b3442d8171705c65076c2b7e2f0a0aee7a7e1c791,NTA-2024-SHINKOKU-T2-PDF,data/raw/nta/nta_2024_shinkoku_sample_table2.pdf,9ebc7580d3922d7dfaba87e143d15d41307beb289960285734512601bb91ab26,REPRODUCED_OFFICIAL_SURVEY_ESTIMATE_CROSSTAB,NTA total-income class is not F71561 equivalized disposable-income decile; any bridge requires an explicit transport assumption
1,70万円以下,,700000,False,salary,給与所得者,2218,D100,C100,70万円以下,16171,D9,2385726,D125,0.137159111991,0.000929696033828,NTA Sample Survey population: persons with positive self-assessed income tax,SURVEY_ESTIMATED_POPULATION_CELL,NTA-2024-SHINKOKU-T2-XLSX,data/raw/nta/nta_2024_shinkoku_sample_table2.xlsx,a134dc943714152ae351316b3442d8171705c65076c2b7e2f0a0aee7a7e1c791,NTA-2024-SHINKOKU-T2-PDF,data/raw/nta/nta_2024_shinkoku_sample_table2.pdf,9ebc7580d3922d7dfaba87e143d15d41307beb289960285734512601bb91ab26,REPRODUCED_OFFICIAL_SURVEY_ESTIMATE_CROSSTAB,NTA total-income class is not F71561 equivalized disposable-income decile; any bridge requires an explicit transport assumption
1,70万円以下,,700000,False,miscellaneous,雑所得者,3422,D135,C135,70万円以下,16171,D9,411376,D160,0.21161338198,0.00831842402085,NTA Sample Survey population: persons with positive self-assessed income tax,SURVEY_ESTIMATED_POPULATION_CELL,NTA-2024-SHINKOKU-T2-XLSX,data/raw/nta/nta_2024_shinkoku_sample_table2.xlsx,a134dc943714152ae351316b3442d8171705c65076c2b7e2f0a0aee7a7e1c791,NTA-2024-SHINKOKU-T2-PDF,data/raw/nta/nta_2024_shinkoku_sample_table2.pdf,9ebc7580d3922d7dfaba87e143d15d41307beb289960285734512601bb91ab26,REPRODUCED_OFFICIAL_SURVEY_ESTIMATE_CROSSTAB,NTA total-income class is not F71561 equivalized disposable-income decile; any bridge requires an explicit transport assumption
1,70万円以下,,700000,False,other,他の区分に該当しない所得者,947,D163,C163,70万円以下,16171,D9,382695,D188,0.0585616226578,0.00247455545539,NTA Sample Survey population: persons with positive self-assessed income tax,SURVEY_ESTIMATED_POPULATION_CELL,NTA-2024-SHINKOKU-T2-XLSX,data/raw/nta/nta_2024_shinkoku_sample_table2.xlsx,a134dc943714152ae351316b3442d8171705c65076c2b7e2f0a0aee7a7e1c791,NTA-2024-SHINKOKU-T2-PDF,data/raw/nta/nta_2024_shinkoku_sample_table2.pdf,9ebc7580d3922d7dfaba87e143d15d41307beb289960285734512601bb91ab26,REPRODUCED_OFFICIAL_SURVEY_ESTIMATE_CROSSTAB,NTA total-income class is not F71561 equivalized disposable-income decile; any bridge requires an explicit transport assumption
2,100万円,700000,1000000,False,business,事業所得者,3468,D38,C38,100万円,13549,D10,1174065,D62,0.255959849435,0.00295383986406,NTA Sample Survey population: persons with positive self-assessed income tax,SURVEY_ESTIMATED_POPULATION_CELL,NTA-2024-SHINKOKU-T2-XLSX,data/raw/nta/nta_2024_shinkoku_sample_table2.xlsx,a134dc943714152ae351316b3442d8171705c65076c2b7e2f0a0aee7a7e1c791,NTA-2024-SHINKOKU-T2-PDF,data/raw/nta/nta_2024_shinkoku_sample_table2.pdf,9ebc7580d3922d7dfaba87e143d15d41307beb289960285734512601bb91ab26,REPRODUCED_OFFICIAL_SURVEY_ESTIMATE_CROSSTAB,NTA total-income class is not F71561 equivalized disposable-income decile; any bridge requires an explicit transport assumption
2,100万円,700000,1000000,False,real_estate,不動産所得者,2477,D73,C73,100万円,13549,D10,804398,D97,0.182817920142,0.00307932143044,NTA Sample Survey population: persons with positive self-assessed income tax,SURVEY_ESTIMATED_POPULATION_CELL,NTA-2024-SHINKOKU-T2-XLSX,data/raw/nta/nta_2024_shinkoku_sample_table2.xlsx,a134dc943714152ae351316b3442d8171705c65076c2b7e2f0a0aee7a7e1c791,NTA-2024-SHINKOKU-T2-PDF,data/raw/nta/nta_2024_shinkoku_sample_table2.pdf,9ebc7580d3922d7dfaba87e143d15d41307beb289960285734512601bb91ab26,REPRODUCED_OFFICIAL_SURVEY_ESTIMATE_CROSSTAB,NTA total-income class is not F71561 equivalized disposable-income decile; any bridge requires an explicit transport assumption
2,100万円,700000,1000000,False,salary,給与所得者,1169,D101,C101,100万円,13549,D10,2385726,D125,0.0862794302163,0.000489997594024,NTA Sample Survey population: persons with positive self-assessed income tax,SURVEY_ESTIMATED_POPULATION_CELL,NTA-2024-SHINKOKU-T2-XLSX,data/raw/nta/nta_2024_shinkoku_sample_table2.xlsx,a134dc943714152ae351316b3442d8171705c65076c2b7e2f0a0aee7a7e1c791,NTA-2024-SHINKOKU-T2-PDF,data/raw/nta/nta_2024_shinkoku_sample_table2.pdf,9ebc7580d3922d7dfaba87e143d15d41307beb289960285734512601bb91ab26,REPRODUCED_OFFICIAL_SURVEY_ESTIMATE_CROSSTAB,NTA total-income class is not F71561 equivalized disposable-income decile; any bridge requires an explicit transport assumption
2,100万円,700000,1000000,False,miscellaneous,雑所得者,2633,D136,C136,100万円,13549,D10,411376,D160,0.194331684995,0.00640047061569,NTA Sample Survey population: persons with positive self-assessed income tax,SURVEY_ESTIMATED_POPULATION_CELL,NTA-2024-SHINKOKU-T2-XLSX,data/raw/nta/nta_2024_shinkoku_sample_table2.xlsx,a134dc943714152ae351316b3442d8171705c65076c2b7e2f0a0aee7a7e1c791,NTA-2024-SHINKOKU-T2-PDF,data/raw/nta/nta_2024_shinkoku_sample_table2.pdf,9ebc7580d3922d7dfaba87e143d15d41307beb289960285734512601bb91ab26,REPRODUCED_OFFICIAL_SURVEY_ESTIMATE_CROSSTAB,NTA total-income class is not F71561 equivalized disposable-income decile; any bridge requires an explicit transport assumption
2,100万円,700000,1000000,False,other,他の区分に該当しない所得者,3802,D164,C164,100万円,13549,D10,382695,D188,0.280611115211,0.00993480447876,NTA Sample Survey population: persons with positive self-assessed income tax,SURVEY_ESTIMATED_POPULATION_CELL,NTA-2024-SHINKOKU-T2-XLSX,data/raw/nta/nta_2024_shinkoku_sample_table2.xlsx,a134dc943714152ae351316b3442d8171705c65076c2b7e2f0a0aee7a7e1c791,NTA-2024-SHINKOKU-T2-PDF,data/raw/nta/nta_2024_shinkoku_sample_table2.pdf,9ebc7580d3922d7dfaba87e143d15d41307beb289960285734512601bb91ab26,REPRODUCED_OFFICIAL_SURVEY_ESTIMATE_CROSSTAB,NTA total-income class is not F71561 equivalized disposable-income decile; any bridge requires an explicit transport assumption
