tax_year,employment_duration_group,tax_status,salary_class_index,salary_class_label,salary_lower_bound_yen_exclusive,salary_upper_bound_yen_inclusive,salary_class_topcoded,secondary_payroll_persons,previous_employer_salary_unknown_persons,other_reason_persons,total_not_year_end_adjusted_persons,secondary_payroll_salary_million_yen,previous_employer_salary_unknown_million_yen,other_reason_salary_million_yen,total_salary_million_yen,secondary_payroll_tax_million_yen,previous_employer_salary_unknown_tax_million_yen,other_reason_tax_million_yen,total_tax_million_yen,source_id,source_cells,source_sha256,cell_nature,identification_warning
2024,full_year,taxpayer,1,100万円以下,,1000000,False,629578,0,217215,846793,474502,0,171172,645674,13540,0,6568,20108,NTA-MINKAN-2024-T19,D7:O7,220b34508d4ff778cf375aabdd097d425aa7ded0f173c40022f51ad2cd2614e4,PRIVATE_SALARY_SURVEY_ESTIMATE,Payroll-survey rows do not identify person-level overlap with filed-or-processed income-tax statistics.
2024,full_year,taxpayer,2,200 〃,1000000,2000000,False,537765,0,379372,917137,732277,0,544703,1276980,31912,0,10242,42154,NTA-MINKAN-2024-T19,D8:O8,220b34508d4ff778cf375aabdd097d425aa7ded0f173c40022f51ad2cd2614e4,PRIVATE_SALARY_SURVEY_ESTIMATE,Payroll-survey rows do not identify person-level overlap with filed-or-processed income-tax statistics.
2024,full_year,taxpayer,3,300 〃,2000000,3000000,False,198547,0,377960,576507,496196,0,947508,1443704,42068,0,17498,59566,NTA-MINKAN-2024-T19,D9:O9,220b34508d4ff778cf375aabdd097d425aa7ded0f173c40022f51ad2cd2614e4,PRIVATE_SALARY_SURVEY_ESTIMATE,Payroll-survey rows do not identify person-level overlap with filed-or-processed income-tax statistics.
2024,full_year,taxpayer,4,400 〃,3000000,4000000,False,88475,0,232995,321470,308531,0,816296,1124827,37289,0,14194,51483,NTA-MINKAN-2024-T19,D10:O10,220b34508d4ff778cf375aabdd097d425aa7ded0f173c40022f51ad2cd2614e4,PRIVATE_SALARY_SURVEY_ESTIMATE,Payroll-survey rows do not identify person-level overlap with filed-or-processed income-tax statistics.
2024,full_year,taxpayer,5,500 〃,4000000,5000000,False,60770,0,149686,210455,275113,0,666077,941190,40871,0,15376,56247,NTA-MINKAN-2024-T19,D11:O11,220b34508d4ff778cf375aabdd097d425aa7ded0f173c40022f51ad2cd2614e4,PRIVATE_SALARY_SURVEY_ESTIMATE,Payroll-survey rows do not identify person-level overlap with filed-or-processed income-tax statistics.
2024,full_year,taxpayer,6,600 〃,5000000,6000000,False,57215,0,94719,151934,319544,0,524851,844395,56906,0,13687,70593,NTA-MINKAN-2024-T19,D12:O12,220b34508d4ff778cf375aabdd097d425aa7ded0f173c40022f51ad2cd2614e4,PRIVATE_SALARY_SURVEY_ESTIMATE,Payroll-survey rows do not identify person-level overlap with filed-or-processed income-tax statistics.
2024,full_year,taxpayer,7,700 〃,6000000,7000000,False,33899,0,38207,72106,219173,0,246177,465350,40739,0,11052,51791,NTA-MINKAN-2024-T19,D13:O13,220b34508d4ff778cf375aabdd097d425aa7ded0f173c40022f51ad2cd2614e4,PRIVATE_SALARY_SURVEY_ESTIMATE,Payroll-survey rows do not identify person-level overlap with filed-or-processed income-tax statistics.
2024,full_year,taxpayer,8,800 〃,7000000,8000000,False,26520,0,30149,56670,199026,0,224715,423741,41507,0,12537,54044,NTA-MINKAN-2024-T19,D14:O14,220b34508d4ff778cf375aabdd097d425aa7ded0f173c40022f51ad2cd2614e4,PRIVATE_SALARY_SURVEY_ESTIMATE,Payroll-survey rows do not identify person-level overlap with filed-or-processed income-tax statistics.
2024,full_year,taxpayer,9,900 〃,8000000,9000000,False,12543,0,25106,37649,106539,0,214220,320759,25529,0,17476,43005,NTA-MINKAN-2024-T19,D15:O15,220b34508d4ff778cf375aabdd097d425aa7ded0f173c40022f51ad2cd2614e4,PRIVATE_SALARY_SURVEY_ESTIMATE,Payroll-survey rows do not identify person-level overlap with filed-or-processed income-tax statistics.
2024,full_year,taxpayer,10,"1,000 〃",9000000,10000000,False,7406,0,16830,24237,70902,0,160604,231506,13903,0,16710,30613,NTA-MINKAN-2024-T19,D16:O16,220b34508d4ff778cf375aabdd097d425aa7ded0f173c40022f51ad2cd2614e4,PRIVATE_SALARY_SURVEY_ESTIMATE,Payroll-survey rows do not identify person-level overlap with filed-or-processed income-tax statistics.
