tax_year,sheet,employment_duration_group,secondary_payroll_otsuran_excluded,salary_class_index,salary_class_label,salary_lower_bound_yen_exclusive,salary_upper_bound_yen_inclusive,salary_class_topcoded,year_end_adjusted_taxpayer_persons,year_end_adjusted_nontaxpayer_persons,year_end_adjusted_total_persons,not_year_end_adjusted_taxpayer_persons,not_year_end_adjusted_nontaxpayer_persons,not_year_end_adjusted_total_persons,all_taxpayer_persons,all_nontaxpayer_persons,all_total_persons,year_end_adjusted_taxpayer_rate,all_taxpayer_rate,year_end_adjusted_tax_million_yen,not_year_end_adjusted_tax_million_yen,all_tax_million_yen,person_source_cells,tax_source_cells,taxpayer_definition,survey_population,cross_system_status,year_end_adjusted_direction_note,source_id_xlsx,source_file_xlsx,source_sha256_xlsx,source_id_methodology,source_file_methodology,source_sha256_methodology,evidence_status,identification_warning
2024,その１,full_year,False,1,100万円以下,,1000000,False,0,2768336,2768336,846793,318671,1165464,846793,3087007,3933800,0,0.215260816513,0,20108,20108,D7:L7,D39;G39;J39,Private Salary Survey: salary earner with positive source-withheld income tax,Private-sector salary earners employed at sampled source-withholding obligors at year-end; tax status not required for inclusion,EXTERNAL_WAGE_SIDE_DIAGNOSTIC_NO_ADDITIVE_JOIN_TO_SELF_ASSESSED_RETURNS,"Positive post-year-end-adjustment withholding is an annual payroll-tax-positive diagnostic under payroll information. Later final-return deductions, credits or loss offsets can change final calculated/self-assessed tax, so this is not a strict final calculated-tax-positive subset.",NTA-MINKAN-2024-T16,data/raw/nta/nta_minkan2024_table16_taxpayer_nontaxpayer.xlsx,11b941a52dff3681f0e19415ba095746cd0ed24e54dd6b159521e2145b13c1e6,NTA-MINKAN-METHODOLOGY,data/raw/nta/nta_private_salary_survey_methodology.html,4ce6d9a50704b9035fa3e4f0522e519a63ad6f90acde54096326c536212319e8,REPRODUCED_OFFICIAL_PRIVATE_SALARY_TAXPAYER_STATUS_DIAGNOSTIC,Do not add these taxpayer counts to positive-self-assessed-balance counts; cross-source person overlap is not identified. Non-year-end-adjusted positive withholding can later be refunded and is not treated as a strict annual calculated-tax-positive subset.
2024,その１,full_year,False,2,200 〃,1000000,2000000,False,546287,4139082,4685369,917137,104252,1021389,1463424,4243334,5706758,0.116594231959,0.256437017305,5931,42154,48085,D8:L8,D40;G40;J40,Private Salary Survey: salary earner with positive source-withheld income tax,Private-sector salary earners employed at sampled source-withholding obligors at year-end; tax status not required for inclusion,EXTERNAL_WAGE_SIDE_DIAGNOSTIC_NO_ADDITIVE_JOIN_TO_SELF_ASSESSED_RETURNS,"Positive post-year-end-adjustment withholding is an annual payroll-tax-positive diagnostic under payroll information. Later final-return deductions, credits or loss offsets can change final calculated/self-assessed tax, so this is not a strict final calculated-tax-positive subset.",NTA-MINKAN-2024-T16,data/raw/nta/nta_minkan2024_table16_taxpayer_nontaxpayer.xlsx,11b941a52dff3681f0e19415ba095746cd0ed24e54dd6b159521e2145b13c1e6,NTA-MINKAN-METHODOLOGY,data/raw/nta/nta_private_salary_survey_methodology.html,4ce6d9a50704b9035fa3e4f0522e519a63ad6f90acde54096326c536212319e8,REPRODUCED_OFFICIAL_PRIVATE_SALARY_TAXPAYER_STATUS_DIAGNOSTIC,Do not add these taxpayer counts to positive-self-assessed-balance counts; cross-source person overlap is not identified. Non-year-end-adjusted positive withholding can later be refunded and is not treated as a strict annual calculated-tax-positive subset.
2024,その１,full_year,False,3,300 〃,2000000,3000000,False,4216110,1974802,6190912,576507,0,576507,4792617,1974802,6767419,0.681015979552,0.708189784023,66816,59566,126382,D9:L9,D41;G41;J41,Private Salary Survey: salary earner with positive source-withheld income tax,Private-sector salary earners employed at sampled source-withholding obligors at year-end; tax status not required for inclusion,EXTERNAL_WAGE_SIDE_DIAGNOSTIC_NO_ADDITIVE_JOIN_TO_SELF_ASSESSED_RETURNS,"Positive post-year-end-adjustment withholding is an annual payroll-tax-positive diagnostic under payroll information. Later final-return deductions, credits or loss offsets can change final calculated/self-assessed tax, so this is not a strict final calculated-tax-positive subset.",NTA-MINKAN-2024-T16,data/raw/nta/nta_minkan2024_table16_taxpayer_nontaxpayer.xlsx,11b941a52dff3681f0e19415ba095746cd0ed24e54dd6b159521e2145b13c1e6,NTA-MINKAN-METHODOLOGY,data/raw/nta/nta_private_salary_survey_methodology.html,4ce6d9a50704b9035fa3e4f0522e519a63ad6f90acde54096326c536212319e8,REPRODUCED_OFFICIAL_PRIVATE_SALARY_TAXPAYER_STATUS_DIAGNOSTIC,Do not add these taxpayer counts to positive-self-assessed-balance counts; cross-source person overlap is not identified. Non-year-end-adjusted positive withholding can later be refunded and is not treated as a strict annual calculated-tax-positive subset.
2024,その１,full_year,False,4,400 〃,3000000,4000000,False,6448686,1487654,7936341,321470,0,321470,6770156,1487654,8257811,0.812551527209,0.819848746841,251601,51483,303084,D10:L10,D42;G42;J42,Private Salary Survey: salary earner with positive source-withheld income tax,Private-sector salary earners employed at sampled source-withholding obligors at year-end; tax status not required for inclusion,EXTERNAL_WAGE_SIDE_DIAGNOSTIC_NO_ADDITIVE_JOIN_TO_SELF_ASSESSED_RETURNS,"Positive post-year-end-adjustment withholding is an annual payroll-tax-positive diagnostic under payroll information. Later final-return deductions, credits or loss offsets can change final calculated/self-assessed tax, so this is not a strict final calculated-tax-positive subset.",NTA-MINKAN-2024-T16,data/raw/nta/nta_minkan2024_table16_taxpayer_nontaxpayer.xlsx,11b941a52dff3681f0e19415ba095746cd0ed24e54dd6b159521e2145b13c1e6,NTA-MINKAN-METHODOLOGY,data/raw/nta/nta_private_salary_survey_methodology.html,4ce6d9a50704b9035fa3e4f0522e519a63ad6f90acde54096326c536212319e8,REPRODUCED_OFFICIAL_PRIVATE_SALARY_TAXPAYER_STATUS_DIAGNOSTIC,Do not add these taxpayer counts to positive-self-assessed-balance counts; cross-source person overlap is not identified. Non-year-end-adjusted positive withholding can later be refunded and is not treated as a strict annual calculated-tax-positive subset.
2024,その１,full_year,False,5,500 〃,4000000,5000000,False,6373752,1286167,7659919,210455,0,210455,6584207,1286167,7870374,0.832091305404,0.836581209483,439717,56247,495963,D11:L11,D43;G43;J43,Private Salary Survey: salary earner with positive source-withheld income tax,Private-sector salary earners employed at sampled source-withholding obligors at year-end; tax status not required for inclusion,EXTERNAL_WAGE_SIDE_DIAGNOSTIC_NO_ADDITIVE_JOIN_TO_SELF_ASSESSED_RETURNS,"Positive post-year-end-adjustment withholding is an annual payroll-tax-positive diagnostic under payroll information. Later final-return deductions, credits or loss offsets can change final calculated/self-assessed tax, so this is not a strict final calculated-tax-positive subset.",NTA-MINKAN-2024-T16,data/raw/nta/nta_minkan2024_table16_taxpayer_nontaxpayer.xlsx,11b941a52dff3681f0e19415ba095746cd0ed24e54dd6b159521e2145b13c1e6,NTA-MINKAN-METHODOLOGY,data/raw/nta/nta_private_salary_survey_methodology.html,4ce6d9a50704b9035fa3e4f0522e519a63ad6f90acde54096326c536212319e8,REPRODUCED_OFFICIAL_PRIVATE_SALARY_TAXPAYER_STATUS_DIAGNOSTIC,Do not add these taxpayer counts to positive-self-assessed-balance counts; cross-source person overlap is not identified. Non-year-end-adjusted positive withholding can later be refunded and is not treated as a strict annual calculated-tax-positive subset.
2024,その１,full_year,False,6,600 〃,5000000,6000000,False,4945345,962045,5907389,151934,0,151934,5097279,962045,6059323,0.837145649288,0.841229127412,566579,70593,637172,D12:L12,D44;G44;J44,Private Salary Survey: salary earner with positive source-withheld income tax,Private-sector salary earners employed at sampled source-withholding obligors at year-end; tax status not required for inclusion,EXTERNAL_WAGE_SIDE_DIAGNOSTIC_NO_ADDITIVE_JOIN_TO_SELF_ASSESSED_RETURNS,"Positive post-year-end-adjustment withholding is an annual payroll-tax-positive diagnostic under payroll information. Later final-return deductions, credits or loss offsets can change final calculated/self-assessed tax, so this is not a strict final calculated-tax-positive subset.",NTA-MINKAN-2024-T16,data/raw/nta/nta_minkan2024_table16_taxpayer_nontaxpayer.xlsx,11b941a52dff3681f0e19415ba095746cd0ed24e54dd6b159521e2145b13c1e6,NTA-MINKAN-METHODOLOGY,data/raw/nta/nta_private_salary_survey_methodology.html,4ce6d9a50704b9035fa3e4f0522e519a63ad6f90acde54096326c536212319e8,REPRODUCED_OFFICIAL_PRIVATE_SALARY_TAXPAYER_STATUS_DIAGNOSTIC,Do not add these taxpayer counts to positive-self-assessed-balance counts; cross-source person overlap is not identified. Non-year-end-adjusted positive withholding can later be refunded and is not treated as a strict annual calculated-tax-positive subset.
2024,その１,full_year,False,7,700 〃,6000000,7000000,False,3307612,527289,3834900,72106,0,72106,3379718,527289,3907007,0.862502803202,0.865040170135,553596,51791,605387,D13:L13,D45;G45;J45,Private Salary Survey: salary earner with positive source-withheld income tax,Private-sector salary earners employed at sampled source-withholding obligors at year-end; tax status not required for inclusion,EXTERNAL_WAGE_SIDE_DIAGNOSTIC_NO_ADDITIVE_JOIN_TO_SELF_ASSESSED_RETURNS,"Positive post-year-end-adjustment withholding is an annual payroll-tax-positive diagnostic under payroll information. Later final-return deductions, credits or loss offsets can change final calculated/self-assessed tax, so this is not a strict final calculated-tax-positive subset.",NTA-MINKAN-2024-T16,data/raw/nta/nta_minkan2024_table16_taxpayer_nontaxpayer.xlsx,11b941a52dff3681f0e19415ba095746cd0ed24e54dd6b159521e2145b13c1e6,NTA-MINKAN-METHODOLOGY,data/raw/nta/nta_private_salary_survey_methodology.html,4ce6d9a50704b9035fa3e4f0522e519a63ad6f90acde54096326c536212319e8,REPRODUCED_OFFICIAL_PRIVATE_SALARY_TAXPAYER_STATUS_DIAGNOSTIC,Do not add these taxpayer counts to positive-self-assessed-balance counts; cross-source person overlap is not identified. Non-year-end-adjusted positive withholding can later be refunded and is not treated as a strict annual calculated-tax-positive subset.
2024,その１,full_year,False,8,800 〃,7000000,8000000,False,2445699,207936,2653635,56670,0,56670,2502369,207936,2710305,0.921641069703,0.923279483305,620576,54044,674620,D14:L14,D46;G46;J46,Private Salary Survey: salary earner with positive source-withheld income tax,Private-sector salary earners employed at sampled source-withholding obligors at year-end; tax status not required for inclusion,EXTERNAL_WAGE_SIDE_DIAGNOSTIC_NO_ADDITIVE_JOIN_TO_SELF_ASSESSED_RETURNS,"Positive post-year-end-adjustment withholding is an annual payroll-tax-positive diagnostic under payroll information. Later final-return deductions, credits or loss offsets can change final calculated/self-assessed tax, so this is not a strict final calculated-tax-positive subset.",NTA-MINKAN-2024-T16,data/raw/nta/nta_minkan2024_table16_taxpayer_nontaxpayer.xlsx,11b941a52dff3681f0e19415ba095746cd0ed24e54dd6b159521e2145b13c1e6,NTA-MINKAN-METHODOLOGY,data/raw/nta/nta_private_salary_survey_methodology.html,4ce6d9a50704b9035fa3e4f0522e519a63ad6f90acde54096326c536212319e8,REPRODUCED_OFFICIAL_PRIVATE_SALARY_TAXPAYER_STATUS_DIAGNOSTIC,Do not add these taxpayer counts to positive-self-assessed-balance counts; cross-source person overlap is not identified. Non-year-end-adjusted positive withholding can later be refunded and is not treated as a strict annual calculated-tax-positive subset.
2024,その１,full_year,False,9,900 〃,8000000,9000000,False,1650852,52941,1703793,37649,0,37649,1688501,52941,1741442,0.968927563384,0.969599332048,606275,43005,649280,D15:L15,D47;G47;J47,Private Salary Survey: salary earner with positive source-withheld income tax,Private-sector salary earners employed at sampled source-withholding obligors at year-end; tax status not required for inclusion,EXTERNAL_WAGE_SIDE_DIAGNOSTIC_NO_ADDITIVE_JOIN_TO_SELF_ASSESSED_RETURNS,"Positive post-year-end-adjustment withholding is an annual payroll-tax-positive diagnostic under payroll information. Later final-return deductions, credits or loss offsets can change final calculated/self-assessed tax, so this is not a strict final calculated-tax-positive subset.",NTA-MINKAN-2024-T16,data/raw/nta/nta_minkan2024_table16_taxpayer_nontaxpayer.xlsx,11b941a52dff3681f0e19415ba095746cd0ed24e54dd6b159521e2145b13c1e6,NTA-MINKAN-METHODOLOGY,data/raw/nta/nta_private_salary_survey_methodology.html,4ce6d9a50704b9035fa3e4f0522e519a63ad6f90acde54096326c536212319e8,REPRODUCED_OFFICIAL_PRIVATE_SALARY_TAXPAYER_STATUS_DIAGNOSTIC,Do not add these taxpayer counts to positive-self-assessed-balance counts; cross-source person overlap is not identified. Non-year-end-adjusted positive withholding can later be refunded and is not treated as a strict annual calculated-tax-positive subset.
2024,その１,full_year,False,10,"1,000 〃",9000000,10000000,False,1176304,7724,1184028,24237,0,24237,1200541,7724,1208265,0.993476505623,0.993607362623,610204,30613,640817,D16:L16,D48;G48;J48,Private Salary Survey: salary earner with positive source-withheld income tax,Private-sector salary earners employed at sampled source-withholding obligors at year-end; tax status not required for inclusion,EXTERNAL_WAGE_SIDE_DIAGNOSTIC_NO_ADDITIVE_JOIN_TO_SELF_ASSESSED_RETURNS,"Positive post-year-end-adjustment withholding is an annual payroll-tax-positive diagnostic under payroll information. Later final-return deductions, credits or loss offsets can change final calculated/self-assessed tax, so this is not a strict final calculated-tax-positive subset.",NTA-MINKAN-2024-T16,data/raw/nta/nta_minkan2024_table16_taxpayer_nontaxpayer.xlsx,11b941a52dff3681f0e19415ba095746cd0ed24e54dd6b159521e2145b13c1e6,NTA-MINKAN-METHODOLOGY,data/raw/nta/nta_private_salary_survey_methodology.html,4ce6d9a50704b9035fa3e4f0522e519a63ad6f90acde54096326c536212319e8,REPRODUCED_OFFICIAL_PRIVATE_SALARY_TAXPAYER_STATUS_DIAGNOSTIC,Do not add these taxpayer counts to positive-self-assessed-balance counts; cross-source person overlap is not identified. Non-year-end-adjusted positive withholding can later be refunded and is not treated as a strict annual calculated-tax-positive subset.
