salary_class_label,upper_salary_yen_inclusive,full_year_employee_count,full_year_employee_count_source_cell,social_insurance_deduction_recipient_count,social_insurance_deduction_recipient_count_source_cell,social_insurance_deduction_amount_million_yen,social_insurance_deduction_amount_source_cell,average_social_insurance_deduction_per_employee_yen,average_social_insurance_deduction_per_recipient_yen,preferred_mapping_value,population_scope,source_id,source_file,source_sha256,model_status
100万円以下 ,1000000,2768336,D36,489431,N7,27014,N21,9758.20854116,55194.7056889,average_social_insurance_deduction_per_employee_yen,NTA Table17 year-end-adjusted full-year salary earners; external sensitivity only,NTA-MINKAN-2024-T17,data/raw/nta/nta_minkan2024_table17.xlsx,b10882fab0de60802f1b430274527dbf987b20dce6ada348cfd709f9f2d6fee6,EXTERNAL_SENSITIVITY_ONLY
200 　〃　　,2000000,4685369,D37,3115396,N8,545277,N22,116378.667294,175026.545582,average_social_insurance_deduction_per_employee_yen,NTA Table17 year-end-adjusted full-year salary earners; external sensitivity only,NTA-MINKAN-2024-T17,data/raw/nta/nta_minkan2024_table17.xlsx,b10882fab0de60802f1b430274527dbf987b20dce6ada348cfd709f9f2d6fee6,EXTERNAL_SENSITIVITY_ONLY
300 　〃　　,3000000,6190912,D38,5612661,N9,2201828,N23,355654.869589,392296.630778,average_social_insurance_deduction_per_employee_yen,NTA Table17 year-end-adjusted full-year salary earners; external sensitivity only,NTA-MINKAN-2024-T17,data/raw/nta/nta_minkan2024_table17.xlsx,b10882fab0de60802f1b430274527dbf987b20dce6ada348cfd709f9f2d6fee6,EXTERNAL_SENSITIVITY_ONLY
400 　〃　　,4000000,7936341,D39,7339073,N10,3983633,N24,501948.315981,542797.843815,average_social_insurance_deduction_per_employee_yen,NTA Table17 year-end-adjusted full-year salary earners; external sensitivity only,NTA-MINKAN-2024-T17,data/raw/nta/nta_minkan2024_table17.xlsx,b10882fab0de60802f1b430274527dbf987b20dce6ada348cfd709f9f2d6fee6,EXTERNAL_SENSITIVITY_ONLY
500 　〃　　,5000000,7659919,D40,7157573,N11,4881556,N25,637285.590096,682012.743705,average_social_insurance_deduction_per_employee_yen,NTA Table17 year-end-adjusted full-year salary earners; external sensitivity only,NTA-MINKAN-2024-T17,data/raw/nta/nta_minkan2024_table17.xlsx,b10882fab0de60802f1b430274527dbf987b20dce6ada348cfd709f9f2d6fee6,EXTERNAL_SENSITIVITY_ONLY
600 　〃　　,6000000,5907389,D41,5551792,N12,4620836,N26,782212.920124,832314.323015,average_social_insurance_deduction_per_employee_yen,NTA Table17 year-end-adjusted full-year salary earners; external sensitivity only,NTA-MINKAN-2024-T17,data/raw/nta/nta_minkan2024_table17.xlsx,b10882fab0de60802f1b430274527dbf987b20dce6ada348cfd709f9f2d6fee6,EXTERNAL_SENSITIVITY_ONLY
700 　〃　　,7000000,3834900,D42,3667181,N13,3578335,N27,933097.342825,975772.671161,average_social_insurance_deduction_per_employee_yen,NTA Table17 year-end-adjusted full-year salary earners; external sensitivity only,NTA-MINKAN-2024-T17,data/raw/nta/nta_minkan2024_table17.xlsx,b10882fab0de60802f1b430274527dbf987b20dce6ada348cfd709f9f2d6fee6,EXTERNAL_SENSITIVITY_ONLY
800 　〃　　,8000000,2653635,D43,2570705,N14,2875655,N28,1083666.36708,1118625.04644,average_social_insurance_deduction_per_employee_yen,NTA Table17 year-end-adjusted full-year salary earners; external sensitivity only,NTA-MINKAN-2024-T17,data/raw/nta/nta_minkan2024_table17.xlsx,b10882fab0de60802f1b430274527dbf987b20dce6ada348cfd709f9f2d6fee6,EXTERNAL_SENSITIVITY_ONLY
900 　〃　　,9000000,1703793,D44,1657083,N15,2074716,N29,1217704.26337,1252029.01726,average_social_insurance_deduction_per_employee_yen,NTA Table17 year-end-adjusted full-year salary earners; external sensitivity only,NTA-MINKAN-2024-T17,data/raw/nta/nta_minkan2024_table17.xlsx,b10882fab0de60802f1b430274527dbf987b20dce6ada348cfd709f9f2d6fee6,EXTERNAL_SENSITIVITY_ONLY
"1,000 　〃　　",10000000,1184028,D45,1154792,N16,1568391,N30,1324623.23526,1358158.8719,average_social_insurance_deduction_per_employee_yen,NTA Table17 year-end-adjusted full-year salary earners; external sensitivity only,NTA-MINKAN-2024-T17,data/raw/nta/nta_minkan2024_table17.xlsx,b10882fab0de60802f1b430274527dbf987b20dce6ada348cfd709f9f2d6fee6,EXTERNAL_SENSITIVITY_ONLY
"1,500 　〃　　",15000000,2210100,D46,2153847,N17,3292966,N31,1489962.44514,1528876.4708,average_social_insurance_deduction_per_employee_yen,NTA Table17 year-end-adjusted full-year salary earners; external sensitivity only,NTA-MINKAN-2024-T17,data/raw/nta/nta_minkan2024_table17.xlsx,b10882fab0de60802f1b430274527dbf987b20dce6ada348cfd709f9f2d6fee6,EXTERNAL_SENSITIVITY_ONLY
"2,000 　〃　　",20000000,478314,D47,465313,N18,800014,N32,1672570.73805,1719302.92083,average_social_insurance_deduction_per_employee_yen,NTA Table17 year-end-adjusted full-year salary earners; external sensitivity only,NTA-MINKAN-2024-T17,data/raw/nta/nta_minkan2024_table17.xlsx,b10882fab0de60802f1b430274527dbf987b20dce6ada348cfd709f9f2d6fee6,EXTERNAL_SENSITIVITY_ONLY
