metric_id,value,unit,population,source_ids,source_locator,identification_status,note
private_salary_full_year_receipts_gt20m,320983,persons_estimated,Private Salary Survey full-year private-sector salary earners,NTA-MINKAN-2024-T19,Table 19 panel 3 total,PAYROLL_SIDE_SURVEY_ESTIMATE,"Same >20m salary-receipt threshold as the return-side Table 7 bridge, but no common person identifier."
positive_balance_salary_receipts_gt20m_all_categories,235287,persons_estimated,Positive-self-assessed-balance taxpayers with salary receipts,NTA-2024-SHINKOKU-T7-XLSX;NTA-2024-SHINKOKU-T7-PDF,"Table 7 total rows >20m: 3,000万円以下, 5,000万円以下, 5,000万円超",RETURN_SIDE_SURVEY_ESTIMATE_SAME_SALARY_RECEIPT_THRESHOLD,Direct return-side salary-receipt threshold estimate; not an exact administrative count or overlap count.
positive_balance_salary_receipts_gt20m_salary_category,225050,persons_estimated,Positive-self-assessed-balance taxpayers classified as salary income earners,NTA-2024-SHINKOKU-T7-XLSX,Table 7 salary-earner block rows >20m,RETURN_SIDE_SURVEY_ESTIMATE,Salary-earner-category subset of the >20m salary-receipt estimate.
positive_balance_salary_receipts_gt20m_non_salary_categories,10237,persons_estimated,Positive-self-assessed-balance taxpayers classified outside salary income-earner category,NTA-2024-SHINKOKU-T7-XLSX,Table 7 non-salary-earner blocks rows >20m,RETURN_SIDE_SURVEY_ESTIMATE,Demonstrates that salary receipts >20m are not confined to the salary income-earner category.
positive_balance_salary_receipts_gt20m_with_salary_withholding,227606,persons_estimated,Positive-self-assessed-balance taxpayers with salary receipts >20m,NTA-2024-SHINKOKU-T7-XLSX,"Table 7 total rows >20m, source-withholding-person columns",RETURN_SIDE_SURVEY_ESTIMATE,Salary-source withholding exposure within the >20m return-side salary-receipt group.
positive_balance_salary_receipts_gt20m_without_salary_withholding,7681,persons_estimated,Positive-self-assessed-balance taxpayers with salary receipts >20m,NTA-2024-SHINKOKU-T7-XLSX,"Table 7 total rows >20m, no-withholding column",RETURN_SIDE_SURVEY_ESTIMATE,Published complement to salary-source withholding persons.
annual_return_employment_income_persons_all,13184714,persons_exact,2024 final-return/processed population with employment income,NTA-2024-ANNUAL-T23-INCOME-TYPE;NTA-2024-ANNUAL-TABLE-NOTES,"Table 2-3(1), employment-income row",COMPLETE_SURVEY_INCOME_TYPE_COUNT,Counts persons with employment income as main or secondary; excludes withholding-only nonfilers.
annual_return_employment_income_persons_main,11425783,persons_exact,2024 final-return/processed population,NTA-2024-ANNUAL-T23-INCOME-TYPE;NTA-2024-ANNUAL-TABLE-NOTES,"Table 2-3(1), employment-income Main",COMPLETE_SURVEY_T23_MAIN_DEFINITION,Do not equate to Table 2-2 salary income-earner category; official aggregation rules differ.
annual_return_employment_income_persons_secondary,1758931,persons_exact,2024 final-return/processed population,NTA-2024-ANNUAL-T23-INCOME-TYPE,"Table 2-3(1), employment-income Secondary",COMPLETE_SURVEY_T23_SECONDARY_DEFINITION,Persons with employment income that is not their largest income type under Table 2-3 rules.
annual_positive_balance_employment_income_persons,3143364,persons_exact,Positive-self-assessed-balance final-return/processed population with employment income,NTA-2024-ANNUAL-T23-INCOME-TYPE,"Table 2-3(1), employment-income positive-balance columns",COMPLETE_SURVEY_INCOME_TYPE_COUNT,Main plus secondary employment-income persons.
annual_positive_balance_employment_income_persons_main,2384138,persons_exact,Positive-self-assessed-balance final-return/processed population,NTA-2024-ANNUAL-T23-INCOME-TYPE,"Table 2-3(1), employment-income positive-balance Main",COMPLETE_SURVEY_T23_MAIN_DEFINITION,Main employment-income count under Table 2-3 rules.
annual_positive_balance_employment_income_persons_secondary,759226,persons_exact,Positive-self-assessed-balance final-return/processed population,NTA-2024-ANNUAL-T23-INCOME-TYPE,"Table 2-3(1), employment-income positive-balance Secondary",COMPLETE_SURVEY_T23_SECONDARY_DEFINITION,Secondary employment-income count under Table 2-3 rules.
annual_refund_employment_income_persons,8532771,persons_exact,Refund final-return population with employment income,NTA-2024-ANNUAL-T23-INCOME-TYPE,"Table 2-3(1), employment-income refund columns",COMPLETE_SURVEY_INCOME_TYPE_COUNT,Main plus secondary employment-income persons.
annual_refund_employment_income_persons_main,7700263,persons_exact,Refund final-return population,NTA-2024-ANNUAL-T23-INCOME-TYPE,"Table 2-3(1), employment-income refund Main",COMPLETE_SURVEY_T23_MAIN_DEFINITION,Main employment-income count among refund returns.
annual_refund_employment_income_persons_secondary,832508,persons_exact,Refund final-return population,NTA-2024-ANNUAL-T23-INCOME-TYPE,"Table 2-3(1), employment-income refund Secondary",COMPLETE_SURVEY_T23_SECONDARY_DEFINITION,Secondary employment-income count among refund returns.
t23_main_minus_t22_salary_category_all,2196,persons_difference,2024 final-return/processed population,NTA-2024-ANNUAL-T23-INCOME-TYPE;NTA-2024-ANNUAL-TABLE-NOTES;NTA-R06,Table 2-3 Main employment minus Table 2-2 salary income-earner category,DEFINITION_DIFFERENCE_NOT_RECONCILIATION_ERROR,Official notes explicitly state Tables 2-1/2-2 and 2-3 use different person aggregation rules.
t23_main_minus_t22_salary_category_positive_balance,-1588,persons_difference,Positive-self-assessed-balance final-return/processed population,NTA-2024-ANNUAL-T23-INCOME-TYPE;NTA-2024-ANNUAL-TABLE-NOTES;NTA-R06,Table 2-3 Main employment minus Table 2-2 salary category,DEFINITION_DIFFERENCE_NOT_RECONCILIATION_ERROR,The difference is expected under distinct official aggregation definitions.
t23_main_minus_t22_salary_category_refund,3245,persons_difference,Refund final-return population,NTA-2024-ANNUAL-T23-INCOME-TYPE;NTA-2024-ANNUAL-TABLE-NOTES;NTA-R06,Table 2-3 Main employment minus Table 2-2 salary category,DEFINITION_DIFFERENCE_NOT_RECONCILIATION_ERROR,The difference is expected under distinct official aggregation definitions.
private_salary_to_positive_balance_gt20m_person_overlap,NOT_IDENTIFIED,status,Private Salary Survey >20m x positive-balance Table 7 >20m,NTA-MINKAN-2024-T19;NTA-2024-SHINKOKU-T7-XLSX,cross-source,SAME_THRESHOLD_BUT_NO_PERSON_LINK,"The salary-receipt threshold now aligns, but private/public coverage, survey estimation, and person linkage remain unresolved."
