metric_id,value,unit,population,source_ids,source_locator,identification_status,note
source_salary_public_offices_payment,28282710,million_yen,FY2024 source-withholding salary/wages/bonus payments classified as Public Offices,NTA-FY2024-WITHHOLDING-STATUS,(6)(7)特定口座内上場株式等の譲渡所得、給与退職所得!E19,ADMINISTRATIVE_AMOUNT_PUBLIC_OFFICES,Payment amount only; no person count is published in this table.
source_salary_other_payment,325610351,million_yen,FY2024 source-withholding salary/wages/bonus payments classified as Others,NTA-FY2024-WITHHOLDING-STATUS,(6)(7)特定口座内上場株式等の譲渡所得、給与退職所得!J19,ADMINISTRATIVE_AMOUNT_OTHER,Others is the complement of Public Offices in this source table; it is not asserted identical to the Private Salary Survey target.
source_salary_total_payment,353893061,million_yen,FY2024 source-withholding salary/wages/bonus payments,NTA-FY2024-WITHHOLDING-STATUS,(6)(7)特定口座内上場株式等の譲渡所得、給与退職所得!P19,ADMINISTRATIVE_AMOUNT_TOTAL,Public Offices plus Others.
source_salary_public_offices_withholding,917029,million_yen,FY2024 source withholding on salary/wages/bonus classified as Public Offices,NTA-FY2024-WITHHOLDING-STATUS,(6)(7)特定口座内上場株式等の譲渡所得、給与退職所得!H19,ADMINISTRATIVE_TAX_AMOUNT_PUBLIC_OFFICES,Withholding tax amount only; no person count.
source_salary_other_withholding,11021742,million_yen,FY2024 source withholding on salary/wages/bonus classified as Others,NTA-FY2024-WITHHOLDING-STATUS,(6)(7)特定口座内上場株式等の譲渡所得、給与退職所得!M19,ADMINISTRATIVE_TAX_AMOUNT_OTHER,Do not equate Others to the Private Salary Survey population.
source_salary_total_withholding,11938771,million_yen,FY2024 source withholding on salary/wages/bonus,NTA-FY2024-WITHHOLDING-STATUS,(6)(7)特定口座内上場株式等の譲渡所得、給与退職所得!T19,ADMINISTRATIVE_TAX_AMOUNT_TOTAL,Public Offices plus Others.
source_day_labor_total_payment,1232032,million_yen,FY2024 source-system wages of day laborers,NTA-FY2024-WITHHOLDING-STATUS,(6)(7)特定口座内上場株式等の譲渡所得、給与退職所得!P20,ADMINISTRATIVE_AMOUNT_SEPARATE_ROW,Published separately from salary/wages/bonus in the source-withholding table.
source_day_labor_total_withholding,20909,million_yen,FY2024 source-system withholding on wages of day laborers,NTA-FY2024-WITHHOLDING-STATUS,(6)(7)特定口座内上場株式等の譲渡所得、給与退職所得!T20,ADMINISTRATIVE_TAX_AMOUNT_SEPARATE_ROW,Published separately from salary/wages/bonus.
private_salary_survey_average_monthly_salary_earners,60184788,persons_estimated_average_monthly,Private Salary Survey 2024,NTA-MINKAN-2024-T1;NTA-MINKAN-METHODOLOGY,Table 1!J24; methodology target,SURVEY_STOCK_AVERAGE_NOT_ANNUAL_UNIQUE_PERSON_COUNT,Average-monthly survey estimate; do not compare as a distinct-person union with final-return persons.
private_salary_survey_salary_amount,241438813,million_yen_estimated,Private Salary Survey 2024 target,NTA-MINKAN-2024-T1;NTA-MINKAN-METHODOLOGY,Table 1!K24,PRIVATE_SALARY_SURVEY_AMOUNT,Survey estimate for its own private-employer year-end target and aggregation design.
private_salary_survey_tax_amount,11183370,million_yen_estimated,Private Salary Survey 2024 target,NTA-MINKAN-2024-T1;NTA-MINKAN-METHODOLOGY,Table 1!M24,PRIVATE_SALARY_SURVEY_TAX_AMOUNT,Survey estimate under Private Salary Survey definitions.
source_public_offices_payment_share,0.079918803494,amount_ratio,FY2024 source-system salary/wages/bonus payment amount,NTA-FY2024-WITHHOLDING-STATUS,E19/P19,AMOUNT_SHARE_NOT_PERSON_SHARE,Public Offices payment share; must not be used as a public-employee person share or as a Table 7 correction factor.
source_public_offices_withholding_share,0.076811005086,amount_ratio,FY2024 source-system salary/wages/bonus withholding amount,NTA-FY2024-WITHHOLDING-STATUS,H19/T19,AMOUNT_SHARE_NOT_PERSON_SHARE,Public Offices tax-amount share; not a person share.
private_salary_to_source_other_payment_ratio,0.741496123383,descriptive_amount_ratio,Cross-statistic comparison,NTA-MINKAN-2024-T1;NTA-FY2024-WITHHOLDING-STATUS;NTA-MINKAN-METHODOLOGY,Private Table 1 K24 / source Others J19,CROSS_STATISTIC_RATIO_NOT_COVERAGE_RATE,Different survey frames and aggregation designs; not an identified coverage or inclusion probability.
private_salary_to_source_other_tax_ratio,1.014664469555,descriptive_amount_ratio,Cross-statistic comparison,NTA-MINKAN-2024-T1;NTA-FY2024-WITHHOLDING-STATUS;NTA-MINKAN-METHODOLOGY,Private Table 1 M24 / source Others M19,CROSS_STATISTIC_RATIO_NOT_SUBSET_RATE,"Ratio exceeds one, directly warning against treating the two published aggregates as nested subsets."
source_other_minus_private_salary_payment,84171538,million_yen_difference,Cross-statistic comparison,NTA-MINKAN-2024-T1;NTA-FY2024-WITHHOLDING-STATUS,source Others J19 - Private Table 1 K24,DIFFERENCE_NOT_MISSING_PRIVATE_PAYROLL,"Do not interpret this difference as missing private salary, missing persons, or an overlap residual."
source_total_minus_private_salary_payment,112454248,million_yen_difference,Cross-statistic comparison,NTA-MINKAN-2024-T1;NTA-FY2024-WITHHOLDING-STATUS,source Total P19 - Private Table 1 K24,DIFFERENCE_NOT_MISSING_PRIVATE_PAYROLL,Includes public-office coverage and other cross-statistic frame differences.
source_other_minus_private_salary_tax,-161628,million_yen_difference,Cross-statistic comparison,NTA-MINKAN-2024-T1;NTA-FY2024-WITHHOLDING-STATUS,source Others M19 - Private Table 1 M24,NEGATIVE_DIFFERENCE_PROVES_NON_NESTED_PUBLISHED_AGGREGATES,Negative published difference is incompatible with a naive nested-subset reading.
public_offices_salary_person_share,NOT_IDENTIFIED,status,Public Offices versus other salary recipients,NTA-FY2024-WITHHOLDING-STATUS,Table (7),NO_PERSON_COUNT_IN_SOURCE_TABLE,Payment and withholding amounts do not identify the corresponding person share.
table7_gt20m_private_sector_adjustment_from_public_amount_share,PROHIBITED,status,Positive-balance Table 7 >20m salary-receipt persons,NTA-FY2024-WITHHOLDING-STATUS;NTA-2024-SHINKOKU-T7-XLSX,cross-source,DO_NOT_APPLY_AMOUNT_SHARE_TO_PERSON_COUNT,"The public-office amount share cannot be used to adjust the 235,287 Table 7 person estimate."
