year,public_offices_persons_thousand,others_persons_thousand,public_plus_others_persons_thousand,public_offices_salary_payment_million_yen,others_salary_payment_million_yen,day_labor_payment_million_yen,total_salary_payment_million_yen,person_field_status,person_field_nature,source_id,source_row,source_sha256
1991,7897,59760,67657,29735427,196239002,4405881,230380310,SAMPLE_SURVEY_ESTIMATE_PUBLISHED,1991_AND_LATER_PERSON_FIELDS_ARE_SAMPLE_SURVEY_ESTIMATES,NTA-WITHHOLDING-LONG-TERM,51,21dd517e4508eb0db2d379c9ac31998f7a599161187ab27ab27b0d5b700cdef4
1992,7982,61049,69031,31520215,205627162,4536819,241684196,SAMPLE_SURVEY_ESTIMATE_PUBLISHED,1991_AND_LATER_PERSON_FIELDS_ARE_SAMPLE_SURVEY_ESTIMATES,NTA-WITHHOLDING-LONG-TERM,52,21dd517e4508eb0db2d379c9ac31998f7a599161187ab27ab27b0d5b700cdef4
1993,8078,62094,70172,32883638,208261778,4576541,245721958,SAMPLE_SURVEY_ESTIMATE_PUBLISHED,1991_AND_LATER_PERSON_FIELDS_ARE_SAMPLE_SURVEY_ESTIMATES,NTA-WITHHOLDING-LONG-TERM,53,21dd517e4508eb0db2d379c9ac31998f7a599161187ab27ab27b0d5b700cdef4
1994,8135,62659,70794,33947579,212312106,4541235,250800920,SAMPLE_SURVEY_ESTIMATE_PUBLISHED,1991_AND_LATER_PERSON_FIELDS_ARE_SAMPLE_SURVEY_ESTIMATES,NTA-WITHHOLDING-LONG-TERM,54,21dd517e4508eb0db2d379c9ac31998f7a599161187ab27ab27b0d5b700cdef4
1995,8103,62729,70832,33912997,213777146,4244311,251934453,SAMPLE_SURVEY_ESTIMATE_PUBLISHED,1991_AND_LATER_PERSON_FIELDS_ARE_SAMPLE_SURVEY_ESTIMATES,NTA-WITHHOLDING-LONG-TERM,55,21dd517e4508eb0db2d379c9ac31998f7a599161187ab27ab27b0d5b700cdef4
1996,8451,63784,72235,35256428,222714193,4689315,262659936,SAMPLE_SURVEY_ESTIMATE_PUBLISHED,1991_AND_LATER_PERSON_FIELDS_ARE_SAMPLE_SURVEY_ESTIMATES,NTA-WITHHOLDING-LONG-TERM,56,21dd517e4508eb0db2d379c9ac31998f7a599161187ab27ab27b0d5b700cdef4
1997,8686,65568,74254,38391575,241584662,4984225,284960462,SAMPLE_SURVEY_ESTIMATE_PUBLISHED,1991_AND_LATER_PERSON_FIELDS_ARE_SAMPLE_SURVEY_ESTIMATES,NTA-WITHHOLDING-LONG-TERM,57,21dd517e4508eb0db2d379c9ac31998f7a599161187ab27ab27b0d5b700cdef4
1998,8337,64072,72409,34358325,205733082,4143445,244234852,SAMPLE_SURVEY_ESTIMATE_PUBLISHED,1991_AND_LATER_PERSON_FIELDS_ARE_SAMPLE_SURVEY_ESTIMATES,NTA-WITHHOLDING-LONG-TERM,58,21dd517e4508eb0db2d379c9ac31998f7a599161187ab27ab27b0d5b700cdef4
1999,8610,64037,72647,35982752,213372975,4099228,253454956,SAMPLE_SURVEY_ESTIMATE_PUBLISHED,1991_AND_LATER_PERSON_FIELDS_ARE_SAMPLE_SURVEY_ESTIMATES,NTA-WITHHOLDING-LONG-TERM,59,21dd517e4508eb0db2d379c9ac31998f7a599161187ab27ab27b0d5b700cdef4
2000,8687,62843,71530,35674984,212713456,3674523,252062962,SAMPLE_SURVEY_ESTIMATE_PUBLISHED,1991_AND_LATER_PERSON_FIELDS_ARE_SAMPLE_SURVEY_ESTIMATES,NTA-WITHHOLDING-LONG-TERM,60,21dd517e4508eb0db2d379c9ac31998f7a599161187ab27ab27b0d5b700cdef4
