metric_id,reference_period,value,unit,statistical_unit,source_ids,identification_status,optimizer_usable,note
population_total,2023-10-01,124352000,persons,resident population,STAT-POP-EST-2023,OBSERVED_HISTORICAL_DIAGNOSTIC_NOT_CAUSAL_POLICY_EFFECT,false,Observed demographic state.
population_total,2024-10-01,123802000,persons,resident population,STAT-POP-EST-2024,OBSERVED_HISTORICAL_DIAGNOSTIC_NOT_CAUSAL_POLICY_EFFECT,false,Observed demographic state.
real_gdp,2024CY,584471.1,billion_2020_yen,national economy,ESRI-SNA-2024-REAL-GDP-CY,OBSERVED_HISTORICAL_DIAGNOSTIC_NOT_CAUSAL_POLICY_EFFECT,false,Chain-linked real GDP.
nominal_gdp,2024CY,634226,billion_yen,national economy,ESRI-SNA-2024-NOMINAL-GDP-CY,OBSERVED_HISTORICAL_DIAGNOSTIC_NOT_CAUSAL_POLICY_EFFECT,false,Calendar-year nominal GDP.
gdp_deflator,2024CY,108.5,index_2020_100,national economy,ESRI-SNA-2024-GDP-DEFLATOR-CY,OBSERVED_HISTORICAL_DIAGNOSTIC_NOT_CAUSAL_POLICY_EFFECT,false,Not used as household-income deflator.
cpi_all_items,2024CY,108.5,index_2020_100,household prices,ESTAT-CPI-2024-NATIONAL-ALL-ITEMS,OBSERVED_HISTORICAL_DIAGNOSTIC_NOT_CAUSAL_POLICY_EFFECT,false,Household purchasing-power deflator diagnostic.
real_gdp_growth,2023CY_to_2024CY,-0.0024008423601,ratio,national economy,ESRI-SNA-2024-REAL-GDP-CY,OBSERVED_HISTORICAL_DIAGNOSTIC_NOT_CAUSAL_POLICY_EFFECT,false,Aggregate growth diagnostic.
population_growth,2023-10-01_to_2024-10-01,-0.00442292846114,ratio,resident population,STAT-POP-EST-2023;STAT-POP-EST-2024,OBSERVED_HISTORICAL_DIAGNOSTIC_NOT_CAUSAL_POLICY_EFFECT,false,Observed demographic change; not policy-fixed.
real_gdp_per_capita_growth,2023_to_2024,0.00203106937559,ratio,resident population,ESRI-SNA-2024-REAL-GDP-CY;STAT-POP-EST-2023;STAT-POP-EST-2024,OBSERVED_HISTORICAL_DIAGNOSTIC_NOT_CAUSAL_POLICY_EFFECT,false,Exact identity (1+gY)/(1+gN)-1.
employed_persons,2024CY,69284000,persons,employed persons,ESRI-SNA-2024-EMPLOYMENT-HOURS-CY,OBSERVED_HISTORICAL_DIAGNOSTIC_NOT_CAUSAL_POLICY_EFFECT,false,SNA employed-person total.
hours_per_employed_person,2024CY,1665.2,hours_per_year,employed persons,ESRI-HOURS-WORKED-EMPLOYED-2024,OBSERVED_HISTORICAL_DIAGNOSTIC_NOT_CAUSAL_POLICY_EFFECT,false,Dedicated employed-person hours reference series.
total_hours_worked,2024CY,115371716800,hours,employed persons,ESRI-SNA-2024-EMPLOYMENT-HOURS-CY;ESRI-HOURS-WORKED-EMPLOYED-2024,OBSERVED_HISTORICAL_DIAGNOSTIC_NOT_CAUSAL_POLICY_EFFECT,false,Employed persons times hours per employed person.
real_gdp_per_capita,2024CY,4721015.00784,2020_yen_per_person,resident population,ESRI-SNA-2024-REAL-GDP-CY;STAT-POP-EST-2024,OBSERVED_HISTORICAL_DIAGNOSTIC_NOT_CAUSAL_POLICY_EFFECT,false,"Population-normalized production, not welfare."
real_gdp_per_hour,2024CY,5065.9825147,2020_yen_per_hour,employed-person hours,ESRI-SNA-2024-REAL-GDP-CY;ESRI-SNA-2024-EMPLOYMENT-HOURS-CY;ESRI-HOURS-WORKED-EMPLOYED-2024,OBSERVED_HISTORICAL_DIAGNOSTIC_NOT_CAUSAL_POLICY_EFFECT,false,Historical productivity diagnostic; no VAT causal attribution.
hours_per_resident,2024CY,931.905113003,hours_per_person,resident population,STAT-POP-EST-2024;ESRI-SNA-2024-EMPLOYMENT-HOURS-CY;ESRI-HOURS-WORKED-EMPLOYED-2024,OBSERVED_HISTORICAL_DIAGNOSTIC_NOT_CAUSAL_POLICY_EFFECT,false,Labour-utilisation decomposition term.
gdp_person_productivity_identity_residual,2024CY,0,2020_yen_per_person,derived identity,ESRI-SNA-2024-REAL-GDP-CY;STAT-POP-EST-2024;ESRI-SNA-2024-EMPLOYMENT-HOURS-CY;ESRI-HOURS-WORKED-EMPLOYED-2024,OBSERVED_HISTORICAL_DIAGNOSTIC_NOT_CAUSAL_POLICY_EFFECT,false,Must be zero: GDP/person = GDP/hour * hours/person.
median_equivalized_disposable_income,2024,3037,thousand_yen,published all-household quantile,ESTAT-7171-2024,OBSERVED_HOUSEHOLD_QUANTILE_NOT_HEADLINE_PERSON_WEIGHTED_EFFECT,false,Published NSFCW household median; not the person-weighted headline policy estimand.
median_real_equivalized_disposable_income,2024,2799.07834101,thousand_2020_yen,published all-household quantile,ESTAT-7171-2024;ESTAT-CPI-2024-NATIONAL-ALL-ITEMS,DESCRIPTIVE_DEFLATED_HOUSEHOLD_QUANTILE_NOT_CAUSAL,false,Uses CPI; no mixed-frequency policy interpolation.
equivalized_disposable_income_gini,2023_survey,0.3233,index_0_1,household members,MHLW-REDISTRIBUTION-2023,OBSERVED_HISTORICAL_DIAGNOSTIC_NOT_CAUSAL_POLICY_EFFECT,false,MHLW person-unit equivalized disposable-income Gini.
relative_poverty_line,2021_income,1270,thousand_yen,household members,MHLW-CSLC-2022-POVERTY,OBSERVED_HISTORICAL_DIAGNOSTIC_NOT_CAUSAL_POLICY_EFFECT,false,Half the median equivalized disposable income.
relative_poverty_rate,2021_income,0.154,ratio,household members,MHLW-CSLC-2022-POVERTY,OBSERVED_HISTORICAL_DIAGNOSTIC_NOT_CAUSAL_POLICY_EFFECT,false,Published incidence; not FGT2.
fgt2_relative,2021_income,,index,household members,MHLW-CSLC-2022-POVERTY,NOT_IDENTIFIED_FROM_AGGREGATE_PUBLICATION,false,Published aggregate data do not identify the squared poverty-gap distribution.
