metric_id,value,unit,population,source_ids,source_locator,identification_status,note
national_public_salary_survey_covered_persons,250434,persons_exact,2024 National Personnel Authority salary-survey covered employees,JINJI-2024-PUBLIC-SALARY-SURVEY-SUMMARY;JINJI-2024-PUBLIC-SALARY-SURVEY-T1;JINJI-2024-PUBLIC-SALARY-SURVEY-RESULTS,summary row All pay schedules; Table 1 total; results PDF p.1,EXTERNAL_NATIONAL_PUBLIC_WORKFORCE_BENCHMARK,Covered employees under specified national pay statutes as of 2024-04-01; exclusions mean this is not all national public-sector salary recipients.
local_public_employee_survey_total,2813939,persons_exact,"2024 Local Public Employee Salary Survey, all local public bodies",ESTAT-LOCAL-PUBLIC-SALARY-2024-T1;ESTAT-LOCAL-PUBLIC-SALARY-2024-METADATA,(1)全地方公共団体!G40,EXTERNAL_LOCAL_PUBLIC_WORKFORCE_BENCHMARK,Survey-defined local public employee total; not asserted identical to NTA Public Offices salary recipients.
local_public_employee_regular_subtotal,2754139,persons_exact,"2024 Local Public Employee Salary Survey, all local public bodies",ESTAT-LOCAL-PUBLIC-SALARY-2024-T1,(1)全地方公共団体!H40,EXTERNAL_LOCAL_PUBLIC_WORKFORCE_COMPONENT,Regular-category subtotal c-e.
local_public_employee_general_staff,1637851,persons_exact,2024 Local Public Employee Salary Survey,ESTAT-LOCAL-PUBLIC-SALARY-2024-T1,(1)全地方公共団体!I40,EXTERNAL_LOCAL_PUBLIC_WORKFORCE_COMPONENT,General staff component.
local_public_employee_education,856644,persons_exact,2024 Local Public Employee Salary Survey,ESTAT-LOCAL-PUBLIC-SALARY-2024-T1,(1)全地方公共団体!J40,EXTERNAL_LOCAL_PUBLIC_WORKFORCE_COMPONENT,Education public employee component.
local_public_employee_police,259644,persons_exact,2024 Local Public Employee Salary Survey,ESTAT-LOCAL-PUBLIC-SALARY-2024-T1,(1)全地方公共団体!K40,EXTERNAL_LOCAL_PUBLIC_WORKFORCE_COMPONENT,Police component.
local_public_employee_temporary,59800,persons_exact,2024 Local Public Employee Salary Survey,ESTAT-LOCAL-PUBLIC-SALARY-2024-T1,(1)全地方公共団体!M40,EXTERNAL_LOCAL_PUBLIC_WORKFORCE_COMPONENT,Temporary-staff component published separately from H regular subtotal.
observed_national_plus_local_public_workforce_subtotal,3064373,persons_external_subtotal,NPA covered national employees plus Local Public Employee Salary Survey total,JINJI-2024-PUBLIC-SALARY-SURVEY-SUMMARY;ESTAT-LOCAL-PUBLIC-SALARY-2024-T1,"250,434 + 2,813,939",EXTERNAL_PUBLIC_WORKFORCE_BENCHMARK_NOT_NTA_DENOMINATOR,Arithmetic subtotal across two external workforce statistics; coverage definitions differ and do not reproduce the NTA Public Offices population.
nta_public_offices_salary_payment,28282710,million_yen,FY2024 NTA source-withholding Public Offices salary/wages/bonus,NTA-FY2024-WITHHOLDING-STATUS,Table (7) E19,NTA_ADMINISTRATIVE_AMOUNT_NO_PERSON_DENOMINATOR,Amount observed; corresponding person count is absent from the current NTA table.
nta_public_offices_salary_withholding,917029,million_yen,FY2024 NTA source-withholding Public Offices salary/wages/bonus,NTA-FY2024-WITHHOLDING-STATUS,Table (7) H19,NTA_ADMINISTRATIVE_AMOUNT_NO_PERSON_DENOMINATOR,Tax amount observed; corresponding person count is absent.
nta_public_offices_salary_person_count,NOT_IDENTIFIED,status,FY2024 NTA source-withholding Public Offices salary recipients,NTA-FY2024-WITHHOLDING-STATUS;JINJI-2024-PUBLIC-SALARY-SURVEY-RESULTS;ESTAT-LOCAL-PUBLIC-SALARY-2024-T1,cross-source,NTA_PUBLIC_OFFICES_PERSON_COUNT_NOT_IDENTIFIED,External public-workforce counts do not share the NTA withholding-table population definition.
nta_public_offices_average_salary_using_external_subtotal,PROHIBITED,status,NTA Public Offices payment divided by external national+local workforce subtotal,NTA-FY2024-WITHHOLDING-STATUS;JINJI-2024-PUBLIC-SALARY-SURVEY-SUMMARY;ESTAT-LOCAL-PUBLIC-SALARY-2024-T1,"28,282,710 million yen / 3,064,373 external persons",DO_NOT_DIVIDE_CROSS_FRAME_AMOUNT_BY_PERSON_SUBTOTAL,Population frames do not match; the resulting quotient is not an identified average salary.
table7_gt20m_public_sector_person_adjustment,PROHIBITED,status,Positive-balance Table 7 salary receipts >20m,NTA-2024-SHINKOKU-T7-XLSX;JINJI-2024-PUBLIC-SALARY-SURVEY-SUMMARY;ESTAT-LOCAL-PUBLIC-SALARY-2024-T1,cross-source,NO_PUBLIC_SECTOR_HIGH_SALARY_CROSSTAB,External public employee totals contain no compatible >20m salary-receipt x final-return-status cross-tab.
