value_id,value,unit,source_id,source_locator,extraction_method,role,claim_ids,note
nta_final_return_filers_2024,23090075,persons,NTA-R06,PDF p.55 / printed p.46; Table 2-1(1); row 確定申告 (Final return processing row),manual_transcription_verified,benchmark_numerator,P1-C02,"Exact Table 2-1 Final-return processing-row benchmark as of 2025-06-30; not the separate press-release count of returns submitted by 2025-03-31 and not the broader 23,362,184 filed-or-processed total"
census_total_population_2020,126146099,persons,STAT-CENSUS-2020-SUMMARY,Summary p.2 / PDF p.5; Table 1; 2020 total population,manual_transcription_verified,person_denominator,P1-C01,Entire Census population is deliberately loose benchmark denominator
census_general_household_persons_2020,123162995,persons,STAT-CENSUS-2020-BASIC,General-household persons; Census Report Table 7-2 equivalent,manual_transcription_verified,frame_component,P1-C01,Persons in general households
census_single_households_2020,21151042,persons,STAT-CENSUS-2020-BASIC,One-person general households; Census Report Table 7-2 equivalent,manual_transcription_verified,frame_component,P1-C01,One person per one-person general household
f71561_single_mother_households_2024_design,20540114,persons,STAT-F71561-DESIGN,Table 4; 全国 row; 単身世帯の母集団世帯数 (A)-(B),manual_transcription_verified,frame_component,P1-C01,"21,142,885 one-person general households minus 602,771 students"
okunoto_total_population_2020,61114,persons,ISHIKAWA-CENSUS-2020,Municipal population rows: Wajima + Suzu + Anamizu + Noto,manual_transcription_verified,geographic_check,P1-C08,Sum of four excluded Okunoto municipalities
okunoto_general_household_persons_2020,57446,persons,ISHIKAWA-CENSUS-2020,Municipal general-household-person rows: Wajima + Suzu + Anamizu + Noto,manual_transcription_verified,geographic_allowance,P1-C08,Conservative subtraction includes all general-household persons in excluded municipalities
births_2020,840835,persons,MHLW-VITAL-2020-T1,Table 1; births; 2020,manual_transcription_verified,tracked_mismatch_allowance,P1-C08,Full-year count deliberately over-includes pre-Census births
births_2021,811622,persons,MHLW-VITAL-2022-T1,Table 1; previous-year births; 2021,manual_transcription_verified,tracked_mismatch_allowance,P1-C08,All births treated adversarially
births_2022,770759,persons,MHLW-VITAL-2022-T1,Table 1; births; 2022,manual_transcription_verified,tracked_mismatch_allowance,P1-C08,All births treated adversarially
births_2023,727288,persons,MHLW-VITAL-2024-T1,Table 1; previous-year births; 2023,manual_transcription_verified,tracked_mismatch_allowance,P1-C08,All births treated adversarially
births_2024,686173,persons,MHLW-VITAL-2024-T1,Table 1; births; 2024,manual_transcription_verified,tracked_mismatch_allowance,P1-C08,All births treated adversarially
international_inflow_2020,358359,persons,STAT-MIGRATION-2024,Table 1; immigrants from abroad; 2020,manual_transcription_verified,tracked_mismatch_allowance,P1-C08,Full-year count deliberately over-includes pre-Census entrants
international_inflow_2021,209700,persons,STAT-MIGRATION-2024,Table 1; immigrants from abroad; 2021,manual_transcription_verified,tracked_mismatch_allowance,P1-C08,"Gross inflow, not net migration"
international_inflow_2022,639124,persons,STAT-MIGRATION-2024,Table 1; immigrants from abroad; 2022,manual_transcription_verified,tracked_mismatch_allowance,P1-C08,"Gross inflow, not net migration"
international_inflow_2023,700138,persons,STAT-MIGRATION-2024,Table 1; immigrants from abroad; 2023,manual_transcription_verified,tracked_mismatch_allowance,P1-C08,"Gross inflow, not net migration"
international_inflow_2024,735883,persons,STAT-MIGRATION-2024,Table 1; immigrants from abroad; 2024,manual_transcription_verified,tracked_mismatch_allowance,P1-C08,"Gross inflow, not net migration"
deaths_2024,1605378,persons,MHLW-VITAL-2024-T1,Table 1; deaths; 2024,manual_transcription_verified,tracked_mismatch_allowance,P1-C08,Extreme allowance: every death can reduce overlap / represent quasi-final timing mismatch
