metric_id,value,unit,evidence_type,population,sample_n,source_id,source_locator,identification_status,model_calibration_permission,note
jcci2024_invoice_cost_increase_share,0.488,ratio,SURVEY_RESPONSE_SHARE,invoice issuers responding to burden question,2365,JCCI-2024-INVOICE-BACKOFFICE-SURVEY,PDF p.11 / printed p.10,OBSERVED_SURVEY_RESPONSE,INCIDENCE_ONLY_NOT_RESOURCE_SHARE,Share reporting increased non-tax costs after invoice-system introduction.
jcci2024_invoice_admin_burden_increase_share,0.822,ratio,SURVEY_RESPONSE_SHARE,invoice issuers responding to burden question,2365,JCCI-2024-INVOICE-BACKOFFICE-SURVEY,PDF p.11 / printed p.10,OBSERVED_SURVEY_RESPONSE,INCIDENCE_ONLY_NOT_RESOURCE_SHARE,Share reporting increased administrative burden.
jcci2025_invoice_cost_increase_share,0.458,ratio,SURVEY_RESPONSE_SHARE,invoice issuers responding to burden question,2137,JCCI-2025-INVOICE-SURVEY,PDF p.13 / printed p.12,OBSERVED_SURVEY_RESPONSE,INCIDENCE_ONLY_NOT_RESOURCE_SHARE,Share reporting increased cost excluding the tax burden itself.
jcci2025_invoice_admin_burden_increase_share,0.734,ratio,SURVEY_RESPONSE_SHARE,invoice issuers responding to burden question,2137,JCCI-2025-INVOICE-SURVEY,PDF p.13 / printed p.12,OBSERVED_SURVEY_RESPONSE,INCIDENCE_ONLY_NOT_RESOURCE_SHARE,Share reporting increased administrative burden.
jcci2024_supplier_registration_check_share,0.660,ratio,MULTIPLE_RESPONSE_SHARE,respondents reporting increased administrative burden,1945,JCCI-2024-INVOICE-BACKOFFICE-SURVEY,PDF p.11 / printed p.10,OBSERVED_CONDITIONAL_SURVEY_RESPONSE,TASK_INCIDENCE_ONLY,Supplier registration-status confirmation/management.
jcci2024_registration_number_check_share,0.578,ratio,MULTIPLE_RESPONSE_SHARE,respondents reporting increased administrative burden,1945,JCCI-2024-INVOICE-BACKOFFICE-SURVEY,PDF p.11 / printed p.10,OBSERVED_CONDITIONAL_SURVEY_RESPONSE,TASK_INCIDENCE_ONLY,Invoice registration-number check on receipt.
jcci2024_required_fields_check_share,0.543,ratio,MULTIPLE_RESPONSE_SHARE,respondents reporting increased administrative burden,1945,JCCI-2024-INVOICE-BACKOFFICE-SURVEY,PDF p.11 / printed p.10,OBSERVED_CONDITIONAL_SURVEY_RESPONSE,TASK_INCIDENCE_ONLY,Required invoice fields check on issuance.
jcci2024_tax_rate_amount_check_share,0.466,ratio,MULTIPLE_RESPONSE_SHARE,respondents reporting increased administrative burden,1945,JCCI-2024-INVOICE-BACKOFFICE-SURVEY,PDF p.11 / printed p.10,OBSERVED_CONDITIONAL_SURVEY_RESPONSE,TASK_INCIDENCE_ONLY,Consumption-tax rate/amount check on receipt.
jcci2024_invoice_storage_share,0.441,ratio,MULTIPLE_RESPONSE_SHARE,respondents reporting increased administrative burden,1945,JCCI-2024-INVOICE-BACKOFFICE-SURVEY,PDF p.11 / printed p.10,OBSERVED_CONDITIONAL_SURVEY_RESPONSE,TASK_INCIDENCE_ONLY,Invoice storage.
jcci2025_supplier_registration_check_share,0.748,ratio,MULTIPLE_RESPONSE_SHARE,respondents reporting increased administrative burden,1569,JCCI-2025-INVOICE-SURVEY,PDF p.13 / printed p.12,OBSERVED_CONDITIONAL_SURVEY_RESPONSE,TASK_INCIDENCE_ONLY,Supplier registration-status confirmation/management.
jcci2025_registration_number_check_share,0.637,ratio,MULTIPLE_RESPONSE_SHARE,respondents reporting increased administrative burden,1569,JCCI-2025-INVOICE-SURVEY,PDF p.13 / printed p.12,OBSERVED_CONDITIONAL_SURVEY_RESPONSE,TASK_INCIDENCE_ONLY,Invoice registration-number check on receipt.
jcci2025_tax_rate_amount_check_share,0.551,ratio,MULTIPLE_RESPONSE_SHARE,respondents reporting increased administrative burden,1569,JCCI-2025-INVOICE-SURVEY,PDF p.13 / printed p.12,OBSERVED_CONDITIONAL_SURVEY_RESPONSE,TASK_INCIDENCE_ONLY,Consumption-tax rate/amount check on receipt.
jcci2025_required_fields_check_share,0.532,ratio,MULTIPLE_RESPONSE_SHARE,respondents reporting increased administrative burden,1569,JCCI-2025-INVOICE-SURVEY,PDF p.13 / printed p.12,OBSERVED_CONDITIONAL_SURVEY_RESPONSE,TASK_INCIDENCE_ONLY,Required invoice fields check on issuance.
jcci2025_le_10m_one_accounting_worker_share,0.794,ratio,SURVEY_RESPONSE_SHARE,firms in sales band le_10m,907,JCCI-2025-INVOICE-SURVEY,PDF p.16 / printed p.15,OBSERVED_FIRM_SIZE_BACKOFFICE_STRUCTURE,VULNERABILITY_PROXY_NOT_VAT_HOURS,Share reporting one person engaged in accounting administration.
jcci2025_le_10m_dedicated_accounting_employee_share,0.236,ratio,SURVEY_RESPONSE_SHARE,firms in sales band le_10m,907,JCCI-2025-INVOICE-SURVEY,PDF p.16 / printed p.15,OBSERVED_FIRM_SIZE_BACKOFFICE_STRUCTURE,VULNERABILITY_PROXY_NOT_VAT_HOURS,Share with a dedicated accounting employee.
jcci2025_le_10m_no_dedicated_accounting_employee_share,0.764,ratio,SURVEY_RESPONSE_SHARE,firms in sales band le_10m,907,JCCI-2025-INVOICE-SURVEY,PDF p.16 / printed p.15,OBSERVED_FIRM_SIZE_BACKOFFICE_STRUCTURE,VULNERABILITY_PROXY_NOT_VAT_HOURS,Share without a dedicated accounting employee.
jcci2025_gt10m_le50m_one_accounting_worker_share,0.622,ratio,SURVEY_RESPONSE_SHARE,firms in sales band gt10m_le50m,686,JCCI-2025-INVOICE-SURVEY,PDF p.16 / printed p.15,OBSERVED_FIRM_SIZE_BACKOFFICE_STRUCTURE,VULNERABILITY_PROXY_NOT_VAT_HOURS,Share reporting one person engaged in accounting administration.
jcci2025_gt10m_le50m_dedicated_accounting_employee_share,0.370,ratio,SURVEY_RESPONSE_SHARE,firms in sales band gt10m_le50m,686,JCCI-2025-INVOICE-SURVEY,PDF p.16 / printed p.15,OBSERVED_FIRM_SIZE_BACKOFFICE_STRUCTURE,VULNERABILITY_PROXY_NOT_VAT_HOURS,Share with a dedicated accounting employee.
jcci2025_gt10m_le50m_no_dedicated_accounting_employee_share,0.630,ratio,SURVEY_RESPONSE_SHARE,firms in sales band gt10m_le50m,686,JCCI-2025-INVOICE-SURVEY,PDF p.16 / printed p.15,OBSERVED_FIRM_SIZE_BACKOFFICE_STRUCTURE,VULNERABILITY_PROXY_NOT_VAT_HOURS,Share without a dedicated accounting employee.
jcci2025_gt50m_le100m_one_accounting_worker_share,0.401,ratio,SURVEY_RESPONSE_SHARE,firms in sales band gt50m_le100m,262,JCCI-2025-INVOICE-SURVEY,PDF p.16 / printed p.15,OBSERVED_FIRM_SIZE_BACKOFFICE_STRUCTURE,VULNERABILITY_PROXY_NOT_VAT_HOURS,Share reporting one person engaged in accounting administration.
jcci2025_gt50m_le100m_dedicated_accounting_employee_share,0.523,ratio,SURVEY_RESPONSE_SHARE,firms in sales band gt50m_le100m,262,JCCI-2025-INVOICE-SURVEY,PDF p.16 / printed p.15,OBSERVED_FIRM_SIZE_BACKOFFICE_STRUCTURE,VULNERABILITY_PROXY_NOT_VAT_HOURS,Share with a dedicated accounting employee.
jcci2025_gt50m_le100m_no_dedicated_accounting_employee_share,0.477,ratio,SURVEY_RESPONSE_SHARE,firms in sales band gt50m_le100m,262,JCCI-2025-INVOICE-SURVEY,PDF p.16 / printed p.15,OBSERVED_FIRM_SIZE_BACKOFFICE_STRUCTURE,VULNERABILITY_PROXY_NOT_VAT_HOURS,Share without a dedicated accounting employee.
jcci2025_gt100m_one_accounting_worker_share,0.145,ratio,SURVEY_RESPONSE_SHARE,firms in sales band gt100m,855,JCCI-2025-INVOICE-SURVEY,PDF p.16 / printed p.15,OBSERVED_FIRM_SIZE_BACKOFFICE_STRUCTURE,VULNERABILITY_PROXY_NOT_VAT_HOURS,Share reporting one person engaged in accounting administration.
jcci2025_gt100m_dedicated_accounting_employee_share,0.710,ratio,SURVEY_RESPONSE_SHARE,firms in sales band gt100m,855,JCCI-2025-INVOICE-SURVEY,PDF p.16 / printed p.15,OBSERVED_FIRM_SIZE_BACKOFFICE_STRUCTURE,VULNERABILITY_PROXY_NOT_VAT_HOURS,Share with a dedicated accounting employee.
jcci2025_gt100m_no_dedicated_accounting_employee_share,0.290,ratio,SURVEY_RESPONSE_SHARE,firms in sales band gt100m,855,JCCI-2025-INVOICE-SURVEY,PDF p.16 / printed p.15,OBSERVED_FIRM_SIZE_BACKOFFICE_STRUCTURE,VULNERABILITY_PROXY_NOT_VAT_HOURS,Share without a dedicated accounting employee.
