value_id,value,unit,evidence_status,source_id,source_file,source_sha256,source_url,source_locator,extraction_method,derived_artifact,claim_ids,note
nta_final_return_filers_2024,23090075,persons,RAW_OFFICIAL,NTA-R06,data/raw/nta/nta_fy2024_annual_statistics.pdf,18e26ad7d255a41d82d171d42478c76a36bae5cb8345c65fef717318db5bf529,https://www.nta.go.jp/publication/statistics/kokuzeicho/r06/R06.pdf,PDF p.55 / printed p.46; Table 2-1(1); row 確定申告 (final return),manual_transcription_verified,research/stage1_filing_bound/inputs.csv,P1-C02,"Use final-return row, not broader 23,362,184 cases-processed total"
census_total_population_2020,126146099,persons,RAW_OFFICIAL,STAT-CENSUS-2020-SUMMARY,data/raw/statistics_bureau/2020_population_census_summary_en.pdf,e34dd8b82b8defca12dbefeb964c95652b828d978f9e2448c35ad1f2901d1300,https://www.stat.go.jp/english/data/kokusei/2020/summary/pdf/all.pdf,Summary p.2 / PDF p.5; Table 1; 2020 total population,manual_transcription_verified,research/stage1_filing_bound/inputs.csv,P1-C01,Entire Census population is deliberately loose benchmark denominator
census_general_household_persons_2020,123162995,persons,RAW_OFFICIAL,STAT-CENSUS-2020-BASIC,data/raw/statistics_bureau/2020_population_census_basic_complete_summary.pdf,2c25f23b122098627aea69283eb6f174398aef14999336f5c84c9221593e53c1,https://www.stat.go.jp/data/kokusei/2020/kekka/pdf/outline_01.pdf,General-household persons; Census Report Table 7-2 equivalent,manual_transcription_verified,research/stage1_filing_bound/inputs.csv,P1-C01,Persons in general households
census_single_households_2020,21151042,persons,RAW_OFFICIAL,STAT-CENSUS-2020-BASIC,data/raw/statistics_bureau/2020_population_census_basic_complete_summary.pdf,2c25f23b122098627aea69283eb6f174398aef14999336f5c84c9221593e53c1,https://www.stat.go.jp/data/kokusei/2020/kekka/pdf/outline_01.pdf,One-person general households; Census Report Table 7-2 equivalent,manual_transcription_verified,research/stage1_filing_bound/inputs.csv,P1-C01,One person per one-person general household
f71561_single_mother_households_2024_design,20540114,persons,RAW_OFFICIAL,STAT-F71561-DESIGN,data/raw/statistics_bureau/2024_nsfcw_sample_design.pdf,6de948257288726bb7513eb65c2cddbda2b377e1714678fa9943352b1bef3cea,https://www.stat.go.jp/data/zenkokukakei/2024/pdf/hyohon2024.pdf,Table 4; 全国 row; 単身世帯の母集団世帯数 (A)-(B),manual_transcription_verified,research/stage1_filing_bound/inputs.csv,P1-C01,"21,142,885 one-person general households minus 602,771 students"
okunoto_total_population_2020,61114,persons,RAW_OFFICIAL,ISHIKAWA-CENSUS-2020,data/raw/ishikawa/2020_population_census_summary.pdf,77eca2aa7ab9ba0b06f81613a7799e200fb19f0f3bb973efe290d07ea252ecaa,https://toukei.pref.ishikawa.lg.jp/dl/4461/R2census_jinkou.pdf,Municipal population rows: Wajima + Suzu + Anamizu + Noto,manual_transcription_verified,research/stage1_filing_bound/inputs.csv,P1-C08,Sum of four excluded Okunoto municipalities
okunoto_general_household_persons_2020,57446,persons,RAW_OFFICIAL,ISHIKAWA-CENSUS-2020,data/raw/ishikawa/2020_population_census_summary.pdf,77eca2aa7ab9ba0b06f81613a7799e200fb19f0f3bb973efe290d07ea252ecaa,https://toukei.pref.ishikawa.lg.jp/dl/4461/R2census_jinkou.pdf,Municipal general-household-person rows: Wajima + Suzu + Anamizu + Noto,manual_transcription_verified,research/stage1_filing_bound/inputs.csv,P1-C08,Conservative subtraction includes all general-household persons in excluded municipalities
births_2020,840835,persons,RAW_OFFICIAL,MHLW-VITAL-2020-T1,data/raw/mhlw/2020_vital_table1.pdf,11ec14dd0530428debba27edaf27297fd34c3a1816536d3457927c09de3fba11,https://www.mhlw.go.jp/toukei/saikin/hw/jinkou/kakutei20/dl/03_h1.pdf,Table 1; births; 2020,manual_transcription_verified,research/stage1_filing_bound/inputs.csv,P1-C08,Full-year count deliberately over-includes pre-Census births
births_2021,811622,persons,RAW_OFFICIAL,MHLW-VITAL-2022-T1,data/raw/mhlw/2022_vital_table1.pdf,a69db48d693463449e35ef436b9ec08a75f35664fadf4fb5860379d7e4faa59b,https://www.mhlw.go.jp/toukei/saikin/hw/jinkou/kakutei22/dl/03_h1.pdf,Table 1; previous-year births; 2021,manual_transcription_verified,research/stage1_filing_bound/inputs.csv,P1-C08,All births treated adversarially
births_2022,770759,persons,RAW_OFFICIAL,MHLW-VITAL-2022-T1,data/raw/mhlw/2022_vital_table1.pdf,a69db48d693463449e35ef436b9ec08a75f35664fadf4fb5860379d7e4faa59b,https://www.mhlw.go.jp/toukei/saikin/hw/jinkou/kakutei22/dl/03_h1.pdf,Table 1; births; 2022,manual_transcription_verified,research/stage1_filing_bound/inputs.csv,P1-C08,All births treated adversarially
