é¿éøãGêﬂí≤êÆånóÒ(ëOä˙î‰),,,,,,,,,,,,,,,,(íPà :Åì)
"Real, Seasonally Adjusted Series (Quarter-to-Quarter Percent Change)",,,,,,,,,,,,,,,,(%)
,â∆åvç≈èIè¡îÔéxèoÅiçƒåfÅj,,,,,,,,,ç‡â›ÅEÉTÅ[ÉrÉX,,,,,,
,,ãèèZé“â∆åvÇÃäCäOÇ≈ÇÃíºê⁄çwì¸,ÅiçTèúÅjîÒãèèZé“â∆åvÇÃçëì‡Ç≈ÇÃíºê⁄çwì¸,çëì‡â∆åvç≈èIè¡îÔéxèo,,,,,,èÉóAèoÅiçƒåfÅj,óAèoÅiçƒåfÅj,,,óAì¸ÅiçƒåfÅj,,
,,,,,ëœãvç‡,îºëœãvç‡,îÒëœãvç‡,ÉTÅ[ÉrÉX,,,,ç‡â›,ÉTÅ[ÉrÉXÅiä‹ÇﬁîÒãèèZé“â∆åvÇÃçëì‡Ç≈ÇÃíºê⁄çwì¸Åj,,ç‡â›,ÉTÅ[ÉrÉXÅiä‹ÇﬁãèèZé“â∆åvÇÃäCäOÇ≈ÇÃíºê⁄çwì¸Åj
,"Consumptionof Households(id, at ÅòÇh)",DirectPurchasesAbroad byResidentHouseholds,(Less) DirectPurchases inthe DomesticMarket byNon-ResidentHouseholds ,Domestic FinalConsumptionExpenditure ofHouseholds,DurableGoods,Semi-DurableGoods,Non-DurableGoods,Services,,Goods & Services,,,,,,
,,,,,,,,,,"Net Exports(id, at ÅòÇh)","Exports(id, at ÅòÇh)",,,"Imports(id, at ÅòÇh)",,
,,,,,,,,,,,,Goods,ServicesÅiIncluding DirectPurchases in theDomestic Marketby Non-ResidentHouseholds),,Goods,ServicesÅiIncluding DirectPurchasesAbroad byResidentHouseholds)
1994/ 1- 3.,,,,,,,,,,,,,,,,
4- 6.,0.4 ,-0.0 ,0.2 ,0.5 ,3.4 ,3.0 ,0.1 ,-0.2 ,,***,0.6 ,0.4 ,2.0 ,1.9 ,2.5 ,0.8 
7- 9.,0.8 ,-1.2 ,-16.3 ,0.8 ,4.5 ,-1.2 ,1.4 ,0.3 ,,***,1.8 ,2.8 ,-4.4 ,3.0 ,4.0 ,1.0 
10-12.,0.1 ,-1.4 ,-2.7 ,0.1 ,2.1 ,0.0 ,-0.2 ,-0.1 ,,***,0.4 ,0.7 ,-1.8 ,1.0 ,3.0 ,-3.4 
1995/ 1- 3.,0.8 ,5.7 ,-14.8 ,0.7 ,5.3 ,2.1 ,0.9 ,-0.4 ,,***,1.3 ,1.6 ,-1.2 ,3.3 ,2.3 ,5.6 
4- 6.,0.9 ,9.9 ,-5.8 ,0.8 ,6.1 ,1.3 ,0.4 ,0.1 ,,***,1.5 ,1.9 ,-1.2 ,3.0 ,5.1 ,-1.6 
7- 9.,0.5 ,1.9 ,22.9 ,0.5 ,-0.9 ,1.3 ,1.0 ,0.3 ,,***,0.9 ,-1.0 ,15.0 ,5.6 ,5.2 ,6.5 
10-12.,0.6 ,0.3 ,13.1 ,0.7 ,0.5 ,0.8 ,0.4 ,0.8 ,,***,-0.3 ,-0.9 ,3.5 ,4.9 ,4.9 ,4.8 
1996/ 1- 3.,-0.0 ,0.6 ,16.3 ,-0.0 ,1.6 ,-3.5 ,-1.5 ,1.1 ,,***,1.6 ,1.1 ,4.8 ,1.9 ,1.4 ,3.3 
4- 6.,1.0 ,-8.7 ,7.2 ,1.1 ,2.4 ,-1.2 ,1.5 ,1.1 ,,***,-0.1 ,-0.5 ,2.5 ,3.2 ,4.6 ,-0.3 
7- 9.,0.1 ,0.8 ,4.6 ,0.1 ,3.6 ,0.1 ,-2.1 ,0.6 ,,***,2.9 ,3.0 ,2.4 ,-0.2 ,-0.7 ,1.1 
10-12.,0.9 ,0.2 ,5.2 ,0.9 ,2.6 ,-0.8 ,1.7 ,0.6 ,,***,4.3 ,4.6 ,2.2 ,1.3 ,0.9 ,2.5 
1997/ 1- 3.,1.5 ,-4.0 ,14.3 ,1.6 ,4.6 ,5.1 ,0.5 ,1.0 ,,***,3.1 ,2.9 ,4.5 ,0.8 ,1.1 ,0.2 
4- 6.,-2.5 ,-5.3 ,-7.4 ,-2.5 ,-7.9 ,-5.8 ,-4.2 ,-0.3 ,,***,4.3 ,4.9 ,0.4 ,-1.6 ,-1.1 ,-2.8 
7- 9.,0.1 ,-3.2 ,1.2 ,0.2 ,-3.8 ,-1.2 ,1.3 ,0.6 ,,***,-1.4 ,-1.1 ,-3.6 ,-0.2 ,-0.2 ,-0.2 
10-12.,-0.2 ,-9.4 ,3.1 ,-0.1 ,-0.8 ,-3.5 ,-0.2 ,0.6 ,,***,2.2 ,1.6 ,6.4 ,-2.4 ,-2.6 ,-1.8 
1998/ 1- 3.,-0.3 ,-5.1 ,-6.8 ,-0.3 ,-4.4 ,3.7 ,1.0 ,-0.9 ,,***,-2.5 ,-2.5 ,-3.0 ,-0.9 ,-1.1 ,-0.2 
4- 6.,-0.1 ,-3.5 ,3.7 ,-0.1 ,-3.0 ,-1.2 ,-0.3 ,0.6 ,,***,-1.9 ,-1.4 ,-5.0 ,-4.4 ,-5.8 ,-1.0 
7- 9.,0.8 ,-1.4 ,8.5 ,0.8 ,3.7 ,-1.1 ,2.0 ,0.2 ,,***,0.3 ,-0.1 ,3.0 ,0.2 ,1.4 ,-2.5 
10-12.,-0.3 ,8.6 ,-21.8 ,-0.4 ,1.4 ,-1.6 ,-1.0 ,-0.2 ,,***,-1.8 ,-0.6 ,-9.1 ,-2.3 ,-2.6 ,-1.6 
1999/ 1- 3.,0.3 ,6.9 ,-5.2 ,0.2 ,0.5 ,-4.0 ,0.7 ,0.6 ,,***,0.2 ,0.5 ,-1.7 ,3.0 ,4.1 ,0.3 
4- 6.,0.1 ,-3.7 ,7.6 ,0.2 ,-0.2 ,0.2 ,0.8 ,-0.1 ,,***,0.9 ,0.7 ,2.6 ,1.8 ,2.7 ,-0.2 
7- 9.,0.8 ,13.4 ,-12.9 ,0.6 ,3.1 ,-0.8 ,-0.4 ,0.9 ,,***,4.2 ,5.7 ,-6.2 ,2.6 ,2.5 ,2.6 
10-12.,0.1 ,-5.3 ,-6.3 ,0.1 ,2.2 ,-2.8 ,0.4 ,0.2 ,,***,2.3 ,1.7 ,6.9 ,3.0 ,3.7 ,1.3 
2000/ 1- 3.,1.0 ,-4.7 ,-1.6 ,1.0 ,4.2 ,2.8 ,0.1 ,0.8 ,,***,5.4 ,5.7 ,3.3 ,0.0 ,2.2 ,-5.3 
4- 6.,-0.1 ,-0.4 ,-0.1 ,-0.1 ,0.4 ,-0.5 ,-0.8 ,0.1 ,,***,3.1 ,3.6 ,0.2 ,3.9 ,5.8 ,-1.2 
7- 9.,0.2 ,-0.2 ,5.9 ,0.2 ,4.5 ,-0.9 ,0.2 ,-0.2 ,,***,1.7 ,1.2 ,5.3 ,2.6 ,2.9 ,1.7 
10-12.,1.3 ,-1.8 ,7.4 ,1.3 ,6.1 ,1.5 ,0.8 ,0.8 ,,***,-0.4 ,-0.7 ,1.9 ,3.7 ,4.8 ,0.7 
2001/ 1- 3.,0.4 ,-5.1 ,-0.7 ,0.5 ,5.1 ,1.7 ,0.4 ,-0.4 ,,***,-3.6 ,-3.9 ,-1.4 ,0.2 ,-0.4 ,2.0 
4- 6.,0.9 ,-4.4 ,0.7 ,1.0 ,4.0 ,-0.0 ,-0.3 ,1.2 ,,***,-3.8 ,-4.4 ,0.0 ,-2.2 ,-3.3 ,1.3 
7- 9.,-0.2 ,-1.9 ,-10.7 ,-0.2 ,-7.0 ,0.2 ,1.8 ,-0.1 ,,***,-2.1 ,-2.5 ,0.2 ,-2.9 ,-3.3 ,-1.6 
10-12.,-0.0 ,-33.8 ,6.5 ,0.3 ,1.7 ,-0.5 ,-0.0 ,0.3 ,,***,-1.9 ,-2.2 ,-0.2 ,-3.1 ,-0.4 ,-10.5 
2002/ 1- 3.,0.7 ,26.1 ,9.0 ,0.5 ,3.9 ,-1.0 ,-0.6 ,0.8 ,,***,4.6 ,5.3 ,0.2 ,0.9 ,-0.9 ,6.7 
4- 6.,0.8 ,17.9 ,-4.7 ,0.7 ,-0.4 ,-2.6 ,2.3 ,0.5 ,,***,7.2 ,6.9 ,9.0 ,3.0 ,1.7 ,6.4 
7- 9.,0.1 ,2.4 ,-4.3 ,0.0 ,3.5 ,0.4 ,-0.6 ,-0.2 ,,***,1.1 ,1.5 ,-1.7 ,3.4 ,4.6 ,0.3 
10-12.,-0.4 ,-2.2 ,5.4 ,-0.3 ,-0.3 ,-0.7 ,-0.4 ,-0.3 ,,***,3.4 ,3.8 ,0.7 ,1.4 ,1.3 ,1.8 
2003/ 1- 3.,0.1 ,8.5 ,132.5 ,0.1 ,1.4 ,-2.3 ,-0.5 ,0.5 ,,***,1.3 ,-0.5 ,13.0 ,0.7 ,0.9 ,0.1 
4- 6.,0.3 ,-38.5 ,-24.5 ,0.6 ,10.6 ,0.6 ,-0.2 ,-0.4 ,,***,0.1 ,1.4 ,-7.0 ,-3.2 ,3.2 ,-20.9 
7- 9.,0.0 ,40.8 ,49.7 ,-0.2 ,-2.6 ,-0.1 ,-1.5 ,0.8 ,,***,3.5 ,3.5 ,4.0 ,2.4 ,-0.2 ,11.8 
10-12.,1.1 ,18.6 ,-1.7 ,1.0 ,4.7 ,-0.1 ,1.4 ,0.4 ,,***,5.1 ,5.9 ,0.4 ,2.3 ,1.2 ,6.1 
2004/ 1- 3.,0.2 ,0.3 ,5.4 ,0.2 ,1.5 ,-0.9 ,1.4 ,-0.4 ,,***,5.0 ,4.5 ,7.7 ,3.0 ,3.8 ,0.5 
4- 6.,-0.0 ,4.9 ,7.4 ,-0.0 ,0.3 ,-2.3 ,-1.7 ,0.9 ,,***,3.2 ,3.1 ,3.7 ,1.7 ,0.8 ,4.5 
7- 9.,0.7 ,0.8 ,3.0 ,0.7 ,2.5 ,2.5 ,0.9 ,0.2 ,,***,0.9 ,0.4 ,4.4 ,2.3 ,2.7 ,1.1 
10-12.,-0.9 ,2.1 ,-4.9 ,-1.0 ,-2.1 ,-7.5 ,-1.1 ,0.0 ,,***,1.3 ,0.8 ,4.3 ,2.9 ,3.5 ,1.3 
2005/ 1- 3.,1.0 ,-5.2 ,5.3 ,1.0 ,2.4 ,5.2 ,-0.7 ,1.2 ,,***,-1.0 ,0.5 ,-9.3 ,-0.6 ,-0.4 ,-1.2 
4- 6.,0.7 ,-5.0 ,7.0 ,0.8 ,4.7 ,0.3 ,0.2 ,0.5 ,,***,4.3 ,4.0 ,5.7 ,1.8 ,3.2 ,-2.4 
7- 9.,0.9 ,-2.9 ,6.4 ,1.0 ,2.3 ,1.9 ,1.1 ,0.6 ,,***,3.2 ,3.3 ,2.4 ,2.6 ,2.7 ,2.1 
10-12.,0.2 ,-6.7 ,4.8 ,0.2 ,-2.3 ,0.8 ,0.2 ,0.6 ,,***,3.5 ,3.1 ,5.8 ,0.2 ,0.6 ,-1.2 
2006/ 1- 3.,-0.0 ,-26.6 ,-35.0 ,0.2 ,2.6 ,0.0 ,-1.2 ,0.5 ,,***,2.3 ,2.6 ,0.6 ,1.8 ,2.8 ,-1.8 
4- 6.,0.3 ,6.4 ,8.6 ,0.3 ,0.3 ,2.1 ,-0.8 ,0.6 ,,***,1.7 ,2.3 ,-1.9 ,1.3 ,1.0 ,2.6 
7- 9.,-0.8 ,-6.6 ,-1.1 ,-0.8 ,-6.5 ,-0.4 ,-1.3 ,0.2 ,,***,1.9 ,1.8 ,2.0 ,-0.1 ,-0.2 ,0.5 
10-12.,1.6 ,-2.4 ,6.8 ,1.7 ,11.6 ,1.1 ,1.1 ,0.7 ,,***,1.2 ,0.9 ,3.0 ,0.0 ,-0.2 ,1.0 
2007/ 1- 3.,-0.3 ,-1.5 ,4.3 ,-0.3 ,-1.1 ,-1.1 ,-2.4 ,0.8 ,,***,2.4 ,2.5 ,1.7 ,0.8 ,0.8 ,0.9 
4- 6.,0.9 ,-0.4 ,-1.9 ,0.9 ,2.4 ,1.8 ,1.4 ,0.4 ,,***,2.4 ,1.9 ,5.1 ,1.6 ,0.6 ,5.0 
7- 9.,-1.2 ,-2.8 ,7.0 ,-1.1 ,-8.3 ,-3.6 ,-0.2 ,-0.3 ,,***,2.5 ,3.0 ,-0.3 ,-0.9 ,-0.8 ,-0.9 
10-12.,0.5 ,0.4 ,3.9 ,0.5 ,7.4 ,0.7 ,0.6 ,-0.3 ,,***,3.0 ,3.3 ,0.9 ,1.4 ,2.3 ,-2.2 
2008/ 1- 3.,0.2 ,3.2 ,0.9 ,0.1 ,4.6 ,2.0 ,-0.3 ,-0.4 ,,***,2.5 ,3.1 ,-1.0 ,1.3 ,0.9 ,2.7 
4- 6.,-1.1 ,-4.7 ,-1.4 ,-1.0 ,1.7 ,-2.0 ,-1.2 ,-1.3 ,,***,-2.0 ,-2.8 ,2.8 ,-2.8 ,-1.6 ,-7.0 
7- 9.,-0.2 ,-9.7 ,-3.9 ,-0.1 ,-0.2 ,0.1 ,-0.0 ,-0.2 ,,***,0.1 ,0.3 ,-1.4 ,0.3 ,0.4 ,-0.2 
10-12.,-1.4 ,20.7 ,-5.9 ,-1.6 ,-5.8 ,-3.9 ,-3.1 ,-0.2 ,,***,-12.6 ,-14.5 ,-1.0 ,1.9 ,0.6 ,7.1 
2009/ 1- 3.,0.6 ,-10.9 ,-1.2 ,0.7 ,-4.6 ,2.6 ,5.6 ,-1.0 ,,***,-25.5 ,-28.4 ,-10.6 ,-16.1 ,-17.8 ,-9.2 
4- 6.,-0.5 ,-11.4 ,-5.4 ,-0.5 ,4.2 ,-0.8 ,-3.5 ,0.4 ,,***,9.1 ,11.1 ,0.6 ,-4.5 ,-4.9 ,-2.9 
7- 9.,-0.3 ,6.5 ,10.8 ,-0.3 ,11.6 ,-1.9 ,-3.6 ,-0.1 ,,***,9.6 ,11.7 ,0.1 ,5.3 ,7.6 ,-2.8 
10-12.,1.2 ,0.4 ,12.6 ,1.3 ,5.5 ,-0.5 ,3.4 ,0.0 ,,***,7.2 ,8.6 ,0.2 ,2.3 ,2.7 ,1.0 
2010/ 1- 3.,0.6 ,3.2 ,6.6 ,0.6 ,8.1 ,-1.8 ,1.2 ,-0.3 ,,***,5.9 ,6.4 ,3.2 ,2.9 ,3.0 ,3.0 
4- 6.,0.9 ,9.6 ,1.8 ,0.9 ,-0.2 ,0.6 ,1.8 ,0.7 ,,***,4.8 ,5.3 ,2.2 ,4.9 ,5.5 ,2.9 
