第１表　　適用俸給表別、性別、年齢階層別人員,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,俸給表計,行政職俸給表(一),行政職俸給表(二),専門行政職俸給表,税務職俸給表,公安職俸給表(一),公安職俸給表(二),海事職俸給表(一),海事職俸給表(二),教育職俸給表(一),教育職俸給表(二),研究職俸給表,医療職俸給表(一),医療職俸給表(二),医療職俸給表(三),福祉職俸給表,専門ｽﾀｯﾌ職俸給表,指定職俸給表,特定任期付職員俸給表,第一号任期付研究員俸給表,第二号任期付研究員俸給表
性別,年齢階層,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人
計,計,250434,139298,1829,7755,49806,21838,22934,204,359,98,67,1348,582,497,1819,240,154,967,476,78,85
計,20歳未満,950,646,4,0,171,67,57,0,5,0,0,0,0,0,0,0,0,0,0,0,0
計,20歳以上24歳未満,13906,7465,14,180,3374,1009,1824,3,32,0,0,0,0,0,2,3,0,0,0,0,0
計,24歳以上28歳未満,28678,16324,27,771,6293,1808,3327,33,27,2,0,31,0,12,9,8,0,0,5,0,1
計,28歳以上32歳未満,22619,13085,30,786,4265,1653,2536,17,25,6,2,48,6,13,61,18,0,0,44,0,24
計,32歳以上36歳未満,19349,9870,34,706,4178,2071,2030,19,40,9,6,109,32,39,88,19,0,0,69,5,25
計,36歳以上40歳未満,20685,9783,62,742,4833,2653,2050,23,35,11,2,135,42,57,121,26,0,0,79,14,17
計,40歳以上44歳未満,22014,11743,107,843,4178,2855,1669,15,41,14,4,144,33,54,190,27,0,0,69,17,11
計,44歳以上48歳未満,24925,14791,190,848,3738,2781,1697,16,36,15,13,202,46,71,340,48,3,0,57,28,5
計,48歳以上52歳未満,33522,20556,301,894,5424,2802,2592,24,43,11,8,219,48,88,384,48,13,4,51,11,1
計,52歳以上56歳未満,32917,18605,474,996,6978,1994,2600,26,37,14,17,272,85,82,308,25,49,323,30,2,0
計,56歳以上60歳未満,29333,15677,555,892,6091,2143,2510,26,38,16,15,179,99,80,316,18,88,559,30,0,1
計,60歳以上,1536,753,31,97,283,2,42,2,0,0,0,9,191,1,0,0,1,81,42,1,0
男,計,190934,104541,1337,5687,36652,19232,18968,203,350,89,45,1073,440,263,383,136,138,917,388,45,47
男,20歳未満,577,429,2,0,65,34,42,0,5,0,0,0,0,0,0,0,0,0,0,0,0
男,20歳以上24歳未満,8827,4481,5,103,2000,764,1444,3,27,0,0,0,0,0,0,0,0,0,0,0,0
男,24歳以上28歳未満,18623,10071,23,431,4045,1451,2499,32,27,1,0,24,0,6,3,5,0,0,5,0,0
男,28歳以上32歳未満,15969,8932,22,474,3011,1363,1995,17,24,6,2,36,4,8,16,7,0,0,37,0,15
男,32歳以上36歳未満,14790,7438,25,482,3068,1788,1660,19,40,8,4,93,27,28,17,15,0,0,56,4,18
男,36歳以上40歳未満,15891,7355,47,553,3548,2338,1677,23,33,11,1,101,34,28,41,16,0,0,65,9,11
男,40歳以上44歳未満,16734,8782,82,587,3042,2558,1335,15,40,13,4,114,21,23,39,14,0,0,52,12,1
男,44歳以上48歳未満,19345,11396,152,619,2762,2519,1421,16,36,13,10,159,25,36,90,28,1,0,46,15,1
男,48歳以上52歳未満,26219,16107,222,684,3974,2532,2198,24,43,11,3,169,29,49,89,28,10,4,38,4,1
男,52歳以上56歳未満,26851,15186,345,845,5493,1826,2313,26,37,11,13,224,63,37,50,13,42,302,25,0,0
男,56歳以上60歳未満,25709,13669,385,813,5390,2058,2343,26,38,15,8,146,77,47,38,10,84,534,28,0,0
男,60歳以上,1399,695,27,96,254,1,41,2,0,0,0,7,160,1,0,0,1,77,36,1,0
女,計,59500,34757,492,2068,13154,2606,3966,1,9,9,22,275,142,234,1436,104,16,50,88,33,38
女,20歳未満,373,217,2,0,106,33,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
女,20歳以上24歳未満,5079,2984,9,77,1374,245,380,0,5,0,0,0,0,0,2,3,0,0,0,0,0
女,24歳以上28歳未満,10055,6253,4,340,2248,357,828,1,0,1,0,7,0,6,6,3,0,0,0,0,1
女,28歳以上32歳未満,6650,4153,8,312,1254,290,541,0,1,0,0,12,2,5,45,11,0,0,7,0,9
女,32歳以上36歳未満,4559,2432,9,224,1110,283,370,0,0,1,2,16,5,11,71,4,0,0,13,1,7
女,36歳以上40歳未満,4794,2428,15,189,1285,315,373,0,2,0,1,34,8,29,80,10,0,0,14,5,6
女,40歳以上44歳未満,5280,2961,25,256,1136,297,334,0,1,1,0,30,12,31,151,13,0,0,17,5,10
女,44歳以上48歳未満,5580,3395,38,229,976,262,276,0,0,2,3,43,21,35,250,20,2,0,11,13,4
女,48歳以上52歳未満,7303,4449,79,210,1450,270,394,0,0,0,5,50,19,39,295,20,3,0,13,7,0
女,52歳以上56歳未満,6066,3419,129,151,1485,168,287,0,0,3,4,48,22,45,258,12,7,21,5,2,0
女,56歳以上60歳未満,3624,2008,170,79,701,85,167,0,0,1,7,33,22,33,278,8,4,25,2,0,1
女,60歳以上,137,58,4,1,29,1,1,0,0,0,0,2,31,0,0,0,0,4,6,0,0
