職員数、平均年齢、平均経験年数及び平均給与月額,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,職員数,平均年齢,平均経験年数,平均給与月額,平均給与月額のうち俸給,平均給与月額のうち地域手当等,平均給与月額のうち俸給の特別調整額,平均給与月額のうち扶養手当,平均給与月額のうち住居手当,平均給与月額のうちその他
俸給表,人,歳,年,円,円,円,円,円,円,円
全俸給表,250434,42,20,414801,336041,43679,11871,8736,6988,7486
行政職俸給表(一),139298,42.1,20,405378,323823,44134,12627,8189,7628,8977
行政職俸給表(二),1829,51.2,29.3,330553,288144,27019,***,8579,5346,1465
専門行政職俸給表 ,7755,42.7,20.3,450499,354332,54345,12157,9056,10209,10400
税務職俸給表 ,49806,41.4,19.9,429500,353051,46463,13298,8062,6384,2242
公安職俸給表(一),21838,41.8,20.4,388322,328209,32294,6179,12919,3338,5383
公安職俸給表(二),22934,40,18.5,413124,342677,35870,9536,9759,7471,7811
海事職俸給表(一),204,41.9,20.4,457470,365479,50153,16132,12647,4671,8388
海事職俸給表(二),359,40.9,21.9,376531,312492,39676,***,11909,6040,6414
教育職俸給表(一),98,45.7,20.9,475312,420072,25991,4183,16214,4871,3981
教育職俸給表(二),67,49.3,25.5,460304,396001,36720,4816,11321,7966,3480
研究職俸給表,1348,46.8,23,564510,408682,74309,55769,10701,9792,5257
医療職俸給表(一),582,53.9,27.2,845153,515073,92350,36532,10781,6188,184229
医療職俸給表(二),497,46.9,21.3,362560,318618,24350,1138,8332,6153,3969
医療職俸給表(三),1819,48.1,22.7,365921,325124,22359,870,8756,5863,2949
福祉職俸給表,240,44.1,20.1,386299,337496,26885,4611,9933,5283,2091
専門スタッフ職俸給表,154,56.2,33,609589,497423,98852,***,8146,3042,2126
指定職俸給表,967,57,33.6,1033216,861746,166229,***,***,***,5241
特定任期付職員俸給表,476,44.1,***,642691,538727,102629,***,***,***,1335
第一号任期付研究員俸給表,78,44.1,***,476310,407295,68631,***,***,***,384
第二号任期付研究員俸給表,85,35.7,***,399592,339612,59980,***,***,***,0
,,,,,,,,,,
（注）１全俸給表の平均経験年数には、特定任期付職員及び任期付研究員は含まれていない。,,,,,,,,,,
（注）２俸給には、俸給の調整額を含む。,,,,,,,,,,
（注）３地域手当等には、異動保障による地域手当及び広域異動手当を含む。,,,,,,,,,,
（注）４その他は、本府省業務調整手当、単身赴任手当(基礎額)、寒冷地手当、特地勤務手当等である。,,,,,,,,,,
（注）５定年が段階的に引き上げられることに伴い、給与法附則第８項により俸給月額が決定される職員を除いた数値である。,,,,,,,,,,
