source_id,publisher,title,source_url,raw_file,sha256,bytes,source_status,domain,rights_status,terms_url,terms_checked_date,public_release_action,acquisition_instruction,archive_reliance,attribution_requirement,third_party_caveat,note
BOJ-OUTLOOK-2019-07-CONSUMPTION-TAX,Bank of Japan,"Outlook for Economic Activity and Prices, July 2019 - consumption-tax assumptions and demand channels",https://www.boj.or.jp/en/mopo/outlook/gor1907a.htm,data/raw/vat_incidence/boj_outlook_2019_07.html,5aceffc5a8d4c459a2cd2952aeb017bb71c6bd7a3b01b6e2a0d533b1e2488b32,66610,RAW_OFFICIAL_ANALYTICAL_METADATA,www.boj.or.jp,CONDITIONAL_REUSE_TERMS,https://www.boj.or.jp/about/copyright.htm,2026-09-13,EXCLUDE_RAW_ACQUIRE_EXTERNALLY,"Retrieve from https://www.boj.or.jp/en/mopo/outlook/gor1907a.htm and verify SHA-256 5aceffc5a8d4c459a2cd2952aeb017bb71c6bd7a3b01b6e2a0d533b1e2488b32; if bytes differ, treat the upstream source as changed and do not silently substitute.",NONE_DECLARED_IN_SOURCE_CATALOG,CITE_PUBLISHER_TITLE_AND_SOURCE_URL,SOURCE_OR_EMBEDDED_THIRD_PARTY_RIGHTS_MAY_OVERRIDE_SITE_TERMS,BOJ permits reproduction with attribution except specified cases including commercial use and some images; public bundle therefore acquires externally.
CAO-2014-CONSUMPTION-TAX-DEMAND,Cabinet Office,Japanese Economy 2014 Chapter 1 Section 1 - consumption-tax front-loading and rebound,https://www5.cao.go.jp/keizai3/2014/0113nk/nk14/n14_1_1.html,data/raw/vat_incidence/cao_2014_consumption_tax_demand.html,4707c274068e22b7d351ed968e92f1c9cbdfb29a4a28f22ff93a40b468b19a22,34011,RAW_OFFICIAL_ANALYSIS,www5.cao.go.jp,ORGANIZATION_TERMS_SCOPE_NOT_VERIFIED_FOR_SUBDOMAIN,https://www.cao.go.jp/notice/rule.html,2026-09-13,EXCLUDE_RAW_ACQUIRE_EXTERNALLY,"Retrieve from https://www5.cao.go.jp/keizai3/2014/0113nk/nk14/n14_1_1.html and verify SHA-256 4707c274068e22b7d351ed968e92f1c9cbdfb29a4a28f22ff93a40b468b19a22; if bytes differ, treat the upstream source as changed and do not silently substitute.",NONE_DECLARED_IN_SOURCE_CATALOG,CITE_PUBLISHER_TITLE_AND_SOURCE_URL,SOURCE_OR_EMBEDDED_THIRD_PARTY_RIGHTS_MAY_OVERRIDE_SITE_TERMS,"Cabinet Office PDL1.0 terms exist, but this audit does not assume subdomain/source-specific scope without separate confirmation."
EMICRO-2026-ONSITE-BSBSA-QUERY,Statistics Bureau of Japan / e-Stat Microdata Portal,"Available-data positive-control query: Basic Survey of Japanese Business Structure and Activities, onsite access",https://www.e-stat.go.jp/microdata/available-data/onsite?keywords=%E4%BC%81%E6%A5%AD%E6%B4%BB%E5%8B%95%E5%9F%BA%E6%9C%AC%E8%AA%BF%E6%9F%BB,data/raw/vat_linkage/emicro_2026_onsite_bsbsa_query.html,1cb148469944041109278d8bffaba22449cd339a08caef3d11c47dc6eb890f49,57287,RAW_OFFICIAL_ACCESS_QUERY,www.e-stat.go.jp,SITE_TERMS_ALLOW_REUSE_WITH_ATTRIBUTION,https://www.e-stat.go.jp/terms-of-use,2026-09-13,EXCLUDE_RAW_ACQUIRE_EXTERNALLY,"Retrieve from https://www.e-stat.go.jp/microdata/available-data/onsite?keywords=%E4%BC%81%E6%A5%AD%E6%B4%BB%E5%8B%95%E5%9F%BA%E6%9C%AC%E8%AA%BF%E6%9F%BB and verify SHA-256 1cb148469944041109278d8bffaba22449cd339a08caef3d11c47dc6eb890f49; if bytes differ, treat the upstream source as changed and do not silently substitute.",NONE_DECLARED_IN_SOURCE_CATALOG,CITE_PUBLISHER_TITLE_AND_SOURCE_URL,SOURCE_OR_EMBEDDED_THIRD_PARTY_RIGHTS_MAY_OVERRIDE_SITE_TERMS,"e-Stat terms permit reuse including commercial reuse with attribution, subject to third-party rights and listed exceptions."
EMICRO-2026-ONSITE-NSFCW-QUERY,Statistics Bureau of Japan / e-Stat Microdata Portal,"Available-data query: National Survey of Family Income, Consumption and Wealth, onsite access",https://www.e-stat.go.jp/microdata/available-data/onsite?keywords=%E5%85%A8%E5%9B%BD%E5%AE%B6%E8%A8%88%E6%A7%8B%E9%80%A0%E8%AA%BF%E6%9F%BB,data/raw/objective_rank/emicro_2026_onsite_nsfcw_query.html,2da565d7548a876f803a87aa4190c98e7b709c987c41d74208d9bd2ff9a9cbe7,55279,RAW_OFFICIAL_ACCESS_QUERY,www.e-stat.go.jp,SITE_TERMS_ALLOW_REUSE_WITH_ATTRIBUTION,https://www.e-stat.go.jp/terms-of-use,2026-09-13,EXCLUDE_RAW_ACQUIRE_EXTERNALLY,"Retrieve from https://www.e-stat.go.jp/microdata/available-data/onsite?keywords=%E5%85%A8%E5%9B%BD%E5%AE%B6%E8%A8%88%E6%A7%8B%E9%80%A0%E8%AA%BF%E6%9F%BB and verify SHA-256 2da565d7548a876f803a87aa4190c98e7b709c987c41d74208d9bd2ff9a9cbe7; if bytes differ, treat the upstream source as changed and do not silently substitute.",NONE_DECLARED_IN_SOURCE_CATALOG,CITE_PUBLISHER_TITLE_AND_SOURCE_URL,SOURCE_OR_EMBEDDED_THIRD_PARTY_RIGHTS_MAY_OVERRIDE_SITE_TERMS,"e-Stat terms permit reuse including commercial reuse with attribution, subject to third-party rights and listed exceptions."
EMICRO-2026-ONSITE-SME-TAX-SURVEY-QUERY,Statistics Bureau of Japan / e-Stat Microdata Portal,"Available-data query: historic SME tax survey, onsite access",https://www.e-stat.go.jp/microdata/available-data/onsite?keywords=%E4%B8%AD%E5%B0%8F%E4%BC%81%E6%A5%AD%E7%A8%8E%E5%88%B6%E3%81%AB%E9%96%A2%E3%81%99%E3%82%8B%E3%82%A2%E3%83%B3%E3%82%B1%E3%83%BC%E3%83%88%E8%AA%BF%E6%9F%BB,data/raw/vat_linkage/emicro_2026_onsite_sme_tax_survey_query.html,8d360cffd7ed58c1a39af8f4c388ccc50a46778483bcb745a7355cd513844539,43600,RAW_OFFICIAL_ACCESS_QUERY,www.e-stat.go.jp,SITE_TERMS_ALLOW_REUSE_WITH_ATTRIBUTION,https://www.e-stat.go.jp/terms-of-use,2026-09-13,EXCLUDE_RAW_ACQUIRE_EXTERNALLY,"Retrieve from https://www.e-stat.go.jp/microdata/available-data/onsite?keywords=%E4%B8%AD%E5%B0%8F%E4%BC%81%E6%A5%AD%E7%A8%8E%E5%88%B6%E3%81%AB%E9%96%A2%E3%81%99%E3%82%8B%E3%82%A2%E3%83%B3%E3%82%B1%E3%83%BC%E3%83%88%E8%AA%BF%E6%9F%BB and verify SHA-256 8d360cffd7ed58c1a39af8f4c388ccc50a46778483bcb745a7355cd513844539; if bytes differ, treat the upstream source as changed and do not silently substitute.",NONE_DECLARED_IN_SOURCE_CATALOG,CITE_PUBLISHER_TITLE_AND_SOURCE_URL,SOURCE_OR_EMBEDDED_THIRD_PARTY_RIGHTS_MAY_OVERRIDE_SITE_TERMS,"e-Stat terms permit reuse including commercial reuse with attribution, subject to third-party rights and listed exceptions."
EMICRO-2026-REMOTE-BSBSA-QUERY,Statistics Bureau of Japan / e-Stat Microdata Portal,"Available-data positive-control query: Basic Survey of Japanese Business Structure and Activities, media/remote access",https://www.e-stat.go.jp/microdata/available-data/extracted-data?keywords=%E4%BC%81%E6%A5%AD%E6%B4%BB%E5%8B%95%E5%9F%BA%E6%9C%AC%E8%AA%BF%E6%9F%BB,data/raw/vat_linkage/emicro_2026_remote_bsbsa_query.html,b0ed0e7e3bcec11ff43a4f284089f9ac60e7410af1af813ca5aa470dfa9688ef,57197,RAW_OFFICIAL_ACCESS_QUERY,www.e-stat.go.jp,SITE_TERMS_ALLOW_REUSE_WITH_ATTRIBUTION,https://www.e-stat.go.jp/terms-of-use,2026-09-13,EXCLUDE_RAW_ACQUIRE_EXTERNALLY,"Retrieve from https://www.e-stat.go.jp/microdata/available-data/extracted-data?keywords=%E4%BC%81%E6%A5%AD%E6%B4%BB%E5%8B%95%E5%9F%BA%E6%9C%AC%E8%AA%BF%E6%9F%BB and verify SHA-256 b0ed0e7e3bcec11ff43a4f284089f9ac60e7410af1af813ca5aa470dfa9688ef; if bytes differ, treat the upstream source as changed and do not silently substitute.",NONE_DECLARED_IN_SOURCE_CATALOG,CITE_PUBLISHER_TITLE_AND_SOURCE_URL,SOURCE_OR_EMBEDDED_THIRD_PARTY_RIGHTS_MAY_OVERRIDE_SITE_TERMS,"e-Stat terms permit reuse including commercial reuse with attribution, subject to third-party rights and listed exceptions."
EMICRO-2026-REMOTE-SME-TAX-SURVEY-QUERY,Statistics Bureau of Japan / e-Stat Microdata Portal,"Available-data query: historic SME tax survey, media/remote access",https://www.e-stat.go.jp/microdata/available-data/extracted-data?keywords=%E4%B8%AD%E5%B0%8F%E4%BC%81%E6%A5%AD%E7%A8%8E%E5%88%B6%E3%81%AB%E9%96%A2%E3%81%99%E3%82%8B%E3%82%A2%E3%83%B3%E3%82%B1%E3%83%BC%E3%83%88%E8%AA%BF%E6%9F%BB,data/raw/vat_linkage/emicro_2026_remote_sme_tax_survey_query.html,2eeed4cc0709d9b625a99afc4ab7642fc0305dab7bc28a50dc1b57466dc585b9,43690,RAW_OFFICIAL_ACCESS_QUERY,www.e-stat.go.jp,SITE_TERMS_ALLOW_REUSE_WITH_ATTRIBUTION,https://www.e-stat.go.jp/terms-of-use,2026-09-13,EXCLUDE_RAW_ACQUIRE_EXTERNALLY,"Retrieve from https://www.e-stat.go.jp/microdata/available-data/extracted-data?keywords=%E4%B8%AD%E5%B0%8F%E4%BC%81%E6%A5%AD%E7%A8%8E%E5%88%B6%E3%81%AB%E9%96%A2%E3%81%99%E3%82%8B%E3%82%A2%E3%83%B3%E3%82%B1%E3%83%BC%E3%83%88%E8%AA%BF%E6%9F%BB and verify SHA-256 2eeed4cc0709d9b625a99afc4ab7642fc0305dab7bc28a50dc1b57466dc585b9; if bytes differ, treat the upstream source as changed and do not silently substitute.",NONE_DECLARED_IN_SOURCE_CATALOG,CITE_PUBLISHER_TITLE_AND_SOURCE_URL,SOURCE_OR_EMBEDDED_THIRD_PARTY_RIGHTS_MAY_OVERRIDE_SITE_TERMS,"e-Stat terms permit reuse including commercial reuse with attribution, subject to third-party rights and listed exceptions."
EMICRO-NSFCW-2024-DS51-META,Statistics Bureau of Japan / e-Stat Microdata Portal,2024 NSFCW onsite secondary metadata: income/assets aggregation system,https://www.e-stat.go.jp/microdata/available-data/onsite?keywords=%E5%85%A8%E5%9B%BD%E5%AE%B6%E8%A8%88%E6%A7%8B%E9%80%A0%E8%AA%BF%E6%9F%BB,data/raw/objective_rank/nsfcw_2024_onsite_ds51_meta.xlsx,e8a25d4c5e684d74ceb6d31aa6833dbf6f8d80d637c181a84a6bff3bd399e80c,274233,RAW_OFFICIAL_SECURE_MICRODATA_METADATA,www.e-stat.go.jp,SITE_TERMS_ALLOW_REUSE_WITH_ATTRIBUTION,https://www.e-stat.go.jp/terms-of-use,2026-09-13,EXCLUDE_RAW_ACQUIRE_EXTERNALLY,"Retrieve from https://www.e-stat.go.jp/microdata/available-data/onsite?keywords=%E5%85%A8%E5%9B%BD%E5%AE%B6%E8%A8%88%E6%A7%8B%E9%80%A0%E8%AA%BF%E6%9F%BB and verify SHA-256 e8a25d4c5e684d74ceb6d31aa6833dbf6f8d80d637c181a84a6bff3bd399e80c; if bytes differ, treat the upstream source as changed and do not silently substitute.",NONE_DECLARED_IN_SOURCE_CATALOG,CITE_PUBLISHER_TITLE_AND_SOURCE_URL,SOURCE_OR_EMBEDDED_THIRD_PARTY_RIGHTS_MAY_OVERRIDE_SITE_TERMS,"e-Stat terms permit reuse including commercial reuse with attribution, subject to third-party rights and listed exceptions."
EMICRO-NSFCW-2024-DS52-META,Statistics Bureau of Japan / e-Stat Microdata Portal,2024 NSFCW onsite secondary metadata: detailed two-month-average household accounts,https://www.e-stat.go.jp/microdata/available-data/onsite?keywords=%E5%85%A8%E5%9B%BD%E5%AE%B6%E8%A8%88%E6%A7%8B%E9%80%A0%E8%AA%BF%E6%9F%BB,data/raw/objective_rank/nsfcw_2024_onsite_ds52_meta.xlsx,c4dbcd548fa799f291d6319355ac63ee3d643f1511a1cca85dd280bac67d85b0,266374,RAW_OFFICIAL_SECURE_MICRODATA_METADATA,www.e-stat.go.jp,SITE_TERMS_ALLOW_REUSE_WITH_ATTRIBUTION,https://www.e-stat.go.jp/terms-of-use,2026-09-13,EXCLUDE_RAW_ACQUIRE_EXTERNALLY,"Retrieve from https://www.e-stat.go.jp/microdata/available-data/onsite?keywords=%E5%85%A8%E5%9B%BD%E5%AE%B6%E8%A8%88%E6%A7%8B%E9%80%A0%E8%AA%BF%E6%9F%BB and verify SHA-256 c4dbcd548fa799f291d6319355ac63ee3d643f1511a1cca85dd280bac67d85b0; if bytes differ, treat the upstream source as changed and do not silently substitute.",NONE_DECLARED_IN_SOURCE_CATALOG,CITE_PUBLISHER_TITLE_AND_SOURCE_URL,SOURCE_OR_EMBEDDED_THIRD_PARTY_RIGHTS_MAY_OVERRIDE_SITE_TERMS,"e-Stat terms permit reuse including commercial reuse with attribution, subject to third-party rights and listed exceptions."
EMICRO-ONSITE-USE-GUIDANCE,Statistics Bureau of Japan / e-Stat Microdata Portal,Questionnaire-information onsite-use guidance,https://www.e-stat.go.jp/microdata/data-use/on-site,data/raw/objective_rank/emicro_onsite_use_guidance.html,f78084c5b9b8d03337692235a387d784046c8d5c57eb9a16fd68153f13f97b24,46246,RAW_OFFICIAL_ACCESS_METADATA,www.e-stat.go.jp,SITE_TERMS_ALLOW_REUSE_WITH_ATTRIBUTION,https://www.e-stat.go.jp/terms-of-use,2026-09-13,EXCLUDE_RAW_ACQUIRE_EXTERNALLY,"Retrieve from https://www.e-stat.go.jp/microdata/data-use/on-site and verify SHA-256 f78084c5b9b8d03337692235a387d784046c8d5c57eb9a16fd68153f13f97b24; if bytes differ, treat the upstream source as changed and do not silently substitute.",NONE_DECLARED_IN_SOURCE_CATALOG,CITE_PUBLISHER_TITLE_AND_SOURCE_URL,SOURCE_OR_EMBEDDED_THIRD_PARTY_RIGHTS_MAY_OVERRIDE_SITE_TERMS,"e-Stat terms permit reuse including commercial reuse with attribution, subject to third-party rights and listed exceptions."
