domain,rights_status,terms_url,terms_checked_date,attribution_requirement,third_party_caveat,rule_note
hit-u.repo.nii.ac.jp,NO_VERIFIED_REDISTRIBUTION_LICENSE,https://www.hit-u.ac.jp/academic/oap/,2026-09-13,CITE_PUBLISHER_TITLE_AND_SOURCE_URL,SOURCE_OR_EMBEDDED_THIRD_PARTY_RIGHTS_MAY_OVERRIDE_SITE_TERMS,Repository access does not itself grant third-party redistribution rights; copyright may remain with authors or publishers.
ideas.repec.org,NO_VERIFIED_REDISTRIBUTION_LICENSE,,2026-09-13,CITE_PUBLISHER_TITLE_AND_SOURCE_URL,SOURCE_OR_EMBEDDED_THIRD_PARTY_RIGHTS_MAY_OVERRIDE_SITE_TERMS,Public metadata/download availability is not treated as redistribution permission.
toukei.pref.ishikawa.lg.jp,NO_VERIFIED_REDISTRIBUTION_LICENSE,,2026-09-13,CITE_PUBLISHER_TITLE_AND_SOURCE_URL,SOURCE_OR_EMBEDDED_THIRD_PARTY_RIGHTS_MAY_OVERRIDE_SITE_TERMS,No source-specific redistribution license was verified for this captured source.
www.boj.or.jp,CONDITIONAL_REUSE_TERMS,https://www.boj.or.jp/about/copyright.htm,2026-09-13,CITE_PUBLISHER_TITLE_AND_SOURCE_URL,SOURCE_OR_EMBEDDED_THIRD_PARTY_RIGHTS_MAY_OVERRIDE_SITE_TERMS,BOJ permits reproduction with attribution except specified cases including commercial use and some images; public bundle therefore acquires externally.
www.chusho.meti.go.jp,SITE_TERMS_ALLOW_REUSE_WITH_ATTRIBUTION,https://www.chusho.meti.go.jp/riyou_kiyaku.html,2026-09-13,CITE_PUBLISHER_TITLE_AND_SOURCE_URL,SOURCE_OR_EMBEDDED_THIRD_PARTY_RIGHTS_MAY_OVERRIDE_SITE_TERMS,"PDL1.0-style reuse terms apply subject to attribution, third-party rights, and content-specific exceptions."
www.e-stat.go.jp,SITE_TERMS_ALLOW_REUSE_WITH_ATTRIBUTION,https://www.e-stat.go.jp/terms-of-use,2026-09-13,CITE_PUBLISHER_TITLE_AND_SOURCE_URL,SOURCE_OR_EMBEDDED_THIRD_PARTY_RIGHTS_MAY_OVERRIDE_SITE_TERMS,"e-Stat terms permit reuse including commercial reuse with attribution, subject to third-party rights and listed exceptions."
www.economics.ox.ac.uk,NO_VERIFIED_REDISTRIBUTION_LICENSE,,2026-09-13,CITE_PUBLISHER_TITLE_AND_SOURCE_URL,SOURCE_OR_EMBEDDED_THIRD_PARTY_RIGHTS_MAY_OVERRIDE_SITE_TERMS,Open web access is not treated as permission to redistribute the captured page.
www.esri.cao.go.jp,ORGANIZATION_TERMS_SCOPE_NOT_VERIFIED_FOR_SUBDOMAIN,https://www.cao.go.jp/notice/rule.html,2026-09-13,CITE_PUBLISHER_TITLE_AND_SOURCE_URL,SOURCE_OR_EMBEDDED_THIRD_PARTY_RIGHTS_MAY_OVERRIDE_SITE_TERMS,"Cabinet Office PDL1.0 terms exist, but this audit does not assume subdomain/source-specific scope without separate confirmation."
www.jcci.or.jp,NO_VERIFIED_MAIN_SITE_REDISTRIBUTION_LICENSE,https://eco.jcci.or.jp/policy,2026-09-13,CITE_PUBLISHER_TITLE_AND_SOURCE_URL,SOURCE_OR_EMBEDDED_THIRD_PARTY_RIGHTS_MAY_OVERRIDE_SITE_TERMS,A JCCI-operated site states no unauthorized reproduction; no affirmative redistribution license for the captured www.jcci.or.jp sources was verified.
www.jinji.go.jp,SITE_TERMS_ALLOW_REUSE_WITH_ATTRIBUTION,https://www.jinji.go.jp/shinsei/notice.html,2026-09-13,CITE_PUBLISHER_TITLE_AND_SOURCE_URL,SOURCE_OR_EMBEDDED_THIRD_PARTY_RIGHTS_MAY_OVERRIDE_SITE_TERMS,"PDL1.0-style reuse terms apply subject to attribution, third-party rights, and content-specific exceptions."
www.jstage.jst.go.jp,RIGHTSHOLDER_PERMISSION_REQUIRED_UNLESS_ITEM_LICENSE,https://www.jstage.jst.go.jp/static/pages/TermsAndPolicies/ForIndividuals/-char/ja,2026-09-13,CITE_PUBLISHER_TITLE_AND_SOURCE_URL,SOURCE_OR_EMBEDDED_THIRD_PARTY_RIGHTS_MAY_OVERRIDE_SITE_TERMS,J-STAGE states article rights generally belong to publishers/authors; redistribution requires rightsholder permission unless an item-specific license permits it.
www.keisan.nta.go.jp,SITE_TERMS_ALLOW_REUSE_WITH_ATTRIBUTION,https://www.nta.go.jp/chuijiko/copy.htm,2026-09-13,CITE_PUBLISHER_TITLE_AND_SOURCE_URL,SOURCE_OR_EMBEDDED_THIRD_PARTY_RIGHTS_MAY_OVERRIDE_SITE_TERMS,"NTA terms explicitly apply to the tax-return preparation subdomain; PDL1.0 reuse terms apply subject to attribution, third-party rights, and content-specific exceptions."
www.meti.go.jp,SITE_TERMS_ALLOW_REUSE_WITH_ATTRIBUTION,https://www.meti.go.jp/main/rules.html,2026-09-13,CITE_PUBLISHER_TITLE_AND_SOURCE_URL,SOURCE_OR_EMBEDDED_THIRD_PARTY_RIGHTS_MAY_OVERRIDE_SITE_TERMS,"PDL1.0-style reuse terms apply subject to attribution, third-party rights, and content-specific exceptions."
www.mhlw.go.jp,SITE_TERMS_ALLOW_REUSE_WITH_ATTRIBUTION,https://www.mhlw.go.jp/chosakuken/,2026-09-13,CITE_PUBLISHER_TITLE_AND_SOURCE_URL,SOURCE_OR_EMBEDDED_THIRD_PARTY_RIGHTS_MAY_OVERRIDE_SITE_TERMS,"PDL1.0-style reuse terms apply subject to attribution, third-party rights, and content-specific exceptions."
www.mof.go.jp,SITE_TERMS_ALLOW_REUSE_WITH_ATTRIBUTION,https://www.mof.go.jp/about_mof/notice/index.html,2026-09-13,CITE_PUBLISHER_TITLE_AND_SOURCE_URL,SOURCE_OR_EMBEDDED_THIRD_PARTY_RIGHTS_MAY_OVERRIDE_SITE_TERMS,"PDL1.0-style reuse terms apply subject to attribution, third-party rights, and content-specific exceptions."
www.nstac.go.jp,SITE_TERMS_ALLOW_REUSE_WITH_ATTRIBUTION,https://www.nstac.go.jp/info/site-policy/,2026-09-13,CITE_PUBLISHER_TITLE_AND_SOURCE_URL,SOURCE_OR_EMBEDDED_THIRD_PARTY_RIGHTS_MAY_OVERRIDE_SITE_TERMS,"Statistics Center terms allow reuse with attribution, subject to third-party rights and listed exceptions."
www.nta.go.jp,SITE_TERMS_ALLOW_REUSE_WITH_ATTRIBUTION,https://www.nta.go.jp/chuijiko/copy.htm,2026-09-13,CITE_PUBLISHER_TITLE_AND_SOURCE_URL,SOURCE_OR_EMBEDDED_THIRD_PARTY_RIGHTS_MAY_OVERRIDE_SITE_TERMS,"PDL1.0-style reuse terms apply subject to attribution, third-party rights, and content-specific exceptions."
www.rieti.go.jp,SITE_TERMS_RESTRICT_REUSE,https://www.rieti.go.jp/jp/site_policy.html,2026-09-13,CITE_PUBLISHER_TITLE_AND_SOURCE_URL,SOURCE_OR_EMBEDDED_THIRD_PARTY_RIGHTS_MAY_OVERRIDE_SITE_TERMS,RIETI site policy limits reproduction to personal/non-public use absent permission; public redistribution is not authorized by the site policy.
www.smrj.go.jp,SITE_TERMS_REQUIRE_PERMISSION,https://www.smrj.go.jp/rule/index.html,2026-09-13,CITE_PUBLISHER_TITLE_AND_SOURCE_URL,SOURCE_OR_EMBEDDED_THIRD_PARTY_RIGHTS_MAY_OVERRIDE_SITE_TERMS,"SMRJ terms prohibit reproduction, publication, distribution, reprinting, or reuse without prior consent."
www.stat.go.jp,SITE_TERMS_ALLOW_REUSE_WITH_ATTRIBUTION,https://www.stat.go.jp/info/riyou.html,2026-09-13,CITE_PUBLISHER_TITLE_AND_SOURCE_URL,SOURCE_OR_EMBEDDED_THIRD_PARTY_RIGHTS_MAY_OVERRIDE_SITE_TERMS,"PDL1.0-style reuse terms allow reproduction/public transmission with attribution, subject to third-party rights and exceptions."
www5.cao.go.jp,ORGANIZATION_TERMS_SCOPE_NOT_VERIFIED_FOR_SUBDOMAIN,https://www.cao.go.jp/notice/rule.html,2026-09-13,CITE_PUBLISHER_TITLE_AND_SOURCE_URL,SOURCE_OR_EMBEDDED_THIRD_PARTY_RIGHTS_MAY_OVERRIDE_SITE_TERMS,"Cabinet Office PDL1.0 terms exist, but this audit does not assume subdomain/source-specific scope without separate confirmation."
