source_id,publisher,title,source_url,raw_file,media_type,locator,sha256,bytes,status
ESTAT-7153-1-2024,Statistics Bureau of Japan,2024 NSFCW table 7-153-1: equivalized annual income by decile and income component,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040490416&fileKind=0,data/raw/estat/000040490416.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,e-Stat statInfId=000040490416; table 7-153-1,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c,20894,RAW_OFFICIAL
ESTAT-7156-1-2024,Statistics Bureau of Japan,2024 NSFCW table 7-156-1: household type x equivalized-income class/decile x income component,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040490419&fileKind=0,data/raw/estat/000040490419.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,e-Stat statInfId=000040490419; table 7-156-1,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f,15064501,RAW_OFFICIAL
ESTAT-7155-1-2024,Statistics Bureau of Japan,2024 NSFCW table 7-155-1: sex x age class x equivalized-income class/decile x income component,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040490418&fileKind=0,data/raw/estat/000040490418.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,e-Stat statInfId=000040490418; table 7-155-1; F71551,f38e97b7e619a43ca89140039dab7332100976de6772ef26f9d8b06e3c799892,25677254,RAW_OFFICIAL
ESTAT-7191-1-2024,Statistics Bureau of Japan,"2024 NSFCW table 7-191-1: household members by sex, age, household size, head employment, income and asset classes",https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040490431&fileKind=0,data/raw/estat/000040490431.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,e-Stat statInfId=000040490431; table 7-191-1; F71911,3e58114ef07d0cc1b60c8acf9137ba9d33c48c1437f5f593a7f1c00a5fba7008,41019201,RAW_OFFICIAL
STAT-F71561-DESIGN,Statistics Bureau of Japan,"2024 National Survey of Family Income, Consumption and Wealth sample design",https://www.stat.go.jp/data/zenkokukakei/2024/pdf/hyohon2024.pdf,data/raw/statistics_bureau/2024_nsfcw_sample_design.pdf,application/pdf,Section II; Table 4; 2020 Census results rearranged to municipalities as of 2024-01-01,6de948257288726bb7513eb65c2cddbda2b377e1714678fa9943352b1bef3cea,989475,RAW_OFFICIAL
STAT-CENSUS-2020-SUMMARY,Statistics Bureau of Japan,Population and Households of Japan 2020 - overview,https://www.stat.go.jp/english/data/kokusei/2020/summary/pdf/all.pdf,data/raw/statistics_bureau/2020_population_census_summary_en.pdf,application/pdf,"Summary p.2 / PDF p.5; total population 126,146,099",e34dd8b82b8defca12dbefeb964c95652b828d978f9e2448c35ad1f2901d1300,4778033,RAW_OFFICIAL
STAT-CENSUS-2020-BASIC,Statistics Bureau of Japan,2020 Population Census basic complete tabulation - results overview,https://www.stat.go.jp/data/kokusei/2020/kekka/pdf/outline_01.pdf,data/raw/statistics_bureau/2020_population_census_basic_complete_summary.pdf,application/pdf,General-household persons and one-person general households; cross-check against Census Report Table 7-2,2c25f23b122098627aea69283eb6f174398aef14999336f5c84c9221593e53c1,8021961,RAW_OFFICIAL
STAT-MIGRATION-2024,Statistics Bureau of Japan,Report on Internal Migration in Japan 2024 - summary,https://www.stat.go.jp/data/idou/2024np/jissu/pdf/gaiyou.pdf,data/raw/statistics_bureau/2024_basic_resident_register_migration_summary.pdf,application/pdf,"Table 1; gross international inflow, 2020-2024",762eae1edcef3d6d880be6cd76836910ff68cd7736dec3a568e0089ce0abcbce,889706,RAW_OFFICIAL
ISHIKAWA-CENSUS-2020,Ishikawa Prefecture,2020 Population Census basic tabulation summary - Ishikawa,https://toukei.pref.ishikawa.lg.jp/dl/4461/R2census_jinkou.pdf,data/raw/ishikawa/2020_population_census_summary.pdf,application/pdf,"Municipal population and general-household-person tables for Wajima, Suzu, Anamizu and Noto",77eca2aa7ab9ba0b06f81613a7799e200fb19f0f3bb973efe290d07ea252ecaa,1847199,RAW_OFFICIAL
NTA-R06,National Tax Agency,FY2024 National Tax Agency Annual Statistics Report,https://www.nta.go.jp/publication/statistics/kokuzeicho/r06/R06.pdf,data/raw/nta/nta_fy2024_annual_statistics.pdf,application/pdf,PDF pp.71-72 / printed pp.61-62; Table 2-2(1) exact persons by primary income-earner category; PDF p.55 / printed p.46 Table 2-1(1) final-return row,18e26ad7d255a41d82d171d42478c76a36bae5cb8345c65fef717318db5bf529,10479407,RAW_OFFICIAL
