spec_version,income_class_index,income_class_label,table22_population_persons,positive_self_assessed_balance_persons,population_mass,positive_self_assessed_balance_mass,within_class_positive_self_assessed_balance_rate,source_artifact,scientific_status
rank_bridge_lp_v2,1,70万円以下,4301396,16171,0.184117888978,0.000692186997585,0.00375947715579,data/derived/nta_income_class_primary_type_filing_status_2024.csv,MODEL_CONTINGENT_RANK_BRIDGE_RELAXATION
rank_bridge_lp_v2,2,100万円,1255432,13549,0.0537377841044,0.000579954339885,0.0107923009769,data/derived/nta_income_class_primary_type_filing_status_2024.csv,MODEL_CONTINGENT_RANK_BRIDGE_RELAXATION
rank_bridge_lp_v2,3,150万円,2517909,128633,0.10777712392,0.00550603488099,0.0510872315084,data/derived/nta_income_class_primary_type_filing_status_2024.csv,MODEL_CONTINGENT_RANK_BRIDGE_RELAXATION
rank_bridge_lp_v2,4,200万円,2454983,380979,0.105083625743,0.016307507894,0.155186003325,data/derived/nta_income_class_primary_type_filing_status_2024.csv,MODEL_CONTINGENT_RANK_BRIDGE_RELAXATION
rank_bridge_lp_v2,5,250万円,1971281,434621,0.0843791402379,0.0186036117171,0.220476431315,data/derived/nta_income_class_primary_type_filing_status_2024.csv,MODEL_CONTINGENT_RANK_BRIDGE_RELAXATION
rank_bridge_lp_v2,6,300万円,1538192,435915,0.0658411045817,0.0186590003743,0.283394400699,data/derived/nta_income_class_primary_type_filing_status_2024.csv,MODEL_CONTINGENT_RANK_BRIDGE_RELAXATION
rank_bridge_lp_v2,7,400万円,2368737,800193,0.10139193322,0.0342516350355,0.337814202252,data/derived/nta_income_class_primary_type_filing_status_2024.csv,MODEL_CONTINGENT_RANK_BRIDGE_RELAXATION
rank_bridge_lp_v2,8,500万円,1667488,601798,0.0713755186587,0.0257594923488,0.360900948013,data/derived/nta_income_class_primary_type_filing_status_2024.csv,MODEL_CONTINGENT_RANK_BRIDGE_RELAXATION
rank_bridge_lp_v2,9,600万円,1156539,424983,0.0495047466453,0.018191064671,0.367461019473,data/derived/nta_income_class_primary_type_filing_status_2024.csv,MODEL_CONTINGENT_RANK_BRIDGE_RELAXATION
rank_bridge_lp_v2,10,700万円,853429,319109,0.0365303603464,0.013659210971,0.373913940117,data/derived/nta_income_class_primary_type_filing_status_2024.csv,MODEL_CONTINGENT_RANK_BRIDGE_RELAXATION
rank_bridge_lp_v2,11,800万円,613418,238971,0.0262568773536,0.0102289666069,0.389572852443,data/derived/nta_income_class_primary_type_filing_status_2024.csv,MODEL_CONTINGENT_RANK_BRIDGE_RELAXATION
rank_bridge_lp_v2,12,"1,000万円",782938,323480,0.0335130482664,0.0138463082047,0.413161706291,data/derived/nta_income_class_primary_type_filing_status_2024.csv,MODEL_CONTINGENT_RANK_BRIDGE_RELAXATION
