spec_version,income_class_index,income_class_label,class_rank_lower,class_rank_upper,nta_rank_decile,rank_decile_lower,rank_decile_upper,population_overlap_mass,positive_mass_upper_capacity,overlap_positive,scientific_status
rank_bridge_lp_v2,1,70万円以下,0,0.184117888978,1,0,0.1,0.1,0.1,1,MODEL_CONTINGENT_RANK_BRIDGE_RELAXATION
rank_bridge_lp_v2,1,70万円以下,0,0.184117888978,2,0.1,0.2,0.0841178889782,0.0841178889782,1,MODEL_CONTINGENT_RANK_BRIDGE_RELAXATION
rank_bridge_lp_v2,1,70万円以下,0,0.184117888978,3,0.2,0.3,0,0,0,MODEL_CONTINGENT_RANK_BRIDGE_RELAXATION
rank_bridge_lp_v2,1,70万円以下,0,0.184117888978,4,0.3,0.4,0,0,0,MODEL_CONTINGENT_RANK_BRIDGE_RELAXATION
rank_bridge_lp_v2,1,70万円以下,0,0.184117888978,5,0.4,0.5,0,0,0,MODEL_CONTINGENT_RANK_BRIDGE_RELAXATION
rank_bridge_lp_v2,1,70万円以下,0,0.184117888978,6,0.5,0.6,0,0,0,MODEL_CONTINGENT_RANK_BRIDGE_RELAXATION
rank_bridge_lp_v2,1,70万円以下,0,0.184117888978,7,0.6,0.7,0,0,0,MODEL_CONTINGENT_RANK_BRIDGE_RELAXATION
rank_bridge_lp_v2,1,70万円以下,0,0.184117888978,8,0.7,0.8,0,0,0,MODEL_CONTINGENT_RANK_BRIDGE_RELAXATION
rank_bridge_lp_v2,1,70万円以下,0,0.184117888978,9,0.8,0.9,0,0,0,MODEL_CONTINGENT_RANK_BRIDGE_RELAXATION
rank_bridge_lp_v2,1,70万円以下,0,0.184117888978,10,0.9,1,0,0,0,MODEL_CONTINGENT_RANK_BRIDGE_RELAXATION
rank_bridge_lp_v2,2,100万円,0.184117888978,0.237855673083,1,0,0.1,0,0,0,MODEL_CONTINGENT_RANK_BRIDGE_RELAXATION
rank_bridge_lp_v2,2,100万円,0.184117888978,0.237855673083,2,0.1,0.2,0.0158821110218,0.0158821110218,1,MODEL_CONTINGENT_RANK_BRIDGE_RELAXATION
rank_bridge_lp_v2,2,100万円,0.184117888978,0.237855673083,3,0.2,0.3,0.0378556730826,0.0378556730826,1,MODEL_CONTINGENT_RANK_BRIDGE_RELAXATION
