spec_version,bridge_scheme,epsilon_source,epsilon,scope,decile,metric,bound,endpoint_value,solver_status_code,solver_message,max_scenario_sum_residual,max_class_positive_mass_residual,max_overlap_capacity_excess,max_rank_bridge_gap,max_rank_bridge_inequality_excess,minimum_decision_variable,numpy_version,scipy_version,solver_method,scientific_status,historical_v6_restricted_lp_reproduced,p1c13_v1_modified
rank_bridge_lp_v2,same_rank_decile,pre_specified_grid,0.15,decile,1,taxable_income_weighted_mean_MTR,min,0.05,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,0,0.15,8.32667268469e-17,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_BRIDGE_RELAXATION,False,False
rank_bridge_lp_v2,same_rank_decile,pre_specified_grid,0.15,decile,1,taxable_income_weighted_mean_MTR,max,0.05,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,0,0.15,8.32667268469e-17,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_BRIDGE_RELAXATION,False,False
rank_bridge_lp_v2,same_rank_decile,pre_specified_grid,0.15,decile,1,income_tax_liability_weighted_mean_MTR,min,0.05,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,0,0.15,8.32667268469e-17,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_BRIDGE_RELAXATION,False,False
rank_bridge_lp_v2,same_rank_decile,pre_specified_grid,0.15,decile,1,income_tax_liability_weighted_mean_MTR,max,0.05,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,0,0.15,8.32667268469e-17,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_BRIDGE_RELAXATION,False,False
rank_bridge_lp_v2,same_rank_decile,pre_specified_grid,0.15,decile,1,pseudo_filer_positive_tax_share,min,0.0854779411765,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,0,0.15,8.32667268469e-17,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_BRIDGE_RELAXATION,False,False
rank_bridge_lp_v2,same_rank_decile,pre_specified_grid,0.15,decile,1,pseudo_filer_positive_tax_share,max,0.156921869976,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,0,0.15,8.32667268469e-17,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_BRIDGE_RELAXATION,False,False
rank_bridge_lp_v2,same_rank_decile,pre_specified_grid,0.15,decile,1,nta_rank_positive_liability_rate,min,0,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,0,0.15,8.32667268469e-17,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_BRIDGE_RELAXATION,False,False
rank_bridge_lp_v2,same_rank_decile,pre_specified_grid,0.15,decile,1,nta_rank_positive_liability_rate,max,0.00692186997585,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,0,0.15,8.32667268469e-17,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_BRIDGE_RELAXATION,False,False
rank_bridge_lp_v2,same_rank_decile,pre_specified_grid,0.15,decile,2,taxable_income_weighted_mean_MTR,min,0.05,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,0,0.15,8.32667268469e-17,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_BRIDGE_RELAXATION,False,False
rank_bridge_lp_v2,same_rank_decile,pre_specified_grid,0.15,decile,2,taxable_income_weighted_mean_MTR,max,0.05,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,0,0.15,8.32667268469e-17,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_BRIDGE_RELAXATION,False,False
rank_bridge_lp_v2,same_rank_decile,pre_specified_grid,0.15,decile,2,income_tax_liability_weighted_mean_MTR,min,0.05,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,0,0.15,8.32667268469e-17,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_BRIDGE_RELAXATION,False,False
rank_bridge_lp_v2,same_rank_decile,pre_specified_grid,0.15,decile,2,income_tax_liability_weighted_mean_MTR,max,0.05,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,0,0.15,8.32667268469e-17,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_BRIDGE_RELAXATION,False,False
rank_bridge_lp_v2,same_rank_decile,pre_specified_grid,0.15,decile,2,pseudo_filer_positive_tax_share,min,0.14409221902,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,0,0.15,8.32667268469e-17,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_BRIDGE_RELAXATION,False,False
rank_bridge_lp_v2,same_rank_decile,pre_specified_grid,0.15,decile,2,pseudo_filer_positive_tax_share,max,0.162721413375,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,0,0.15,8.32667268469e-17,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_BRIDGE_RELAXATION,False,False
