spec_version,decile,epsilon_star,pseudo_positive_tax_share_at_one_optimum,nta_rank_positive_liability_rate_at_one_optimum,signed_gap_pseudo_minus_nta,absolute_gap,binding_within_1e8,scenario_support_at_one_optimum,nta_positive_class_support_at_one_optimum,solution_note,numpy_version,scipy_version,solver_method,scientific_status,historical_v6_restricted_lp_reproduced,p1c13_v1_modified
rank_bridge_lp_v2,1,0.149015979543,0.155937849519,0.00692186997585,0.149015979543,0.149015979543,True,central;size_upper,1,one optimal minimum-epsilon solution; within-class positive allocation and scenario mixture need not be unique,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_BRIDGE_RELAXATION,False,False
rank_bridge_lp_v2,2,0.149015979543,0.154815522942,0.00579954339885,0.149015979543,0.149015979543,True,central;business_proportional,2,one optimal minimum-epsilon solution; within-class positive allocation and scenario mixture need not be unique,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_BRIDGE_RELAXATION,False,False
rank_bridge_lp_v2,3,0.149015979543,0.204076328353,0.0550603488099,0.149015979543,0.149015979543,True,size_upper;business_proportional,3,one optimal minimum-epsilon solution; within-class positive allocation and scenario mixture need not be unique,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_BRIDGE_RELAXATION,False,False
rank_bridge_lp_v2,4,0.149015979543,0.190499272904,0.16307507894,0.0274241939645,0.0274241939645,False,business_proportional,4,one optimal minimum-epsilon solution; within-class positive allocation and scenario mixture need not be unique,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_BRIDGE_RELAXATION,False,False
rank_bridge_lp_v2,5,0.149015979543,0.335052096715,0.186036117171,0.149015979543,0.149015979543,True,size_upper;pension_member_split,5,one optimal minimum-epsilon solution; within-class positive allocation and scenario mixture need not be unique,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_BRIDGE_RELAXATION,False,False
rank_bridge_lp_v2,6,0.149015979543,0.335605983286,0.186590003743,0.149015979543,0.149015979543,True,business_proportional;pension_member_split,6,one optimal minimum-epsilon solution; within-class positive allocation and scenario mixture need not be unique,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_BRIDGE_RELAXATION,False,False
rank_bridge_lp_v2,7,0.149015979543,0.468558080092,0.319542100549,0.149015979543,0.149015979543,True,no_social_deduction_proxy;pension_age_split_separate,7,one optimal minimum-epsilon solution; within-class positive allocation and scenario mixture need not be unique,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_BRIDGE_RELAXATION,False,False
rank_bridge_lp_v2,8,0.149015979543,0.429585152838,0.280569173295,0.149015979543,0.149015979543,True,business_proportional,7;8,one optimal minimum-epsilon solution; within-class positive allocation and scenario mixture need not be unique,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_BRIDGE_RELAXATION,False,False
rank_bridge_lp_v2,9,0.149015979543,0.633608815427,0.484592835884,0.149015979543,0.149015979543,True,business_proportional,9;10;11;12,one optimal minimum-epsilon solution; within-class positive allocation and scenario mixture need not be unique,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_BRIDGE_RELAXATION,False,False
rank_bridge_lp_v2,10,0.149015979543,0.668781725888,0.519765746345,0.149015979543,0.149015979543,True,pension_age_split_separate,12;13;14;15;16;17;18;19;20;21;22;23;24;25,one optimal minimum-epsilon solution; within-class positive allocation and scenario mixture need not be unique,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_BRIDGE_RELAXATION,False,False
