spec_version,delta,epsilon_star,decile,pseudo_positive_tax_share_at_one_optimum,transported_nta_positive_liability_rate_at_one_optimum,signed_gap_pseudo_minus_transported_nta,absolute_gap,binding_within_1e8,scenario_support_at_one_optimum,nta_rank_destination_support_at_one_optimum,solution_note,numpy_version,scipy_version,solver_method,scientific_status,historical_v6_restricted_lp_reproduced,p1c13_v1_modified,p1c14_v2_modified
rank_bridge_lp_v3,0,0.149015979543,1,0.149015979543,0,0.149015979543,0.149015979543,True,central;size_upper,1,"one frontier optimum; scenario, grouped-NTA, and rank-transport allocations need not be unique",2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_TRANSPORT_BUDGET,False,False,False
rank_bridge_lp_v3,0,0.149015979543,2,0.161737392918,0.0127214133747,0.149015979543,0.149015979543,True,central;business_proportional,2,"one frontier optimum; scenario, grouped-NTA, and rank-transport allocations need not be unique",2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_TRANSPORT_BUDGET,False,False,False
rank_bridge_lp_v3,0,0.149015979543,3,0.204076328353,0.0550603488099,0.149015979543,0.149015979543,True,size_upper;business_proportional,3,"one frontier optimum; scenario, grouped-NTA, and rank-transport allocations need not be unique",2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_TRANSPORT_BUDGET,False,False,False
rank_bridge_lp_v3,0,0.149015979543,4,0.190499272904,0.16307507894,0.0274241939645,0.0274241939645,False,business_proportional,4,"one frontier optimum; scenario, grouped-NTA, and rank-transport allocations need not be unique",2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_TRANSPORT_BUDGET,False,False,False
rank_bridge_lp_v3,0,0.149015979543,5,0.335052096715,0.186036117171,0.149015979543,0.149015979543,True,size_upper;pension_member_split,5,"one frontier optimum; scenario, grouped-NTA, and rank-transport allocations need not be unique",2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_TRANSPORT_BUDGET,False,False,False
rank_bridge_lp_v3,0,0.149015979543,6,0.335605983286,0.186590003743,0.149015979543,0.149015979543,True,business_proportional;pension_member_split,6,"one frontier optimum; scenario, grouped-NTA, and rank-transport allocations need not be unique",2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_TRANSPORT_BUDGET,False,False,False
rank_bridge_lp_v3,0,0.149015979543,7,0.468558080092,0.319542100549,0.149015979543,0.149015979543,True,no_social_deduction_proxy;pension_age_split_separate,7,"one frontier optimum; scenario, grouped-NTA, and rank-transport allocations need not be unique",2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_TRANSPORT_BUDGET,False,False,False
rank_bridge_lp_v3,0,0.149015979543,8,0.429585152838,0.280569173295,0.149015979543,0.149015979543,True,business_proportional,8,"one frontier optimum; scenario, grouped-NTA, and rank-transport allocations need not be unique",2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_TRANSPORT_BUDGET,False,False,False
rank_bridge_lp_v3,0,0.149015979543,9,0.633608815427,0.484592835884,0.149015979543,0.149015979543,True,business_proportional,9,"one frontier optimum; scenario, grouped-NTA, and rank-transport allocations need not be unique",2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_TRANSPORT_BUDGET,False,False,False
rank_bridge_lp_v3,0,0.149015979543,10,0.668781725888,0.519765746345,0.149015979543,0.149015979543,True,pension_age_split_separate,10,"one frontier optimum; scenario, grouped-NTA, and rank-transport allocations need not be unique",2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_TRANSPORT_BUDGET,False,False,False
rank_bridge_lp_v3,0.25,0.0868252768522,1,0.0854779411765,0,0.0854779411765,0.0854779411765,False,pension_age_split_separate,1,"one frontier optimum; scenario, grouped-NTA, and rank-transport allocations need not be unique",2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_TRANSPORT_BUDGET,False,False,False
rank_bridge_lp_v3,0.25,0.0868252768522,2,0.14409221902,0.0572669421678,0.0868252768522,0.0868252768522,True,business_proportional,2;5,"one frontier optimum; scenario, grouped-NTA, and rank-transport allocations need not be unique",2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_TRANSPORT_BUDGET,False,False,False
rank_bridge_lp_v3,0.25,0.0868252768522,3,0.156598513011,0.0697732361588,0.0868252768522,0.0868252768522,True,business_proportional,3;4;5,"one frontier optimum; scenario, grouped-NTA, and rank-transport allocations need not be unique",2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_TRANSPORT_BUDGET,False,False,False
rank_bridge_lp_v3,0.25,0.0868252768522,4,0.190499272904,0.103673996052,0.0868252768522,0.0868252768522,True,business_proportional,2;4;9,"one frontier optimum; scenario, grouped-NTA, and rank-transport allocations need not be unique",2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_TRANSPORT_BUDGET,False,False,False
rank_bridge_lp_v3,0.25,0.0868252768522,5,0.213769860376,0.126944583524,0.0868252768522,0.0868252768522,True,business_proportional,2;5;9,"one frontier optimum; scenario, grouped-NTA, and rank-transport allocations need not be unique",2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_TRANSPORT_BUDGET,False,False,False
rank_bridge_lp_v3,0.25,0.0868252768522,6,0.235387045814,0.148561768962,0.0868252768522,0.0868252768522,True,business_proportional,4;6;7;9,"one frontier optimum; scenario, grouped-NTA, and rank-transport allocations need not be unique",2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_TRANSPORT_BUDGET,False,False,False
rank_bridge_lp_v3,0.25,0.0868252768522,7,0.317057704502,0.23023242765,0.0868252768522,0.0868252768522,True,pension_age_split_separate,3;7;8,"one frontier optimum; scenario, grouped-NTA, and rank-transport allocations need not be unique",2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_TRANSPORT_BUDGET,False,False,False
rank_bridge_lp_v3,0.25,0.0868252768522,8,0.429585152838,0.342759875986,0.0868252768522,0.0868252768522,True,business_proportional,8;9,"one frontier optimum; scenario, grouped-NTA, and rank-transport allocations need not be unique",2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_TRANSPORT_BUDGET,False,False,False
rank_bridge_lp_v3,0.25,0.0868252768522,9,0.633608815427,0.546783538575,0.0868252768522,0.0868252768522,True,business_proportional,3;8;9;10,"one frontier optimum; scenario, grouped-NTA, and rank-transport allocations need not be unique",2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_TRANSPORT_BUDGET,False,False,False
rank_bridge_lp_v3,0.25,0.0868252768522,10,0.668781725888,0.581956449036,0.0868252768522,0.0868252768522,True,pension_age_split_separate,3;6;10,"one frontier optimum; scenario, grouped-NTA, and rank-transport allocations need not be unique",2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_TRANSPORT_BUDGET,False,False,False
rank_bridge_lp_v3,0.5,0.0868252768522,1,0.0854779411765,0,0.0854779411765,0.0854779411765,False,pension_age_split_separate,1,"one frontier optimum; scenario, grouped-NTA, and rank-transport allocations need not be unique",2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_TRANSPORT_BUDGET,False,False,False
rank_bridge_lp_v3,0.5,0.0868252768522,2,0.14409221902,0.0572669421678,0.0868252768522,0.0868252768522,True,business_proportional,2;5;8,"one frontier optimum; scenario, grouped-NTA, and rank-transport allocations need not be unique",2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_TRANSPORT_BUDGET,False,False,False
rank_bridge_lp_v3,0.5,0.0868252768522,3,0.156598513011,0.0697732361588,0.0868252768522,0.0868252768522,True,business_proportional,3;4;5,"one frontier optimum; scenario, grouped-NTA, and rank-transport allocations need not be unique",2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_TRANSPORT_BUDGET,False,False,False
rank_bridge_lp_v3,0.5,0.0868252768522,4,0.190499272904,0.103673996052,0.0868252768522,0.0868252768522,True,business_proportional,4;9,"one frontier optimum; scenario, grouped-NTA, and rank-transport allocations need not be unique",2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_RANK_TRANSPORT_BUDGET,False,False,False
