spec_version,solution_source,delta_budget,epsilon,f_decile,nta_rank_decile,absolute_decile_distance,population_transport_mass,positive_liability_transport_mass,cost_contribution,population_transport_positive,positive_transport_positive,scientific_status,historical_v6_restricted_lp_reproduced,p1c13_v1_modified,p1c14_v2_modified
rank_bridge_lp_v3,epsilon_star_frontier,0,0.149015979543,1,1,0,0.1,0,0,1,0,MODEL_CONTINGENT_RANK_TRANSPORT_BUDGET,False,False,False
rank_bridge_lp_v3,epsilon_star_frontier,0,0.149015979543,1,2,1,0,0,0,0,0,MODEL_CONTINGENT_RANK_TRANSPORT_BUDGET,False,False,False
rank_bridge_lp_v3,epsilon_star_frontier,0,0.149015979543,1,3,2,0,0,0,0,0,MODEL_CONTINGENT_RANK_TRANSPORT_BUDGET,False,False,False
rank_bridge_lp_v3,epsilon_star_frontier,0,0.149015979543,1,4,3,0,0,0,0,0,MODEL_CONTINGENT_RANK_TRANSPORT_BUDGET,False,False,False
rank_bridge_lp_v3,epsilon_star_frontier,0,0.149015979543,1,5,4,0,0,0,0,0,MODEL_CONTINGENT_RANK_TRANSPORT_BUDGET,False,False,False
rank_bridge_lp_v3,epsilon_star_frontier,0,0.149015979543,1,6,5,0,0,0,0,0,MODEL_CONTINGENT_RANK_TRANSPORT_BUDGET,False,False,False
rank_bridge_lp_v3,epsilon_star_frontier,0,0.149015979543,1,7,6,0,0,0,0,0,MODEL_CONTINGENT_RANK_TRANSPORT_BUDGET,False,False,False
rank_bridge_lp_v3,epsilon_star_frontier,0,0.149015979543,1,8,7,0,0,0,0,0,MODEL_CONTINGENT_RANK_TRANSPORT_BUDGET,False,False,False
rank_bridge_lp_v3,epsilon_star_frontier,0,0.149015979543,1,9,8,0,0,0,0,0,MODEL_CONTINGENT_RANK_TRANSPORT_BUDGET,False,False,False
rank_bridge_lp_v3,epsilon_star_frontier,0,0.149015979543,1,10,9,0,0,0,0,0,MODEL_CONTINGENT_RANK_TRANSPORT_BUDGET,False,False,False
rank_bridge_lp_v3,epsilon_star_frontier,0,0.149015979543,2,1,1,0,0,0,0,0,MODEL_CONTINGENT_RANK_TRANSPORT_BUDGET,False,False,False
rank_bridge_lp_v3,epsilon_star_frontier,0,0.149015979543,2,2,0,0.1,0.00127214133747,0,1,1,MODEL_CONTINGENT_RANK_TRANSPORT_BUDGET,False,False,False
rank_bridge_lp_v3,epsilon_star_frontier,0,0.149015979543,2,3,1,0,0,0,0,0,MODEL_CONTINGENT_RANK_TRANSPORT_BUDGET,False,False,False
rank_bridge_lp_v3,epsilon_star_frontier,0,0.149015979543,2,4,2,0,0,0,0,0,MODEL_CONTINGENT_RANK_TRANSPORT_BUDGET,False,False,False
rank_bridge_lp_v3,epsilon_star_frontier,0,0.149015979543,2,5,3,0,0,0,0,0,MODEL_CONTINGENT_RANK_TRANSPORT_BUDGET,False,False,False
rank_bridge_lp_v3,epsilon_star_frontier,0,0.149015979543,2,6,4,0,0,0,0,0,MODEL_CONTINGENT_RANK_TRANSPORT_BUDGET,False,False,False
rank_bridge_lp_v3,epsilon_star_frontier,0,0.149015979543,2,7,5,0,0,0,0,0,MODEL_CONTINGENT_RANK_TRANSPORT_BUDGET,False,False,False
rank_bridge_lp_v3,epsilon_star_frontier,0,0.149015979543,2,8,6,0,0,0,0,0,MODEL_CONTINGENT_RANK_TRANSPORT_BUDGET,False,False,False
