spec_version,bridge_scheme,delta,average_percentile_rank_displacement_pp,epsilon,feasible,endpoint_row_count,overall_taxable_mtr_min,overall_taxable_mtr_max,overall_taxable_mtr_width,overall_liability_mtr_min,overall_liability_mtr_max,overall_liability_mtr_width,scientific_status,historical_v6_restricted_lp_reproduced,p1c13_v1_modified,p1c14_v2_modified,p1c15_v3_modified
rank_epsilon_surface_v4,rank_transport_budget_fixed_epsilon_surface,0,0,0,False,0,,,,,,,MODEL_CONTINGENT_RANK_EPSILON_SURFACE,False,False,False,False
rank_epsilon_surface_v4,rank_transport_budget_fixed_epsilon_surface,0,0,0.025,False,0,,,,,,,MODEL_CONTINGENT_RANK_EPSILON_SURFACE,False,False,False,False
rank_epsilon_surface_v4,rank_transport_budget_fixed_epsilon_surface,0,0,0.05,False,0,,,,,,,MODEL_CONTINGENT_RANK_EPSILON_SURFACE,False,False,False,False
rank_epsilon_surface_v4,rank_transport_budget_fixed_epsilon_surface,0,0,0.075,False,0,,,,,,,MODEL_CONTINGENT_RANK_EPSILON_SURFACE,False,False,False,False
rank_epsilon_surface_v4,rank_transport_budget_fixed_epsilon_surface,0,0,0.1,False,0,,,,,,,MODEL_CONTINGENT_RANK_EPSILON_SURFACE,False,False,False,False
rank_epsilon_surface_v4,rank_transport_budget_fixed_epsilon_surface,0,0,0.125,False,0,,,,,,,MODEL_CONTINGENT_RANK_EPSILON_SURFACE,False,False,False,False
rank_epsilon_surface_v4,rank_transport_budget_fixed_epsilon_surface,0,0,0.15,True,84,0.103274801594,0.120030320355,0.0167555187611,0.111855545732,0.129793232711,0.0179376869794,MODEL_CONTINGENT_RANK_EPSILON_SURFACE,False,False,False,False
rank_epsilon_surface_v4,rank_transport_budget_fixed_epsilon_surface,0,0,0.175,True,84,0.102123097311,0.125380758604,0.0232576612933,0.110475629058,0.135077617778,0.0246019887202,MODEL_CONTINGENT_RANK_EPSILON_SURFACE,False,False,False,False
rank_epsilon_surface_v4,rank_transport_budget_fixed_epsilon_surface,0,0,0.2,True,84,0.101811795005,0.126427538636,0.0246157436313,0.110043536064,0.135961599428,0.0259180633642,MODEL_CONTINGENT_RANK_EPSILON_SURFACE,False,False,False,False
rank_epsilon_surface_v4,rank_transport_budget_fixed_epsilon_surface,0,0,0.225,True,84,0.101517038017,0.127336691937,0.0258196539204,0.109684668641,0.136704860532,0.0270201918911,MODEL_CONTINGENT_RANK_EPSILON_SURFACE,False,False,False,False
rank_epsilon_surface_v4,rank_transport_budget_fixed_epsilon_surface,0,0,0.25,True,84,0.101290655253,0.128245845238,0.0269551899855,0.109392348724,0.137448121635,0.0280557729118,MODEL_CONTINGENT_RANK_EPSILON_SURFACE,False,False,False,False
rank_epsilon_surface_v4,rank_transport_budget_fixed_epsilon_surface,0,0,0.275,True,84,0.101156600757,0.128605246728,0.0274486459705,0.109175290554,0.137741196532,0.0285659059777,MODEL_CONTINGENT_RANK_EPSILON_SURFACE,False,False,False,False
rank_epsilon_surface_v4,rank_transport_budget_fixed_epsilon_surface,0,0,0.3,True,84,0.101044912858,0.12865558821,0.0276106753513,0.109018957442,0.137769080973,0.0287501235309,MODEL_CONTINGENT_RANK_EPSILON_SURFACE,False,False,False,False
rank_epsilon_surface_v4,rank_transport_budget_fixed_epsilon_surface,0.25,2.5,0,False,0,,,,,,,MODEL_CONTINGENT_RANK_EPSILON_SURFACE,False,False,False,False
rank_epsilon_surface_v4,rank_transport_budget_fixed_epsilon_surface,0.25,2.5,0.025,False,0,,,,,,,MODEL_CONTINGENT_RANK_EPSILON_SURFACE,False,False,False,False
rank_epsilon_surface_v4,rank_transport_budget_fixed_epsilon_surface,0.25,2.5,0.05,False,0,,,,,,,MODEL_CONTINGENT_RANK_EPSILON_SURFACE,False,False,False,False
rank_epsilon_surface_v4,rank_transport_budget_fixed_epsilon_surface,0.25,2.5,0.075,False,0,,,,,,,MODEL_CONTINGENT_RANK_EPSILON_SURFACE,False,False,False,False
rank_epsilon_surface_v4,rank_transport_budget_fixed_epsilon_surface,0.25,2.5,0.1,True,84,0.105551842527,0.117415114173,0.0118632716455,0.114431966603,0.126219260154,0.0117872935509,MODEL_CONTINGENT_RANK_EPSILON_SURFACE,False,False,False,False
rank_epsilon_surface_v4,rank_transport_budget_fixed_epsilon_surface,0.25,2.5,0.125,True,84,0.102692161632,0.124415584991,0.0217234233593,0.111165616453,0.133884995677,0.0227193792236,MODEL_CONTINGENT_RANK_EPSILON_SURFACE,False,False,False,False
rank_epsilon_surface_v4,rank_transport_budget_fixed_epsilon_surface,0.25,2.5,0.15,True,84,0.101926350995,0.12689950103,0.0249731500353,0.110134492827,0.135840257742,0.0257057649149,MODEL_CONTINGENT_RANK_EPSILON_SURFACE,False,False,False,False
rank_epsilon_surface_v4,rank_transport_budget_fixed_epsilon_surface,0.25,2.5,0.175,True,84,0.101590550406,0.128028980693,0.026438430287,0.109682947951,0.137069956591,0.0273870086401,MODEL_CONTINGENT_RANK_EPSILON_SURFACE,False,False,False,False
