spec_version,diagnostic_version,delta,eta_star,decile,slack_definition,slack_minimum_over_fixed_frontier_set,slack_maximum_over_fixed_frontier_set,binding_tolerance_rate,near_binding_threshold_rate,can_bind,must_bind,can_near_bind,must_near_bind,interpretation,scientific_status
rank_one_sided_bridge_v5,rank_one_sided_bridge_v5_slack_v1,0,0,1,eta_star_plus_pseudo_rate_minus_transported_positive_balance_rate,0.0785560712006,0.195828505214,1e-08,0.0001,False,False,False,False,"bounds are over the full fixed-(Delta,eta*) feasible set; binding at one solver witness is not structural when the optimum is non-unique",MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY
rank_one_sided_bridge_v5,rank_one_sided_bridge_v5_slack_v1,0,0,2,eta_star_plus_pseudo_rate_minus_transported_positive_balance_rate,0.131370805645,0.578826237054,1e-08,0.0001,False,False,False,False,"bounds are over the full fixed-(Delta,eta*) feasible set; binding at one solver witness is not structural when the optimum is non-unique",MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY
rank_one_sided_bridge_v5,rank_one_sided_bridge_v5_slack_v1,0,0,3,eta_star_plus_pseudo_rate_minus_transported_positive_balance_rate,0.0957386208023,0.5468914647,1e-08,0.0001,False,False,False,False,"bounds are over the full fixed-(Delta,eta*) feasible set; binding at one solver witness is not structural when the optimum is non-unique",MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY
rank_one_sided_bridge_v5,rank_one_sided_bridge_v5_slack_v1,0,0,4,eta_star_plus_pseudo_rate_minus_transported_positive_balance_rate,0,0.504604051565,1e-08,0.0001,True,False,True,False,"bounds are over the full fixed-(Delta,eta*) feasible set; binding at one solver witness is not structural when the optimum is non-unique",MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY
rank_one_sided_bridge_v5,rank_one_sided_bridge_v5_slack_v1,0,0,5,eta_star_plus_pseudo_rate_minus_transported_positive_balance_rate,0,0.586991869919,1e-08,0.0001,True,False,True,False,"bounds are over the full fixed-(Delta,eta*) feasible set; binding at one solver witness is not structural when the optimum is non-unique",MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY
rank_one_sided_bridge_v5,rank_one_sided_bridge_v5_slack_v1,0,0,6,eta_star_plus_pseudo_rate_minus_transported_positive_balance_rate,0,0.355274714194,1e-08,0.0001,True,False,True,False,"bounds are over the full fixed-(Delta,eta*) feasible set; binding at one solver witness is not structural when the optimum is non-unique",MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY
rank_one_sided_bridge_v5,rank_one_sided_bridge_v5_slack_v1,0,0,7,eta_star_plus_pseudo_rate_minus_transported_positive_balance_rate,0,0.417851724363,1e-08,0.0001,True,False,True,False,"bounds are over the full fixed-(Delta,eta*) feasible set; binding at one solver witness is not structural when the optimum is non-unique",MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY
rank_one_sided_bridge_v5,rank_one_sided_bridge_v5_slack_v1,0,0,8,eta_star_plus_pseudo_rate_minus_transported_positive_balance_rate,0,0.468462982971,1e-08,0.0001,True,False,True,False,"bounds are over the full fixed-(Delta,eta*) feasible set; binding at one solver witness is not structural when the optimum is non-unique",MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY
rank_one_sided_bridge_v5,rank_one_sided_bridge_v5_slack_v1,0,0,9,eta_star_plus_pseudo_rate_minus_transported_positive_balance_rate,0.0743533108903,0.598028095466,1e-08,0.0001,False,False,False,False,"bounds are over the full fixed-(Delta,eta*) feasible set; binding at one solver witness is not structural when the optimum is non-unique",MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY
rank_one_sided_bridge_v5,rank_one_sided_bridge_v5_slack_v1,0,0,10,eta_star_plus_pseudo_rate_minus_transported_positive_balance_rate,0.0852155661488,0.293042711409,1e-08,0.0001,False,False,False,False,"bounds are over the full fixed-(Delta,eta*) feasible set; binding at one solver witness is not structural when the optimum is non-unique",MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY
rank_one_sided_bridge_v5,rank_one_sided_bridge_v5_slack_v1,0.25,0,1,eta_star_plus_pseudo_rate_minus_transported_positive_balance_rate,0,0.195828505214,1e-08,0.0001,True,False,True,False,"bounds are over the full fixed-(Delta,eta*) feasible set; binding at one solver witness is not structural when the optimum is non-unique",MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY
rank_one_sided_bridge_v5,rank_one_sided_bridge_v5_slack_v1,0.25,0,2,eta_star_plus_pseudo_rate_minus_transported_positive_balance_rate,0,0.578826237054,1e-08,0.0001,True,False,True,False,"bounds are over the full fixed-(Delta,eta*) feasible set; binding at one solver witness is not structural when the optimum is non-unique",MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY
rank_one_sided_bridge_v5,rank_one_sided_bridge_v5_slack_v1,0.25,0,3,eta_star_plus_pseudo_rate_minus_transported_positive_balance_rate,0,0.5468914647,1e-08,0.0001,True,False,True,False,"bounds are over the full fixed-(Delta,eta*) feasible set; binding at one solver witness is not structural when the optimum is non-unique",MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY
rank_one_sided_bridge_v5,rank_one_sided_bridge_v5_slack_v1,0.25,0,4,eta_star_plus_pseudo_rate_minus_transported_positive_balance_rate,0,0.504604051565,1e-08,0.0001,True,False,True,False,"bounds are over the full fixed-(Delta,eta*) feasible set; binding at one solver witness is not structural when the optimum is non-unique",MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY
rank_one_sided_bridge_v5,rank_one_sided_bridge_v5_slack_v1,0.25,0,5,eta_star_plus_pseudo_rate_minus_transported_positive_balance_rate,0,0.586991869919,1e-08,0.0001,True,False,True,False,"bounds are over the full fixed-(Delta,eta*) feasible set; binding at one solver witness is not structural when the optimum is non-unique",MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY
rank_one_sided_bridge_v5,rank_one_sided_bridge_v5_slack_v1,0.25,0,6,eta_star_plus_pseudo_rate_minus_transported_positive_balance_rate,0,0.532498042287,1e-08,0.0001,True,False,True,False,"bounds are over the full fixed-(Delta,eta*) feasible set; binding at one solver witness is not structural when the optimum is non-unique",MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY
rank_one_sided_bridge_v5,rank_one_sided_bridge_v5_slack_v1,0.25,0,7,eta_star_plus_pseudo_rate_minus_transported_positive_balance_rate,0,0.737082066869,1e-08,0.0001,True,False,True,False,"bounds are over the full fixed-(Delta,eta*) feasible set; binding at one solver witness is not structural when the optimum is non-unique",MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY
rank_one_sided_bridge_v5,rank_one_sided_bridge_v5_slack_v1,0.25,0,8,eta_star_plus_pseudo_rate_minus_transported_positive_balance_rate,0,0.726057906459,1e-08,0.0001,True,False,True,False,"bounds are over the full fixed-(Delta,eta*) feasible set; binding at one solver witness is not structural when the optimum is non-unique",MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY
rank_one_sided_bridge_v5,rank_one_sided_bridge_v5_slack_v1,0.25,0,9,eta_star_plus_pseudo_rate_minus_transported_positive_balance_rate,0,0.836909871245,1e-08,0.0001,True,False,True,False,"bounds are over the full fixed-(Delta,eta*) feasible set; binding at one solver witness is not structural when the optimum is non-unique",MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY
rank_one_sided_bridge_v5,rank_one_sided_bridge_v5_slack_v1,0.25,0,10,eta_star_plus_pseudo_rate_minus_transported_positive_balance_rate,0,0.738145789101,1e-08,0.0001,True,False,True,False,"bounds are over the full fixed-(Delta,eta*) feasible set; binding at one solver witness is not structural when the optimum is non-unique",MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY
rank_one_sided_bridge_v5,rank_one_sided_bridge_v5_slack_v1,0.5,0,1,eta_star_plus_pseudo_rate_minus_transported_positive_balance_rate,0,0.195828505214,1e-08,0.0001,True,False,True,False,"bounds are over the full fixed-(Delta,eta*) feasible set; binding at one solver witness is not structural when the optimum is non-unique",MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY
rank_one_sided_bridge_v5,rank_one_sided_bridge_v5_slack_v1,0.5,0,2,eta_star_plus_pseudo_rate_minus_transported_positive_balance_rate,0,0.578826237054,1e-08,0.0001,True,False,True,False,"bounds are over the full fixed-(Delta,eta*) feasible set; binding at one solver witness is not structural when the optimum is non-unique",MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY
rank_one_sided_bridge_v5,rank_one_sided_bridge_v5_slack_v1,0.5,0,3,eta_star_plus_pseudo_rate_minus_transported_positive_balance_rate,0,0.5468914647,1e-08,0.0001,True,False,True,False,"bounds are over the full fixed-(Delta,eta*) feasible set; binding at one solver witness is not structural when the optimum is non-unique",MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY
