spec_version,solution_source,delta_budget,eta,f_decile,nta_rank_decile,absolute_decile_distance,population_transport_mass,positive_self_assessed_balance_transport_mass,cost_contribution,population_transport_positive,positive_self_assessed_balance_transport_positive,scientific_status,historical_v6_restricted_lp_reproduced,p1c13_v1_modified,p1c14_v2_modified,p1c15_v3_modified,p1c16_v4_modified
rank_one_sided_bridge_v5,eta_star_frontier,0,0,1,1,0,0.1,0.000692186997585,0,1,1,MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY,False,False,False,False,False
rank_one_sided_bridge_v5,eta_star_frontier,0,0,1,2,1,0,0,0,0,0,MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY,False,False,False,False,False
rank_one_sided_bridge_v5,eta_star_frontier,0,0,1,3,2,0,0,0,0,0,MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY,False,False,False,False,False
rank_one_sided_bridge_v5,eta_star_frontier,0,0,1,4,3,0,0,0,0,0,MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY,False,False,False,False,False
rank_one_sided_bridge_v5,eta_star_frontier,0,0,1,5,4,0,0,0,0,0,MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY,False,False,False,False,False
rank_one_sided_bridge_v5,eta_star_frontier,0,0,1,6,5,0,0,0,0,0,MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY,False,False,False,False,False
rank_one_sided_bridge_v5,eta_star_frontier,0,0,1,7,6,0,0,0,0,0,MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY,False,False,False,False,False
rank_one_sided_bridge_v5,eta_star_frontier,0,0,1,8,7,0,0,0,0,0,MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY,False,False,False,False,False
rank_one_sided_bridge_v5,eta_star_frontier,0,0,1,9,8,0,0,0,0,0,MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY,False,False,False,False,False
rank_one_sided_bridge_v5,eta_star_frontier,0,0,1,10,9,0,0,0,0,0,MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY,False,False,False,False,False
rank_one_sided_bridge_v5,eta_star_frontier,0,0,2,1,1,0,0,0,0,0,MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY,False,False,False,False,False
rank_one_sided_bridge_v5,eta_star_frontier,0,0,2,2,0,0.1,0.000579954339885,0,1,1,MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY,False,False,False,False,False
rank_one_sided_bridge_v5,eta_star_frontier,0,0,2,3,1,0,0,0,0,0,MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY,False,False,False,False,False
rank_one_sided_bridge_v5,eta_star_frontier,0,0,2,4,2,0,0,0,0,0,MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY,False,False,False,False,False
rank_one_sided_bridge_v5,eta_star_frontier,0,0,2,5,3,0,0,0,0,0,MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY,False,False,False,False,False
rank_one_sided_bridge_v5,eta_star_frontier,0,0,2,6,4,0,0,0,0,0,MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY,False,False,False,False,False
rank_one_sided_bridge_v5,eta_star_frontier,0,0,2,7,5,0,0,0,0,0,MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY,False,False,False,False,False
rank_one_sided_bridge_v5,eta_star_frontier,0,0,2,8,6,0,0,0,0,0,MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY,False,False,False,False,False
rank_one_sided_bridge_v5,eta_star_frontier,0,0,2,9,7,0,0,0,0,0,MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY,False,False,False,False,False
rank_one_sided_bridge_v5,eta_star_frontier,0,0,2,10,8,0,0,0,0,0,MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY,False,False,False,False,False
rank_one_sided_bridge_v5,eta_star_frontier,0,0,3,1,2,0,0,0,0,0,MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY,False,False,False,False,False
rank_one_sided_bridge_v5,eta_star_frontier,0,0,3,2,1,0,0,0,0,0,MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY,False,False,False,False,False
rank_one_sided_bridge_v5,eta_star_frontier,0,0,3,3,0,0.1,0.00550603488099,0,1,1,MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY,False,False,False,False,False
rank_one_sided_bridge_v5,eta_star_frontier,0,0,3,4,1,0,0,0,0,0,MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY,False,False,False,False,False
rank_one_sided_bridge_v5,eta_star_frontier,0,0,3,5,2,0,0,0,0,0,MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY,False,False,False,False,False
rank_one_sided_bridge_v5,eta_star_frontier,0,0,3,6,3,0,0,0,0,0,MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY,False,False,False,False,False
rank_one_sided_bridge_v5,eta_star_frontier,0,0,3,7,4,0,0,0,0,0,MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY,False,False,False,False,False
rank_one_sided_bridge_v5,eta_star_frontier,0,0,3,8,5,0,0,0,0,0,MODEL_CONTINGENT_RANK_ONE_SIDED_SUBSET_COMPATIBILITY,False,False,False,False,False
