spec_version,weight_scheme,decile,decile_weight,epsilon_star,pseudo_positive_tax_share_at_one_optimum,transported_nta_stage2_rate_at_one_optimum,signed_gap_pseudo_minus_transport,absolute_gap,binding_within_1e8,scenario_support_at_one_optimum,nta_category_support_at_one_optimum,solution_note,numpy_version,scipy_version,solver_method,scientific_status,historical_v6_restricted_lp_reproduced
transport_lp_v1,equal_decile,1,0.1,0.241868950074,0.0854779411765,0.208842108875,-0.123364167699,0.123364167699,False,pension_age_split_separate,salary,one optimal minimum-epsilon solution; allocation need not be unique,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_TRANSPORT_RELAXATION,False
transport_lp_v1,equal_decile,2,0.1,0.241868950074,0.223171889839,0.0706849468535,0.152486942986,0.152486942986,False,size_upper,miscellaneous,one optimal minimum-epsilon solution; allocation need not be unique,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_TRANSPORT_RELAXATION,False
transport_lp_v1,equal_decile,3,0.1,0.241868950074,0.239547038328,0.208842108875,0.0307049294527,0.0307049294527,False,size_upper,salary,one optimal minimum-epsilon solution; allocation need not be unique,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_TRANSPORT_RELAXATION,False
transport_lp_v1,equal_decile,4,0.1,0.241868950074,0.315916398714,0.0740474486397,0.241868950074,0.241868950074,True,pension_member_split,business;miscellaneous,one optimal minimum-epsilon solution; allocation need not be unique,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_TRANSPORT_RELAXATION,False
transport_lp_v1,equal_decile,5,0.1,0.241868950074,0.213769860376,0.208842108875,0.00492775150074,0.00492775150074,False,business_proportional,salary,one optimal minimum-epsilon solution; allocation need not be unique,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_TRANSPORT_RELAXATION,False
transport_lp_v1,equal_decile,6,0.1,0.241868950074,0.336343115124,0.208842108875,0.127501006249,0.127501006249,False,other_wage_split2,salary,one optimal minimum-epsilon solution; allocation need not be unique,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_TRANSPORT_RELAXATION,False
transport_lp_v1,equal_decile,7,0.1,0.241868950074,0.353343465046,0.189188151347,0.164155313699,0.164155313699,False,central,business;miscellaneous,one optimal minimum-epsilon solution; allocation need not be unique,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_TRANSPORT_RELAXATION,False
transport_lp_v1,equal_decile,8,0.1,0.241868950074,0.461880144677,0.220011194603,0.241868950074,0.241868950074,True,business_proportional;other_wage_split2,business;salary,one optimal minimum-epsilon solution; allocation need not be unique,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_TRANSPORT_RELAXATION,False
transport_lp_v1,equal_decile,9,0.1,0.241868950074,0.633608815427,0.391739865353,0.241868950074,0.241868950074,True,business_proportional,business;real_estate,one optimal minimum-epsilon solution; allocation need not be unique,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_TRANSPORT_RELAXATION,False
transport_lp_v1,equal_decile,10,0.1,0.241868950074,0.668781725888,0.426912775814,0.241868950074,0.241868950074,True,pension_age_split_separate,business;real_estate;other,one optimal minimum-epsilon solution; allocation need not be unique,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_TRANSPORT_RELAXATION,False
