legacy_path,canonical_path_after_migration,numeric_payload_sha256_before_migration,numeric_cell_count,note
research/income_tax_pseudofiler/pseudofiler_mtr_scenarios.csv,research/income_tax_pseudofiler/pseudofiler_mtr_scenarios.csv,65054ec698255dba29a6912acbd2cbe70ad2059940a79d296933ef6fee56005a,2080,pseudo side; modeled annual income-tax and MTR scenario values
data/derived/nta_primary_type_stage2_2024.csv,data/derived/nta_primary_type_stage2_2024.csv,f78bfc17515b288c26857413a02c1d8d9309b9956d98ccd48bb30480070cdc09,55,five-category NTA self-assessed-balance target
data/derived/nta_table31_primary_type_rounded_2024.csv,data/derived/nta_table31_primary_type_rounded_2024.csv,d6e6275a0096db60fac195027e9258fcb2273581bbe9f1d0dd80a745a3516c0e,45,rounded NTA cross-publication point-check input
data/derived/nta_positive_liability_income_class_primary_type_2024.csv,data/derived/nta_positive_self_assessed_balance_income_class_primary_type_2024.csv,0c70fa23a17c4f46e3b79f5d7244d44313e36623756d6d31cbeecb9b4e28447c,990,25x5 NTA sample-survey cross-tab; path will be renamed
data/derived/nta_income_class_primary_type_filing_status_2024.csv,data/derived/nta_income_class_primary_type_filing_status_2024.csv,226b931a062e3987e25b1b4a429cea9a10f9691c5fb5605b3a4c19eb3d895fd7,2094,25x5 annual-statistics population/status cross-tab
research/income_tax_partial_identification/replacement_transport_lp_minimum_relaxation.csv,research/income_tax_partial_identification/replacement_transport_lp_minimum_relaxation.csv,b93929995a09d653af7830ab379c765dd06f394f2ef5e7d0056b9ca713757ab3,24,v1 minimum relaxation
research/income_tax_partial_identification/rank_bridge_lp_v2_class_inputs.csv,research/income_tax_partial_identification/rank_bridge_lp_v2_class_inputs.csv,269c2cdda84ed51da7afb35c0f02ff9e6261049d80d51cff86243371e7f96f9a,150,v2 class inputs
research/income_tax_partial_identification/rank_bridge_lp_v2_minimum_decile_diagnostics.csv,research/income_tax_partial_identification/rank_bridge_lp_v2_minimum_decile_diagnostics.csv,b6c6c2b2f4a35fd5ce9eff99f45556b2f71a4f1929766caeb7ebe445bb3884cd,67,v2 minimum diagnostics
research/income_tax_partial_identification/rank_bridge_lp_v2_endpoints.csv,research/income_tax_partial_identification/rank_bridge_lp_v2_endpoints.csv,2a571854615f2140d39ddee8cec9c5b193257806bdb5198cb730b78b654cc330,6688,v2 endpoints
research/income_tax_partial_identification/rank_bridge_lp_v3_analytical_rate_floor.csv,research/income_tax_partial_identification/rank_bridge_lp_v3_analytical_rate_floor.csv,002fc16aa92b0222f60345e64dde691854a29b1d46ceef52838e27db8962bca7,5,v3 analytical floor
research/income_tax_partial_identification/rank_bridge_lp_v3_minimum_decile_diagnostics.csv,research/income_tax_partial_identification/rank_bridge_lp_v3_minimum_decile_diagnostics.csv,90be8df32795417fedef673b53fda8197944945720c7e55a41263a104e5fc2d0,572,v3 minimum diagnostics
research/income_tax_partial_identification/rank_bridge_lp_v3_transport_plans.csv,research/income_tax_partial_identification/rank_bridge_lp_v3_transport_plans.csv,878316576ea02e7a67a60349afe6aa3956bde1fcc105d15ee4ff7bad68ffdd0a,8000,v3 transport plans
research/income_tax_partial_identification/rank_bridge_lp_v3_endpoints.csv,research/income_tax_partial_identification/rank_bridge_lp_v3_endpoints.csv,853a5ccb3c27d18ba32be45f4257aa3c71e6e0cb1fc9a73a3a12afcb23b2bb00,12064,v3 endpoints
research/income_tax_partial_identification/rank_epsilon_surface_v4_feasibility.csv,research/income_tax_partial_identification/rank_epsilon_surface_v4_feasibility.csv,5b05522ff4b43ad3f8d8c90821ebd29d189e44c4f173ee2aa69990a5ff24c4c0,1360,v4 feasibility surface
research/income_tax_partial_identification/rank_epsilon_surface_v4_summary.csv,research/income_tax_partial_identification/rank_epsilon_surface_v4_summary.csv,e6770256fc0cbf45e8f0d26bc6b4ce48ad644f236a9d7068ae127c1904366851,836,v4 overall summary
research/income_tax_partial_identification/rank_epsilon_surface_v4_endpoints.csv,research/income_tax_partial_identification/rank_epsilon_surface_v4_endpoints.csv,a62d0c8695e7f21698bad7c0964d74f949500e7b2c5eb3f0749ba51b1171a1fa,105560,v4 endpoints
