decile,scenario,nuisance_income_scale,observed_leaf_weighted_income_tax_kY,reconstructed_continuous_proxy_income_tax_kY,continuous_proxy_fit_error_kY,reconstructed_exact_statutory_income_tax_kY,exact_statutory_rounding_gap_kY,calibration_tax_basis,target_household_size_proxy,target_bridge_column,logical_lower_weighted_size,logical_upper_weighted_size,interpolation_q,calibrated_weighted_size,target_inside_logical_bounds,size_mode,business_allocation,other_member_wage_split,social_deduction_proxy,pension_mode,senior_share_65p,nuisance_parameter_interpretation,model_status,input_source_ids,statutory_parameter_artifact
1,central,1.82324222631,1.74623406721,1.74623406721,4.4408920985e-16,1.74463179289,-0.00160227431245,continuous quick-table proxy before 1000-yen taxable-income rounding,1.65640285295,household_size_proxy,1.64889918888,2.91541135574,0.00592466797425,1.65640285295,True,calibrated,head,1,proportional,absorbed_in_nuisance,0.465826258205,moment-matching scale; not behavioral or causal,SENSITIVITY_ONLY_NOT_IDENTIFIED,ESTAT-7156-1-2024;ESTAT-7191-1-2024;ESTAT-7153-1-2024;NTA-2026-TAX-REFORM;NTA-2026-INCOME-TAX;NTA-SALARY-DEDUCTION-1410;NTA-INCOME-TAX-RATE-2260;NTA-2026-PENSION-TAX;NTA-2026-PENSION-DETAIL,data/derived/income_tax_2026_statutory_parameters.csv
1,f71911_topcode10,1.81609224903,1.74623406721,1.74623406721,0,1.74505252579,-0.0011815414181,continuous quick-table proxy before 1000-yen taxable-income rounding,1.66397289215,household_size_proxy_topcode10,1.64889918888,2.91541135574,0.0119017437561,1.66397289215,True,calibrated,head,1,proportional,absorbed_in_nuisance,0.465826258205,moment-matching scale; not behavioral or causal,SENSITIVITY_ONLY_NOT_IDENTIFIED,ESTAT-7156-1-2024;ESTAT-7191-1-2024;ESTAT-7153-1-2024;NTA-2026-TAX-REFORM;NTA-2026-INCOME-TAX;NTA-SALARY-DEDUCTION-1410;NTA-INCOME-TAX-RATE-2260;NTA-2026-PENSION-TAX;NTA-2026-PENSION-DETAIL,data/derived/income_tax_2026_statutory_parameters.csv
1,size_lower,1.83042449323,1.74623406721,1.74623406721,0,1.74417829156,-0.00205577564674,continuous quick-table proxy before 1000-yen taxable-income rounding,1.65640285295,household_size_proxy,1.64889918888,2.91541135574,0.00592466797425,1.64889918888,True,lower,head,1,proportional,absorbed_in_nuisance,0.465826258205,moment-matching scale; not behavioral or causal,SENSITIVITY_ONLY_NOT_IDENTIFIED,ESTAT-7156-1-2024;ESTAT-7191-1-2024;ESTAT-7153-1-2024;NTA-2026-TAX-REFORM;NTA-2026-INCOME-TAX;NTA-SALARY-DEDUCTION-1410;NTA-INCOME-TAX-RATE-2260;NTA-2026-PENSION-TAX;NTA-2026-PENSION-DETAIL,data/derived/income_tax_2026_statutory_parameters.csv
1,size_upper,1.21639616835,1.74623406721,1.74623406721,8.881784197e-16,1.74456420262,-0.00166986458483,continuous quick-table proxy before 1000-yen taxable-income rounding,1.65640285295,household_size_proxy,1.64889918888,2.91541135574,0.00592466797425,2.91541135574,True,upper,head,1,proportional,absorbed_in_nuisance,0.465826258205,moment-matching scale; not behavioral or causal,SENSITIVITY_ONLY_NOT_IDENTIFIED,ESTAT-7156-1-2024;ESTAT-7191-1-2024;ESTAT-7153-1-2024;NTA-2026-TAX-REFORM;NTA-2026-INCOME-TAX;NTA-SALARY-DEDUCTION-1410;NTA-INCOME-TAX-RATE-2260;NTA-2026-PENSION-TAX;NTA-2026-PENSION-DETAIL,data/derived/income_tax_2026_statutory_parameters.csv
1,business_proportional,2.36856450442,1.74623406721,1.74623406721,6.66133814775e-16,1.74195786638,-0.00427620082625,continuous quick-table proxy before 1000-yen taxable-income rounding,1.65640285295,household_size_proxy,1.64889918888,2.91541135574,0.00592466797425,1.65640285295,True,calibrated,proportional,1,proportional,absorbed_in_nuisance,0.465826258205,moment-matching scale; not behavioral or causal,SENSITIVITY_ONLY_NOT_IDENTIFIED,ESTAT-7156-1-2024;ESTAT-7191-1-2024;ESTAT-7153-1-2024;NTA-2026-TAX-REFORM;NTA-2026-INCOME-TAX;NTA-SALARY-DEDUCTION-1410;NTA-INCOME-TAX-RATE-2260;NTA-2026-PENSION-TAX;NTA-2026-PENSION-DETAIL,data/derived/income_tax_2026_statutory_parameters.csv
1,other_wage_split2,1.82324222631,1.74623406721,1.74623406721,4.4408920985e-16,1.74463179289,-0.00160227431245,continuous quick-table proxy before 1000-yen taxable-income rounding,1.65640285295,household_size_proxy,1.64889918888,2.91541135574,0.00592466797425,1.65640285295,True,calibrated,head,2,proportional,absorbed_in_nuisance,0.465826258205,moment-matching scale; not behavioral or causal,SENSITIVITY_ONLY_NOT_IDENTIFIED,ESTAT-7156-1-2024;ESTAT-7191-1-2024;ESTAT-7153-1-2024;NTA-2026-TAX-REFORM;NTA-2026-INCOME-TAX;NTA-SALARY-DEDUCTION-1410;NTA-INCOME-TAX-RATE-2260;NTA-2026-PENSION-TAX;NTA-2026-PENSION-DETAIL,data/derived/income_tax_2026_statutory_parameters.csv
1,no_social_deduction_proxy,1.58332299369,1.74623406721,1.74623406721,2.22044604925e-16,1.7450208827,-0.00121318450938,continuous quick-table proxy before 1000-yen taxable-income rounding,1.65640285295,household_size_proxy,1.64889918888,2.91541135574,0.00592466797425,1.65640285295,True,calibrated,head,1,none,absorbed_in_nuisance,0.465826258205,moment-matching scale; not behavioral or causal,SENSITIVITY_ONLY_NOT_IDENTIFIED,ESTAT-7156-1-2024;ESTAT-7191-1-2024;ESTAT-7153-1-2024;NTA-2026-TAX-REFORM;NTA-2026-INCOME-TAX;NTA-SALARY-DEDUCTION-1410;NTA-INCOME-TAX-RATE-2260;NTA-2026-PENSION-TAX;NTA-2026-PENSION-DETAIL,data/derived/income_tax_2026_statutory_parameters.csv
1,pension_head_merge,1.82324222631,1.74623406721,1.74623406721,4.4408920985e-16,1.74463179289,-0.00160227431245,continuous quick-table proxy before 1000-yen taxable-income rounding,1.65640285295,household_size_proxy,1.64889918888,2.91541135574,0.00592466797425,1.65640285295,True,calibrated,head,1,proportional,merge_to_head_by_household_head_age,0.465826258205,moment-matching scale; not behavioral or causal,SENSITIVITY_ONLY_NOT_IDENTIFIED,ESTAT-7156-1-2024;ESTAT-7191-1-2024;ESTAT-7153-1-2024;NTA-2026-TAX-REFORM;NTA-2026-INCOME-TAX;NTA-SALARY-DEDUCTION-1410;NTA-INCOME-TAX-RATE-2260;NTA-2026-PENSION-TAX;NTA-2026-PENSION-DETAIL,data/derived/income_tax_2026_statutory_parameters.csv
1,pension_member_split,1.82324222631,1.74623406721,1.74623406721,4.4408920985e-16,1.74463179289,-0.00160227431245,continuous quick-table proxy before 1000-yen taxable-income rounding,1.65640285295,household_size_proxy,1.64889918888,2.91541135574,0.00592466797425,1.65640285295,True,calibrated,head,1,proportional,member_split_by_F71911_age_share,0.465826258205,moment-matching scale; not behavioral or causal,SENSITIVITY_ONLY_NOT_IDENTIFIED,ESTAT-7156-1-2024;ESTAT-7191-1-2024;ESTAT-7153-1-2024;NTA-2026-TAX-REFORM;NTA-2026-INCOME-TAX;NTA-SALARY-DEDUCTION-1410;NTA-INCOME-TAX-RATE-2260;NTA-2026-PENSION-TAX;NTA-2026-PENSION-DETAIL,data/derived/income_tax_2026_statutory_parameters.csv
2,central,0.993410628191,4.11507479862,4.11507479862,8.881784197e-16,4.10975929842,-0.00531550019651,continuous quick-table proxy before 1000-yen taxable-income rounding,1.90052886716,household_size_proxy,1.84234752589,3.42347525892,0.0367973694047,1.90052886716,True,calibrated,head,1,proportional,absorbed_in_nuisance,0.450913988978,moment-matching scale; not behavioral or causal,SENSITIVITY_ONLY_NOT_IDENTIFIED,ESTAT-7156-1-2024;ESTAT-7191-1-2024;ESTAT-7153-1-2024;NTA-2026-TAX-REFORM;NTA-2026-INCOME-TAX;NTA-SALARY-DEDUCTION-1410;NTA-INCOME-TAX-RATE-2260;NTA-2026-PENSION-TAX;NTA-2026-PENSION-DETAIL,data/derived/income_tax_2026_statutory_parameters.csv
