decile,central_taxable_income_weighted_MTR,min_taxable_income_weighted_MTR_across_scenarios,max_taxable_income_weighted_MTR_across_scenarios,central_liability_weighted_MTR,min_liability_weighted_MTR_across_scenarios,max_liability_weighted_MTR_across_scenarios,central_pseudo_positive_modeled_annual_income_tax_share,central_nuisance_income_scale,max_continuous_proxy_fit_error_kY,max_absolute_exact_statutory_rounding_gap_kY,structural_MTR_identified,recommended_use,model_status,scenario_count,input_source_ids,statutory_parameter_artifact
1,0.05,0.05,0.05,0.05,0.05,0.05,0.107763615295,1.82324222631,8.881784197e-16,0.00427620082625,False,sensitivity/ETI input only; not point input for optimal policy,SENSITIVITY_ONLY_NOT_IDENTIFIED,13,ESTAT-7156-1-2024;ESTAT-7191-1-2024;ESTAT-7153-1-2024;NTA-2026-TAX-REFORM;NTA-2026-INCOME-TAX;NTA-SALARY-DEDUCTION-1410;NTA-INCOME-TAX-RATE-2260;NTA-2026-PENSION-TAX;NTA-2026-PENSION-DETAIL;NTA-MINKAN-2024-T17;NTA-2026-DEPENDENT-DEDUCTION;ESTAT-7155-1-2024,data/derived/income_tax_2026_statutory_parameters.csv
2,0.05,0.05,0.05,0.05,0.05,0.05,0.345622119816,0.993410628191,1.7763568394e-15,0.0118097618425,False,sensitivity/ETI input only; not point input for optimal policy,SENSITIVITY_ONLY_NOT_IDENTIFIED,13,ESTAT-7156-1-2024;ESTAT-7191-1-2024;ESTAT-7153-1-2024;NTA-2026-TAX-REFORM;NTA-2026-INCOME-TAX;NTA-SALARY-DEDUCTION-1410;NTA-INCOME-TAX-RATE-2260;NTA-2026-PENSION-TAX;NTA-2026-PENSION-DETAIL;NTA-MINKAN-2024-T17;NTA-2026-DEPENDENT-DEDUCTION;ESTAT-7155-1-2024,data/derived/income_tax_2026_statutory_parameters.csv
3,0.05,0.05,0.05,0.05,0.05,0.05,0.355110642782,0.858567176061,1.7763568394e-15,0.0150041747657,False,sensitivity/ETI input only; not point input for optimal policy,SENSITIVITY_ONLY_NOT_IDENTIFIED,13,ESTAT-7156-1-2024;ESTAT-7191-1-2024;ESTAT-7153-1-2024;NTA-2026-TAX-REFORM;NTA-2026-INCOME-TAX;NTA-SALARY-DEDUCTION-1410;NTA-INCOME-TAX-RATE-2260;NTA-2026-PENSION-TAX;NTA-2026-PENSION-DETAIL;NTA-MINKAN-2024-T17;NTA-2026-DEPENDENT-DEDUCTION;ESTAT-7155-1-2024,data/derived/income_tax_2026_statutory_parameters.csv
4,0.05,0.05,0.058968460929,0.05,0.05,0.0602889317796,0.361878453039,0.929401894699,3.5527136788e-15,0.0113795332032,False,sensitivity/ETI input only; not point input for optimal policy,SENSITIVITY_ONLY_NOT_IDENTIFIED,13,ESTAT-7156-1-2024;ESTAT-7191-1-2024;ESTAT-7153-1-2024;NTA-2026-TAX-REFORM;NTA-2026-INCOME-TAX;NTA-SALARY-DEDUCTION-1410;NTA-INCOME-TAX-RATE-2260;NTA-2026-PENSION-TAX;NTA-2026-PENSION-DETAIL;NTA-MINKAN-2024-T17;NTA-2026-DEPENDENT-DEDUCTION;ESTAT-7155-1-2024,data/derived/income_tax_2026_statutory_parameters.csv
5,0.0593237423117,0.0575744226295,0.103241125426,0.0612308590839,0.0586702460887,0.113729890589,0.360975609756,0.982152511232,7.1054273576e-15,0.0172833714358,False,sensitivity/ETI input only; not point input for optimal policy,SENSITIVITY_ONLY_NOT_IDENTIFIED,13,ESTAT-7156-1-2024;ESTAT-7191-1-2024;ESTAT-7153-1-2024;NTA-2026-TAX-REFORM;NTA-2026-INCOME-TAX;NTA-SALARY-DEDUCTION-1410;NTA-INCOME-TAX-RATE-2260;NTA-2026-PENSION-TAX;NTA-2026-PENSION-DETAIL;NTA-MINKAN-2024-T17;NTA-2026-DEPENDENT-DEDUCTION;ESTAT-7155-1-2024,data/derived/income_tax_2026_statutory_parameters.csv
6,0.101786776479,0.0945551847046,0.153348627649,0.113406359413,0.104721210072,0.166077223997,0.350039154268,1.05851621465,0.391062636622,0.384154107948,False,sensitivity/ETI input only; not point input for optimal policy,SENSITIVITY_ONLY_NOT_IDENTIFIED,13,ESTAT-7156-1-2024;ESTAT-7191-1-2024;ESTAT-7153-1-2024;NTA-2026-TAX-REFORM;NTA-2026-INCOME-TAX;NTA-SALARY-DEDUCTION-1410;NTA-INCOME-TAX-RATE-2260;NTA-2026-PENSION-TAX;NTA-2026-PENSION-DETAIL;NTA-MINKAN-2024-T17;NTA-2026-DEPENDENT-DEDUCTION;ESTAT-7155-1-2024,data/derived/income_tax_2026_statutory_parameters.csv
7,0.158637711041,0.101040597253,0.16445572026,0.17008243461,0.114321209827,0.177198331736,0.353343465046,1.09267076896,3.32672236987,3.35899967509,False,sensitivity/ETI input only; not point input for optimal policy,SENSITIVITY_ONLY_NOT_IDENTIFIED,13,ESTAT-7156-1-2024;ESTAT-7191-1-2024;ESTAT-7153-1-2024;NTA-2026-TAX-REFORM;NTA-2026-INCOME-TAX;NTA-SALARY-DEDUCTION-1410;NTA-INCOME-TAX-RATE-2260;NTA-2026-PENSION-TAX;NTA-2026-PENSION-DETAIL;NTA-MINKAN-2024-T17;NTA-2026-DEPENDENT-DEDUCTION;ESTAT-7155-1-2024,data/derived/income_tax_2026_statutory_parameters.csv
8,0.155109934377,0.144073123661,0.180112352624,0.171714111766,0.163236457005,0.192820455301,0.702301410542,1.13877628453,1.49441361856,1.46503442033,False,sensitivity/ETI input only; not point input for optimal policy,SENSITIVITY_ONLY_NOT_IDENTIFIED,13,ESTAT-7156-1-2024;ESTAT-7191-1-2024;ESTAT-7153-1-2024;NTA-2026-TAX-REFORM;NTA-2026-INCOME-TAX;NTA-SALARY-DEDUCTION-1410;NTA-INCOME-TAX-RATE-2260;NTA-2026-PENSION-TAX;NTA-2026-PENSION-DETAIL;NTA-MINKAN-2024-T17;NTA-2026-DEPENDENT-DEDUCTION;ESTAT-7155-1-2024,data/derived/income_tax_2026_statutory_parameters.csv
9,0.177902312578,0.172271804071,0.180249262732,0.190212577507,0.186645610215,0.19705018112,0.832618025751,1.14929126149,5.68434188608e-14,0.0892810740555,False,sensitivity/ETI input only; not point input for optimal policy,SENSITIVITY_ONLY_NOT_IDENTIFIED,13,ESTAT-7156-1-2024;ESTAT-7191-1-2024;ESTAT-7153-1-2024;NTA-2026-TAX-REFORM;NTA-2026-INCOME-TAX;NTA-SALARY-DEDUCTION-1410;NTA-INCOME-TAX-RATE-2260;NTA-2026-PENSION-TAX;NTA-2026-PENSION-DETAIL;NTA-MINKAN-2024-T17;NTA-2026-DEPENDENT-DEDUCTION;ESTAT-7155-1-2024,data/derived/income_tax_2026_statutory_parameters.csv
10,0.243390234647,0.239324165474,0.296421496398,0.267399919257,0.260468505645,0.320590783508,0.738145789101,1.24446571889,2.27373675443e-13,0.146537651043,False,sensitivity/ETI input only; not point input for optimal policy,SENSITIVITY_ONLY_NOT_IDENTIFIED,13,ESTAT-7156-1-2024;ESTAT-7191-1-2024;ESTAT-7153-1-2024;NTA-2026-TAX-REFORM;NTA-2026-INCOME-TAX;NTA-SALARY-DEDUCTION-1410;NTA-INCOME-TAX-RATE-2260;NTA-2026-PENSION-TAX;NTA-2026-PENSION-DETAIL;NTA-MINKAN-2024-T17;NTA-2026-DEPENDENT-DEDUCTION;ESTAT-7155-1-2024,data/derived/income_tax_2026_statutory_parameters.csv
