name,value,unit,role,source,source_url,source_id,source_locator,evidence_status,source_note
nta_final_return_filers_2024,23090075,persons,benchmark_numerator,FY2024 National Tax Agency Annual Statistics Report,https://www.nta.go.jp/publication/statistics/kokuzeicho/r06/R06.pdf,NTA-R06,PDF p.55 / printed p.46; Table 2-1(1); row 確定申告 (Final return processing row),RAW_OFFICIAL,"Exact Table 2-1 Final-return processing-row benchmark as of 2025-06-30; not the separate press-release count of returns submitted by 2025-03-31 and not the broader 23,362,184 filed-or-processed total"
census_total_population_2020,126146099,persons,person_denominator,Population and Households of Japan 2020 - overview,https://www.stat.go.jp/english/data/kokusei/2020/summary/pdf/all.pdf,STAT-CENSUS-2020-SUMMARY,Summary p.2 / PDF p.5; Table 1; 2020 total population,RAW_OFFICIAL,Entire Census population is deliberately loose benchmark denominator
census_general_household_persons_2020,123162995,persons,frame_component,2020 Population Census basic complete tabulation - results overview,https://www.stat.go.jp/data/kokusei/2020/kekka/pdf/outline_01.pdf,STAT-CENSUS-2020-BASIC,General-household persons; Census Report Table 7-2 equivalent,RAW_OFFICIAL,Persons in general households
census_single_households_2020,21151042,persons,frame_component,2020 Population Census basic complete tabulation - results overview,https://www.stat.go.jp/data/kokusei/2020/kekka/pdf/outline_01.pdf,STAT-CENSUS-2020-BASIC,One-person general households; Census Report Table 7-2 equivalent,RAW_OFFICIAL,One person per one-person general household
f71561_single_mother_households_2024_design,20540114,persons,frame_component,"2024 National Survey of Family Income, Consumption and Wealth sample design",https://www.stat.go.jp/data/zenkokukakei/2024/pdf/hyohon2024.pdf,STAT-F71561-DESIGN,Table 4; 全国 row; 単身世帯の母集団世帯数 (A)-(B),RAW_OFFICIAL,"21,142,885 one-person general households minus 602,771 students"
okunoto_total_population_2020,61114,persons,geographic_check,2020 Population Census basic tabulation summary - Ishikawa,https://toukei.pref.ishikawa.lg.jp/dl/4461/R2census_jinkou.pdf,ISHIKAWA-CENSUS-2020,Municipal population rows: Wajima + Suzu + Anamizu + Noto,RAW_OFFICIAL,Sum of four excluded Okunoto municipalities
okunoto_general_household_persons_2020,57446,persons,geographic_allowance,2020 Population Census basic tabulation summary - Ishikawa,https://toukei.pref.ishikawa.lg.jp/dl/4461/R2census_jinkou.pdf,ISHIKAWA-CENSUS-2020,Municipal general-household-person rows: Wajima + Suzu + Anamizu + Noto,RAW_OFFICIAL,Conservative subtraction includes all general-household persons in excluded municipalities
births_2020,840835,persons,tracked_mismatch_allowance,2020 Vital Statistics final - Table 1,https://www.mhlw.go.jp/toukei/saikin/hw/jinkou/kakutei20/dl/03_h1.pdf,MHLW-VITAL-2020-T1,Table 1; births; 2020,RAW_OFFICIAL,Full-year count deliberately over-includes pre-Census births
births_2021,811622,persons,tracked_mismatch_allowance,2022 Vital Statistics final - Table 1,https://www.mhlw.go.jp/toukei/saikin/hw/jinkou/kakutei22/dl/03_h1.pdf,MHLW-VITAL-2022-T1,Table 1; previous-year births; 2021,RAW_OFFICIAL,All births treated adversarially
births_2022,770759,persons,tracked_mismatch_allowance,2022 Vital Statistics final - Table 1,https://www.mhlw.go.jp/toukei/saikin/hw/jinkou/kakutei22/dl/03_h1.pdf,MHLW-VITAL-2022-T1,Table 1; births; 2022,RAW_OFFICIAL,All births treated adversarially
births_2023,727288,persons,tracked_mismatch_allowance,2024 Vital Statistics final - Table 1,https://www.mhlw.go.jp/toukei/saikin/hw/jinkou/kakutei24/dl/03_h1.pdf,MHLW-VITAL-2024-T1,Table 1; previous-year births; 2023,RAW_OFFICIAL,All births treated adversarially
births_2024,686173,persons,tracked_mismatch_allowance,2024 Vital Statistics final - Table 1,https://www.mhlw.go.jp/toukei/saikin/hw/jinkou/kakutei24/dl/03_h1.pdf,MHLW-VITAL-2024-T1,Table 1; births; 2024,RAW_OFFICIAL,All births treated adversarially
international_inflow_2020,358359,persons,tracked_mismatch_allowance,Report on Internal Migration in Japan 2024 - summary,https://www.stat.go.jp/data/idou/2024np/jissu/pdf/gaiyou.pdf,STAT-MIGRATION-2024,Table 1; immigrants from abroad; 2020,RAW_OFFICIAL,Full-year count deliberately over-includes pre-Census entrants
international_inflow_2021,209700,persons,tracked_mismatch_allowance,Report on Internal Migration in Japan 2024 - summary,https://www.stat.go.jp/data/idou/2024np/jissu/pdf/gaiyou.pdf,STAT-MIGRATION-2024,Table 1; immigrants from abroad; 2021,RAW_OFFICIAL,"Gross inflow, not net migration"
international_inflow_2022,639124,persons,tracked_mismatch_allowance,Report on Internal Migration in Japan 2024 - summary,https://www.stat.go.jp/data/idou/2024np/jissu/pdf/gaiyou.pdf,STAT-MIGRATION-2024,Table 1; immigrants from abroad; 2022,RAW_OFFICIAL,"Gross inflow, not net migration"
international_inflow_2023,700138,persons,tracked_mismatch_allowance,Report on Internal Migration in Japan 2024 - summary,https://www.stat.go.jp/data/idou/2024np/jissu/pdf/gaiyou.pdf,STAT-MIGRATION-2024,Table 1; immigrants from abroad; 2023,RAW_OFFICIAL,"Gross inflow, not net migration"
international_inflow_2024,735883,persons,tracked_mismatch_allowance,Report on Internal Migration in Japan 2024 - summary,https://www.stat.go.jp/data/idou/2024np/jissu/pdf/gaiyou.pdf,STAT-MIGRATION-2024,Table 1; immigrants from abroad; 2024,RAW_OFFICIAL,"Gross inflow, not net migration"
deaths_2024,1605378,persons,tracked_mismatch_allowance,2024 Vital Statistics final - Table 1,https://www.mhlw.go.jp/toukei/saikin/hw/jinkou/kakutei24/dl/03_h1.pdf,MHLW-VITAL-2024-T1,Table 1; deaths; 2024,RAW_OFFICIAL,Extreme allowance: every death can reduce overlap / represent quasi-final timing mismatch
threshold_score_power_0p5,0.8271,share,prior_threshold,Recovered V6 stage-1 threshold diagnostic,,RECOVERY-V6-2026-09-08,data/recovery/v6_recovered_values.csv,RECOVERY_ONLY,Recovered V6 stage-1 diagnostic; generating source chain not restored
threshold_score_power_1p0,0.2668,share,prior_threshold,Recovered V6 stage-1 threshold diagnostic,,RECOVERY-V6-2026-09-08,data/recovery/v6_recovered_values.csv,RECOVERY_ONLY,Recovered V6 stage-1 diagnostic; generating source chain not restored
threshold_score_power_2p0,0.0220,share,prior_threshold,Recovered V6 stage-1 threshold diagnostic,,RECOVERY-V6-2026-09-08,data/recovery/v6_recovered_values.csv,RECOVERY_ONLY,Recovered V6 stage-1 diagnostic; generating source chain not restored
