component,period,entity_type,event_type,latest_flag,count,source_scope,identification_status
full_history_monthly,2023-02,corporation,cancellation,,1,2026-08-31 full snapshot surviving publication history,SURVIVING_PUBLICATION_HISTORY_EXCLUDES_DELETED_99_NOT_CAUSAL
full_history_monthly,2023-08,corporation,cancellation,,1,2026-08-31 full snapshot surviving publication history,SURVIVING_PUBLICATION_HISTORY_EXCLUDES_DELETED_99_NOT_CAUSAL
full_history_monthly,2023-10,corporation,cancellation,,76,2026-08-31 full snapshot surviving publication history,SURVIVING_PUBLICATION_HISTORY_EXCLUDES_DELETED_99_NOT_CAUSAL
full_history_monthly,2023-10,corporation,expiration,,278,2026-08-31 full snapshot surviving publication history,SURVIVING_PUBLICATION_HISTORY_EXCLUDES_DELETED_99_NOT_CAUSAL
full_history_monthly,2023-10,corporation,registration,,2251501,2026-08-31 full snapshot surviving publication history,SURVIVING_PUBLICATION_HISTORY_EXCLUDES_DELETED_99_NOT_CAUSAL
full_history_monthly,2023-10,individual,expiration,,947,2026-08-31 full snapshot surviving publication history,SURVIVING_PUBLICATION_HISTORY_EXCLUDES_DELETED_99_NOT_CAUSAL
full_history_monthly,2023-10,individual,registration,,1869518,2026-08-31 full snapshot surviving publication history,SURVIVING_PUBLICATION_HISTORY_EXCLUDES_DELETED_99_NOT_CAUSAL
full_history_monthly,2023-10,unincorporated_association,expiration,,4,2026-08-31 full snapshot surviving publication history,SURVIVING_PUBLICATION_HISTORY_EXCLUDES_DELETED_99_NOT_CAUSAL
full_history_monthly,2023-10,unincorporated_association,registration,,5991,2026-08-31 full snapshot surviving publication history,SURVIVING_PUBLICATION_HISTORY_EXCLUDES_DELETED_99_NOT_CAUSAL
full_history_monthly,2023-11,corporation,cancellation,,177,2026-08-31 full snapshot surviving publication history,SURVIVING_PUBLICATION_HISTORY_EXCLUDES_DELETED_99_NOT_CAUSAL
full_history_monthly,2023-11,corporation,expiration,,480,2026-08-31 full snapshot surviving publication history,SURVIVING_PUBLICATION_HISTORY_EXCLUDES_DELETED_99_NOT_CAUSAL
